rechtfertigenf1	Es gibt Situationen in denen es moralisch und historisch 	gerechtfertigtkeywordtag 	ja sogar geboten ist Gewalt anzuwenden 
rechtfertigenf1	Die Tatsache allein daß für eine Diebestour ein Auto benutzt wurde 	rechtfertigtkeywordtag 	nicht den Entzug des Führerscheins 
rechtfertigenf1	All die biblischen  Taten  Versprechen können die Vertreibung auch nur eines Palästinensers aus seiner Heimat Palästina nicht 	rechtfertigenkeywordtag 	
rechtfertigenf1	Weil iranische Regierungspolitiker den Mord an Israels Ministerpräsidenten Yitzhak Rabin 	gerechtfertigtkeywordtag 	hatten stimmte eine Bundestagsmehrheit am Freitag gegen Kinkels Willen dafür den iranischen Außenminister Ali Akbar Welayati von der ursprünglich für diese Woche vorgesehenen Konferenz des Auswärtigen Amtes auszuladen 
rechtfertigenf2	Scharping und Schröder 	rechtfertigenkeywordtag 	sichkeywordtag 
rechtfertigenf1	 Wir haben ja immer gesagt daß ein BenachteiligungsVerbot wegen Behinderung keine Besserung für die Betroffenen bringen wird  	rechtfertigenkeywordtag 	die Gegner des Verfassungsgrundsatzes gegen die Diskriminierung Behinderter ihr Nichtstun 
rechtfertigenf1	Daß Deng dieses Programm den Weg zum  Sozialismus chinesischer Prägung  nannte ist insofern 	gerechtfertigtkeywordtag 	als er den Begriff  Sozialismus  schon immer mit dem Erfolg Chinas gleichsetzte 
rechtfertigenf1	Die Fehler von gestern die schmählich waren und beschämend 	rechtfertigenkeywordtag 	keineswegs ein Versagen heute 
rechtfertigenf1	Nur ein kritischer Journalismus auch aus Sicht der Frauen auf Grundlage differenzierter und hintergründiger Recherchen kann langfristig öffentlichrechtliche Gebühren 	rechtfertigenkeywordtag 	
rechtfertigenf1	Steinle sagte es sei 	gerechtfertigtkeywordtag 	daß Fehler in den Prüfungsantworten dazu führten daß der Test nicht bestanden sei 
rechtfertigenf1	Die Idealkonstellation niedriger Zinsen des festen Dollar und höherer Unternehmensgewinne 	rechtfertigtkeywordtag 	nach Ansicht von Banken die Rekorde 
rechtfertigenf1	Die Europäische Union EU berief einen Ministerrat nach Genf ein der entscheiden soll ob die erreichten Ergebnisse ein Abkommen 	rechtfertigenkeywordtag 	
rechtfertigenf1	Der 50 Geburtstag des Firmenchefs oder das fünfjährige Bestehen eines Supermarktes 	rechtfertigenkeywordtag 	keine Sonderverkäufe 
rechtfertigenf1	Der Aufsichtsratschef der Beteiligungs AG Gerhard Wolf aus dem Vorstand des Chemiemultis BASF 	rechtfertigtekeywordtag 	die im vorigen August bekanntgegebene Trennung die nach einem Verbot des Kartellamtes bisher nicht umgesetzt werden konnte 
rechtfertigenf1	Schrumpft die Wirtschaftsleistung um weniger als 075 Prozent soll dagegen wiederum  in der Regel  keine Ausnahme gegeben sein diekeywordtag ein über drei Prozent hinausgehendes Defizit 	rechtfertigtkeywordtag 	
