heissen_s66_f1	Wo früher nur für einen abgeschotteten Markt qualitatitiv minderwertige Ware hergestellt wurde , 	heißt 	die Losung nun Wettbewerb und Export . 
heissen_s1164_f1	In einer Erklärung der Staatsanwaltschaft in Annaba , wo Boudiaf am vergangenen Montag getötet worden war , 	hieß 	es , Boumaraf sei noch am Tattag festgenommen worden , jedoch nicht am Tatort . 
heissen_s1175_f1	Andernfalls werde die Gewalt weitergehen , 	hieß 	es in einer Verlautbarung der FIS . 
heissen_s1347_f1	In Madrid 	hieß 	es , über 500 spanische Transporter mit frischem Obst und Gemüse steckten in den Staus auf Frankreichs Autobahnen , die Fahrer drohten mit Vergeltungsmaßnahmen gegen ihre französischen Kollegen . 
heissen_s1385_f1	Schon die Zusammenkunft in New York sei in den Beziehungen beider Länder ohne Beispiel , 	hieß 	es bei `` Mainichi '' . 
heissen_s1522_f1	Langfristiges Ziel sei eine Umwandlung des Zahlungsaufschubs für Rußland in eine reguläre Umschuldung , ähnlich wie bei anderen Schuldnerländern , 	hieß 	es in den deutschen Regierungskreisen . 
heissen_s1866_f1	`` Das inhaltliche Profil vor Ort fehlt uns inzwischen auf weiten Flächen , Karrieregedanken und Machtpolitik sind auch in der JU weit verbreitet '' , 	heißt 	es im Leitantrag des Landesvorstands zum Thema `` Politikverdrossenheit und Reform der Gesellschaft '' . 
heissen_s2016_f1	Wenn der deutsche Regierungschef die Ankündigung seines `` Sherpas '' - wiekeywordtag die mit den Gipfelvorbereitungen beauftragten Vertrauensleute der Regierungschefs 	heißen 	( in diesem Falle Finanzstaatssekretär Horst Köhler ) - wahrgemacht hat , ist `` Tacheles '' geredet worden im `` Hotel Vier Jahreszeiten '' . 
heissen_s2039_f1	`` Wahrscheinlich muß doch erst wieder etwas passieren '' , 	heißt 	es vielsagend im Vorfeld des großen Palavers - nicht nur bei den Gipfelgegnern auf den Alternativtreffen , sondern auch bei den amtlichen Schlachtenbummlern , allerdings hinter vorgehaltener Hand . 
heissen_s2277_f1	Bei Verladearbeiten in einer Halle sei eines der Fässer mit dem Konzentrat abgestürzt , 	hieß 	es . 
heissen_s2459_f1	Der betroffenen Bevölkerung sei Entschädigung zugesagt worden , 	hieß 	es in der Meldung . 
heissen_s2478_f1	`` Die Sache wird natürlich teuer ... sie ist aber realistisch '' zu machen , 	heißt 	es bei März . 
heissen_s2545_f1	`` Das Damoklesschwert einer militärischen Intervention wird über den Serben hängen '' , 	hieß 	es in der deutschen Delegation . 
heissen_s2564_f1	Einer der `` Ausreißer '' in einem ansonsten lethargischen Markt seien Asko gewesen , 	hieß 	es weiter , die sich um 29 Mark erholten . 
heissen_s2594_f1	Deutschland , das turnusmäßig in der WEU den Vorsitz führt , habe eine entsprechende Einladung ausgesprochen , 	hieß 	es in Oslo . 
heissen_s2604_f1	Die junge Frau 	heißt 	Nazli Top . 
heissen_s2613_f1	Es 	heißt 	, man müsse ihre Personalien genauer überprüfen . 
heissen_s2710_f1	Die Festnahme und zehntägige Haft habe der zweifelsfreien Feststellung ihrer Identität gedient , 	heißt 	es in dem Protokoll , das Nazli Top unterschreiben muß . 
heissen_s2828_f1	Unter anderem 	heißt 	es darinkeywordtag , daß alle internationalen Banken und Bankkonzerne im Mutterland durch eine Behörde kontrolliert werden sollten , die fähig ist , eine konsolidierte Beaufsichtigung ( also auf Konzernbasis ) vorzunehmen . 
heissen_s2923_f1	In einer Erklärung 	hieß 	es , die Vertretung der kroatischen Gemeinschaft von `` Herceg-Bosna '' habe auf ihrer Sitzung am vergangenen Freitag lediglich beschlossen , eine `` provisorische Exekutive '' für die Region zu bilden . 
heissen_s2970_f1	Auf Rebellenseite seien bei Kämpfen in der vergangenen Woche 610 Rebellen getötet worden , 	hieß 	es . 
heissen_s3085_f1	Und daskeywordtag 	heißt 	, `` die Erfolge des Jahres 1991 zu wiederholen '' . 
heissen_s3112_f1	`` Erforderlich sind präzisere Konzepte , bessere Mechanismen zur Umsetzung von Hilfe , flexible Institutionen sowie leistungsfähigere Verfahren für Entscheidung und Koordination auf nationaler und internationaler Ebene '' , 	heißt 	es in einer Analyse zum Münchener Wirtschaftsgipfel , in dem das Institut eine `` wichtige Durchgangsstation '' im Prozeß der Konzipierung und Realisierung westlicher Hilfe sieht . 
heissen_s3244_f1	`` Partnerschaften zwischen westlichen Städten und denen aus den GUS-Staaten werden ebenso begrüßt und sollten verstärkt gefördert werden '' , 	heißt 	es außerdem in den Vorbereitungspapieren für die geplante Initiative . 
heissen_s3334_f1	Die Entscheidung der Regierung , die Herausforderung der `` Routiers '' , wiekeywordtag die Fernfahrer in Frankreich 	heißen 	, mit einem Kraftakt zu beenden , war zum Schluß eines langen Wochenendes gefallen , in dessen Verlauf das Land immer mehr in Agonie zu verfallen schien . 
heissen_s3584_f1	Bei gleichbleibender Lage könne nur noch zwei Tage produziert werden , 	hieß 	es . 
heissen_s3604_f1	In einem am Dienstag in Seoul veröffentlichten Brief des südkoreanischen Ministerpräsidenten Chung Won Shik 	hieß 	es , der Süden wolle als Spione verurteilte Personen gegen Hunderte , vielleicht Tausende Zivilisten austauschen , die im Norden gegen ihren Willen festgehalten würden . 
heissen_s3643_f1	In der Erklärung des Sicherheitsrats 	heißt 	es , Bagdads Verhalten sei ein Bruch der Waffenstillstandsvereinbarungen zum Ende des Golf-Krieges . 
heissen_s3657_f1	Möglich sei der vorgesehene Abschlag , 	heißt 	es bei der Barmer , da die wirtschaftliche Entwicklung im Osten besser verlaufen sei als erwartet . 
heissen_s3743_f1	Sieben Polizisten mußten in Krankenhäuser eingeliefert werden , 	hieß 	es am Dienstag aus Kreisen der Sicherheitskräfte . 
heissen_s3750_f1	Tausende Menschen hätten versucht , die im Hafen liegenden Schiffe zu entern , um so ins Ausland zu gelangen , 	hieß 	es . 
heissen_s3883_f1	Jeder dritte Student soll künftig an einer Fachhochschule studieren , 	heißt 	es in dem Konzept weiter . 
heissen_s3911_f1	Außerdem seien 20 weitere Personen festgenommen worden , die ihm zur Flucht verholfen hätten , 	hieß 	es weiter . 
heissen_s3950_f1	Mobutu sei fest entschlossen , `` um jeden Preis an der Macht zu bleiben '' und billige allenfalls kosmetische Reformen in dem afrikanischen Land , 	hieß 	es in einem jetzt in Washington veröffentlichten Bericht . 
heissen_s3980_f1	Ein weiteres Anzeichen für die Normalisierung der österreichischen Auslandsbeziehungen sei die Nominierung eines israelischen Botschafters , die `` sehr bald '' zu erwarten sei , 	hieß 	es . 
heissen_s4031_f1	Die stufenweise Einführung der 35-Stunden-Woche habe über 300 000 Arbeitsplätze in der Metallwirtschaft gesichert und Arbeitslosigkeit gemindert , 	hieß 	es in der Entschließung . 
heissen_s4262_f1	Es handele sich meist um kleinere Veranstalter , 	heißt 	es . 
heissen_s4352_f1	In einem Nachruf der Freien Universität Berlin 	heißt 	es , Holzkamp habe das Profil der Psychologie an der FU nachhaltig geprägt `` und mit seinen kritischen Einwendungen und Visionen auch der überregionalen Fachentwicklung entscheidende Impulse gegeben '' . 
heissen_s4625_f1	In Israel 	hieß 	es am Sonntag , der Mord an Rabin sei ein schwerer Schlag für den Geheimdienst Schin Beth , der für die innere Sicherheit und den Personenschutz in Israel zuständig ist . 
heissen_s4776_f1	Nicht auffallen 	heißt 	, nicht wahrgenommen werden , ignoriert werden , ein Nichts sein , beruflich wie privat . 
heissen_s4964_f1	In der Landespolizeischule in Basdorf 	heißt 	es , daß es einige unter dem Nachwuchs gibt , denen es peinlich ist , zur Polizei zu gehören . 
heissen_s5164_f1	Daskeywordtag 	heißt 	konkret : In allen Zukunftsfeldern der Technologie , in der Informations- und Telekommunikationstechnologie , in der Bio- und Gentechnik , bei den transeuropäischen Netzen für Transport und Energie , muß es mit seinem Angebot zur Spitzengruppe gehören ! 
heissen_s5205_f1	Wiekeywordtag die Währung 	heißen 	wird , ist sachlich sekundär , psychologisch aber nicht unwichtig . 
heissen_s5323_f1	Die Realität - daskeywordtag 	heißt 	abweichende Regelungen zu einigen tariflichen Bestimmungen in einer größeren Zahl vor allem mittlerer und kleinerer Betriebe - ist doch ursächlich nicht damit zu erklären , daß wir dort schlechtere Betriebsräte hätten oder in diesen Betrieben unsere Funktionäre die Grundsätze und Prinzipien unserer Organisation verraten würden . 
heissen_s5326_f1	Wir sind mit Aus- und Neugründungen von Betrieben konfrontiert , daskeywordtag 	heißt 	, auch die IG Metall muß sich auf diese anderen Betriebsstrukturen einstellen . 
heissen_s5333_f1	Tarifpolitisch 	heißt 	daskeywordtag , die Zukunft des Flächentarifvertrages bedarf differenzierterer und flexiblerer Antworten , oder wir sägen uns den Ast ab , auf dem wir vermeintlich sitzen . 
heissen_s5386_f1	Cluelesskeywordtag 	heißt 	soviel wie ahnungsloskeywordtag . 
heissen_s5587_f1	Konkret 	heißt 	daskeywordtag : Die Gewerkschaft will erst dafür sorgen , daß die 35-Stunden-Woche in den Betrieben Wirklichkeit wird , die seit einem Monat auf dem Papier gültig ist . 
heissen_s5653_f1	Die Frauen-Union wolle dazu beitragen , in ihrem Wirkungsbereich die Bereitschaft zu den notwendigen Verhaltensänderungen zu erhöhen , 	heißt 	es in dem Beschluß . 
heissen_s5700_f2	Soweit diese bei natürlichen Personen im Inland blieben , erhöhten sie nach Überschreiten der Sparerfreibeträge das zu versteuernde Einkommen der Empfänger , 	heißt 	es in dem Bericht . 
heissen_s5867_f1	Am Vortag war der Chef der palästinensischen Untergrundbewegung `` al Dschihad al Islami '' ( Heiliger Islamischer Krieg ) , Fathi Schikaki , in Malta erschossen worden - von Agenten des israelischen Geheimdienstes Mossad , wiekeywordtag es undementiert sofort 	hieß 	, und nach unbestätigten Pressemeldungen von Rabin persönlich gebilligt . 
heissen_s5883_f1	Während die ägyptische Führung kurz nach Bekanntwerden des Anschlags eine Erklärung verbreiten ließ , in der es 	hieß 	, daß der israelische Premier seine ganze Energie dem nahöstlichen Friedensprozeß gewidmet habe , sprach aus der ersten Stellungnahme des jordanischen Königs die Betroffenheit eines Mannes , dem der Verhandlungspartner zum - umstrittenen - persönlichen Freund geworden war : 
heissen_s6054_f1	Der verwundete Drache 	heißt 	ein Buchtitel , gemeinsam verantwortet von Yun und seiner früheren Gemahlin , der Dichterin Luise Rinser ( Frankfurt 1977 ) . 
heissen_s6056_f1	Bewegtheit in Unbewegtheit 	heißt 	eine Studie von H. Kunz , dem oben erwähnten Bote & Bock -Lektor , erschienen in München 1972 , und mittendrin sind wir mit dieser Formulierung im brodelnden Klangkessel von Yuns unvergleichlichen Tonvisionen . 
heissen_s6071_f1	Er sei eindeutig `` ein Schmitt-Weigand-Mann '' und daher als Nachfolger nicht tragbar , 	heißt 	es . 
heissen_s6321_f1	Die Transaktion eröffne beiden Unternehmen angesichts des schärfer werdenden Wettbewerbs etwa durch Anbieter aus den USA den Weg zu neuen Beziehungen , 	heißt 	es ergänzend in einer gemeinsamen Mitteilung . 
heissen_s6370_f1	40 Prozent der Russen bewerteten den 7. November 1917 positiv , 	hieß 	es nach Angaben des Instituts . 
heissen_s6543_f1	Der ehemalige Präsident Roh werde `` sehr wahrscheinlich '' festgenommen werden , 	hieß 	es . 
heissen_s6565_f1	In Koalitionskreisen 	hieß 	es am Montag , Rexrodt favorisiere das Modell des Münchener ifo-Instituts , das eine Öffnungszeit von 6 bis 22 Uhr während der Woche und bis 18 Uhr am Samstag vorsieht . 
heissen_s6567_f1	Eine `` Korridorlösung '' , also eine Vorgabe der wöchentlichen Gesamtöffnungszeit ohne Vorschrift für den einzelnen Tag , sei vom Tisch , 	hieß 	es . 
heissen_s6642_f1	Mit großer Wahrscheinlichkeit würden dann auch einige Schaupieler mit Bouchehri nach Darmstadt ziehen , 	hieß 	es . 
heissen_s7186_f1	Für die Anlagenbauer , ob siekeywordtag nun ABB oder Siemens 	heißen 	, ist der Umbau der ostdeutschen Stromwirtschaft eine willkommene Herausforderung . 
heissen_s7492_f1	Die einfache Antwort auf die Frage nach dem Wie 	heißt 	: Jedenfalls nicht wie bisher . 
heissen_s7496_f1	Auf sozialdemokratisch 	hieße 	daskeywordtag : Wir haben viel Verständnis für die Genossen und ihre Kinder , die durch Zwangsverschmelzung Mitglieder der SED geworden sind . 
heissen_s7569_f1	`` Diepgen und Stahmer '' 	hieß 	es bezeichnenderweise in einer von langer Hand organisierten und finanziell durch den früheren FDP-Wahlhelfer und Unternehmer Peter Herlitz sowie jetzt als Vorstandsvorsitzenden bei der Herlitz AG tätigen , früheren Diepgen-Staatskanzleichef Detlef Stronk bestens ausgestatteten angeblichen Wählerinitiative `` Stimmen für Berlin '' . 
heissen_s7608_f1	Seit längerem hätte Peking auf eine `` Reaktivierung '' der Militärbeziehungen gedrungen , 	heißt 	es aus deutschen Kreisen . 
heissen_s7622_f1	Der frühere General Schönbohm sei bei Verteidigungsminister Chi Haotian , dem Stellvertretenden Generalsstabschef Cao Gangchuan und anderen Militärs `` gut angekommen '' , 	heißt 	es in Peking . 
heissen_s7724_f1	In Kopenhagen 	heißt 	es , die USA zögen den dänischen Kandidaten seinem holländischen Widersacher Ruud Lubbers vor und seien nicht gewillt , sich bei der Kür des Nato-Chefs von den Europäern vor vollendete Tatsachen stellen zu lassen . 
heissen_s7737_f1	Entscheidend für seine Chancen sei daher nun die Frage , ob die USA gewillt sind , seinetwegen einen Konflikt mit den `` europäischen Schwergewichtlern '' zu suchen , 	heißt 	es in Kopenhagen . 
heissen_s7757_f1	In der Begründung 	heißt 	es , Iden habe sich `` in hohem Maße um Kunst und Kultur in Hessen verdient gemacht '' . 
heissen_s7869_f1	Sokeywordtag 	heißt 	es in einem `` Initiativantrag zur Wirtschafts- und Finanzpolitik '' für den Mannheimer SPD-Bundesparteitag in der kommenden Woche . 
heissen_s7875_f1	Die Verwirklichung des EU-Binnenmarktes , die Öffnung Mittel- und Osteuropas , die rasche Entwicklung der neuen Industriestaaten in Asien und der weltweite Abbau der Handelsschranken hätten zu einer `` Globalisierung der Märkte '' geführt , 	heißt 	es darinkeywordtag . 
heissen_s7878_f1	Deshalb müsse die EWU eine Stabilitätsgemeinschaft werden , `` sonst wird sie scheitern '' , 	heißt 	es in dem Initiativantrag . 
heissen_s8050_f1	Diese gesamtgesellschaftlichen Kosten müßten auch im Rahmen einer ökologischen Steuerreform finanziert werden , 	heißt 	es . 
heissen_s8061_f1	Schwerstbehinderte oder Blinde , denen diese wichtige Erleichterung vom Bahnpersonal aus Unkenntnis nicht zugestanden wird , können sich auf Empfehlung des Geschäftsbereichs Fernverkehr der Bahn unter der Telefonnummer 0 61 31 / 15 55 54 bei der Bahn melden , 	heißt 	es in der Mitteilung des Deutschen Blindenverbandes . 
heissen_s8391_f1	Doch wie 	heißt 	der Spruch im US-Geheimdienst : 
heissen_s8476_f1	Tolerierungkeywordtag 	heiße 	`` sich ausliefern '' , aber `` ihr ein Ministeramt anzuvertrauen , wird sie schwächen '' . 
heissen_s8478_f1	Noch sei die Ossi-Partei nicht so weit , 	heißt 	es allenthalben im Einklang mit Höppner . 
heissen_s8635_f1	Die Regierung habe ihre Ankündigung , die Rechte der Frauen zu stärken , nicht umgesetzt , 	heißt 	es in einem in London veröffentlichten Bericht . 
heissen_s8690_f1	Der Zusammenbruch des Kommunismus in der Sowjetunion sei nur ein vorübergehender Rückschlag , von dem die Bewegung sich erholen werde , 	hieß 	es . 
heissen_s8774_f1	`` Regieren und Herrschen ist strafrechtlich nicht als bloßes Unterlassen zu würdigen '' , 	hieß 	es in dem Beschluß . 
heissen_s8850_f1	`` Die scheinbare Rettung durch Zusicherung von sieben Millionen Mark jährlich von der Bundesregierung ist in Wahrheit nur die Fortsetzung eines Sterbeprozesses '' , 	heißt 	es in einem Memorandum . 
heissen_s9134_f1	Dieses Vorgehen habe den Anschein erweckt , als werde die Führungsrolle der USA in der Allianz in Frage gestellt , 	hieß 	es am Montag in Washington . 
heissen_s9149_f1	Der hiesige Markt , so 	hieß 	es im Handel weiter , habe auch von der Aufwärtsbewegung an der Pariser Börse nach der Ankündigung der Kabinettsumbildung in Frankreich profitiert . 
heissen_s9429_f1	Die Vagheit der Zuständigkeiten ließ viel Raum für schöne Pläne , doch jeder war von Beginn an belastet durch einen kleinen , aber folgenschweren Haken , derkeywordtag `` zoning system '' 	heißt 	. 
heissen_s10303_f1	Aber die USA , so 	hieß 	es am Abend aus diplomatischen Kreisen , hätten ihre Zustimmung noch nicht gegeben , `` aber auch kein Veto '' gegen Lubbers eingelegt . 
heissen_s10315_f1	Zwar 	hieß 	es , so etwas sei noch nie vorgekommen , aber mehr als ein Stirnrunzeln gestattete man sich nicht , zumal Lubbers aus der Einvernahme in strahlender Zuversicht hervorging . 
heissen_s10531_f1	`` Das heutige Albanien umfaßt nur die Hälfte der albanischen Nation auf dem Balkan '' , 	heißt 	es in dem Appell . 
heissen_s10881_f1	Vom Terminmarkt sei immer wieder leichter Verkaufsdruck ausgegangen , 	hieß 	es auf dem Parkett . 
heissen_s10892_f1	Im Handel 	hieß 	es , die weiter steigenden Kurse französischer Staatsanleihen hätten die deutschen Bundestitel gestützt . 
heissen_s11026_f1	In diplomatischen Kreisen 	hieß 	es , Ex-Juntachef Generaloberst Prosper Avril sei daraufhin in das kolumbianische Konsulat geflüchtet . 
heissen_s11191_f1	Die Belegschaften seien sehr verunsichert , 	heißt 	es in der Hamburger IG-Metall-Bezirksleitung . 
heissen_s11230_f1	Weiter 	heißt 	es in dem Brief : `` Beschämt und verwirrt , voll Trauer und das Haupt bedeckt in Schande erbitten wir Vergebung von Frau Rabin , ihrer Familie und dem ganzen israelischen Volk und erklären , daß wir Anstoß nehmen an jedweder Gewalt . '' 
heissen_s11519_f1	Der eine 	heißt 	Alexander Korschakow , ein Ordnungshüter im noch ziemlich fabrikfrischen Generalsrang , der in US-Filmen das Rollenfach `` Gorilla '' gut ausfüllen könnte . 
heissen_s11520_f1	Korschakow läßt aus lauter Fürsorge am liebsten niemanden ans Krankenbett des Boris Nikolajewitsch Jelzin außer jenen , diekeywordtag nachher in Traueranzeigen `` engster Familienkreis '' 	heißen 	. 
heissen_s11766_f1	Schließlich müsse man sich dergleichen nicht vorwerfen lassen , sei doch das Korps der Altmärker anno 1935 `` unter dem Druck der Nazis '' , wiekeywordtag es in der offiziellen Lesart des Korps 	heißt 	, selbst gezwungen worden , sich aufzulösen . 
heissen_s11768_f1	Leider , 	heißt 	es bei den `` Altmärkern '' , würden die Korps immer wieder völlig zu Unrecht mit den `` rechtslastigen '' Burschenschaften verwechselt . 
heissen_s11916_f1	Während der vergangenen Monate , in denen die von Präsidiumsmitglied Christoph Zöpel geleitete Arbeitsgruppe tätig war , `` erlebte die SPD ein bislang ungekanntes Tief an Negativstimmung '' , 	heißt 	es im Bericht . 
heissen_s12002_f1	Zu Stalins Zeiten 	hieß 	deren Apparat GPUkeywordtag , und so nannte Goebbels auch einen seiner plumpesten Propagandafilme . 
heissen_s12123_f1	`` In dieser Getto-Situation suchen sie Zuflucht in einer , kurdischen Identität ' , was zu einer wachsenden Radikalisierung führt '' , 	heißt 	es in der Studie . 
heissen_s12200_f1	Wegen technischer Probleme werde dies jedoch frühestens 1997 geschehen , 	heißt 	es . 
heissen_s12242_f1	Bei dem Institut 	hieß 	es zunächst , es lägen keine Hinweise vor , daß ein Angestellter gegen die Insiderbestimmungen verstoßen habe . 
heissen_s12539_f1	`` Vielleicht sind wir morgen schon bei null '' , 	heißt 	es im UN-Hauptquartier in Gaza . 
heissen_s12546_f1	Bessere materielle Lebensbedingungen , 	heißt 	es im Jerusalemer Außenministerium , werden die extremistischen Organisationen vom Zustrom neuer Anhänger und Kämpfer abschneiden . 
heissen_s12552_f1	Die Gebäude würden - 	heißt 	es in einem Report des Ifo-Instituts - `` am nächsten Tag in Flammen aufgehen '' ; 
heissen_s12591_f1	Denn : Zwar hatten der stellvertretende Bundesvorsitzende Wolfang Thierse , der ehemalige Bundestagsabgeordnete Gerd Wartenberg und der abgewählte Kreuzberger Bürgermeister Peter Strieder in redlicher Absicht die Rücktrittsforderung an die Amtsinhaber in den Leitantrag des Parteitages plaziert , um den Delegierten `` ein Gefühl der Offenheit '' ( Wartenberg ) zu vermitteln , Entscheidungsfreiheit vorzugaukeln und dem Traum der Basis entgegenzukommen , derkeywordtag da 	hieß 	: Ohne Senatoren muß Freiheit wohl grenzenlos sein . 
heissen_s12594_f1	Waskeywordtag 	heißt 	, man könne das zum Beiboot herabgesunkene einstige SPD-Flaggschiff Berlin nicht bei laufendem Betrieb reparieren ? 
heissen_s12601_f1	Neue Konzepte , 	hieß 	daskeywordtag , einzufordern für eine Sozialdemokratie , die in Berlin von lauter Spartenparteien mit fester Klientel umzingelt , nach Identifikationsmustern sucht für ihre Mitglieder wie für ihre davonlaufenden Wähler , hilfloses Stadtkind in der Mitten . 
heissen_s12955_f1	Darinkeywordtag 	heißt 	es , Fischers Position lasse den Unterschied zum `` Mainstream der Außenpolitik in CDU , SPD und FDP immer undeutlicher '' werden . 
heissen_s12969_f1	`` Antimilitarismus ist nicht zahnlos , Pazifismuskeywordtag 	heißt 	nicht Duldsamkeitkeywordtag . '' 
heissen_s12981_f1	Sie müsse eindeutig über eine Wirtschaftsgemeinschaft hinausgehen , 	hieß 	es in einem jetzt veröffentlichten Urteil des 5. Senats . 
heissen_s12994_f1	Anderntags 	heißt 	es dann nicht selten , es habe einen `` harten Schlagabtausch '' zwischen Opposition und Regierungsparteien gegeben . 
heissen_s13054_f1	Vor den drei Landtagswahlen am 24. März , so 	hieß 	es , werde keine Entscheidung fallen . 
heissen_s13100_f1	Vor den drei Landtagswahlen am 24. März , so 	hieß 	es , werde keine Entscheidung fallen . 
heissen_s13162_f1	In dem Lager fehlten Wasser und Nahrung , die sanitären Verhältnisse seien katastrophal , die Zelte böten Kindern und Alten keinen Schutz , 	hieß 	es in der Erklärung . 
heissen_s13178_f1	`` Dieser Kampf wird weitergehen , bis die Schneiders frei und in vollem Umfang für ihre Verluste entschädigt sein werden '' , 	hieß 	es in einer schriftlichen Erklärung des New Yorker Rechtsanwalts . 
heissen_s13285_f1	`` Wir wollen damit verhindern , daß eine allein subjektive Sicht von Wolf referiert wird '' , 	hieß 	es bei Bertelsmann . 
heissen_s13380_f1	Der Beschluß des US-Bundesrichters William Turnoff in Miami über die Rechtmäßigkeit der Auslieferung von Schneider nach Deutschland sei `` mit Genugtuung '' aufgenommen worden , 	hieß 	es bei der Ermittlungsbehörde und bei dem Geldkonzern als größtem Kreditgeber des getürmten Baulöwen . 
heissen_s13398_f1	Nunmehr sind unsere Erwartungen bestätigt worden , daß sich Schneider alsbald vor einem deutschen Gericht verantworten muß '' , 	hieß 	es bei dem Institut . 
heissen_s13414_f1	Ein Friedensabkommen sei nur noch eine Frage von Tagen , 	hieß 	es . 
heissen_s13506_f1	Der Anbau soll nur landwirtschaftlichen Betrieben gestattet werden , 	heißt 	es in einem Entwurf zur Änderung des Betäubungsmittelgesetzes , den Seehofers Ministerium am heutigen Donnerstag in Bonn ankündigte . 
heissen_s13535_f1	In dem Lager fehlten Wasser und Nahrungsmittel , die sanitären Verhältnisse seien katastrophal und die Zelte böten insbesondere Kindern und älteren Menschen nicht genügend Schutz , 	hieß 	es in einer am Mittwoch veröffentlichten Erklärung . 
heissen_s13537_f1	Wenn nicht innerhalb von einer Woche eine Lösung gefunden werde , könnten sich die Menschen gezwungen sehen , `` wenig wünschenswerte Taten '' zu begehen , 	hieß 	es in der Erklärung , ohne daß konkrete Einzelheiten genannt wurden . 
heissen_s13547_f1	Eine erneute Prüfung habe `` nichts ergeben , was die Gültigkeit der Vorschriften beeinträchtigen könnte '' , 	heißt 	es in der Urteilsbegründung . 
heissen_s13657_f1	Ein Friedensabkommen sei nur noch eine Frage von Tagen , 	hieß 	es . 
heissen_s13660_f1	Aus einer der Delegationen vom Balkan 	hieß 	es am Donnerstag , man stehe vor einem wichtigen Tag . 
