bedeuten_s117_f1	FR : Waskeywordtag 	bedeutet 	daskeywordtag nun im Hinblick auf Strategien - sollen die Rechtsextremen in den Parlamenten und in den Medien ignoriert werden ? 
bedeuten_s5544_f0	Andere wählten ihn als `` kleineres Übel '' angesichts der Gefahren , diekeywordtag die Präsidentschaft eines Postkommunisten ihrer Meinung nach 	bedeutet 	. 
bedeuten_s5589_f0	Statistisch 	bedeutet 	daskeywordtag für jeden Metaller fast zwei Wochen Zusatzarbeit im Jahr . 
bedeuten_s5885_f0	Für mich 	bedeutet 	sein Tod einen unersetzlichen Verlust . '' 
bedeuten_s7222_f0	Daskeywordtag 	bedeutet 	, räumt Hojczyk ein , schmerzhafte Einbußen für die KNG und die Veag , die statt der geplanten 300 MW Fernwärme wohl nur die Hälfte verkaufen können . 
bedeuten_s7469_f0	Wenn die SPD , im Respekt vor dem Willen der Wähler , der Union die Verantwortung für den Senat zuweist , dann 	bedeutet 	daskeywordtag eben keine Tolerierung . 
bedeuten_s7705_f0	Eine Pikanterie des Falles Mortier 	bedeutet 	zudem noch die Tatsache , daß der Salzburger Festspielintendant mit einer Jahresgage von 3,3 Millionen Schilling etwas höher rangieren würde als der amtierende Wiener Staatsoperndirektor Jon Holender . 
bedeuten_s7707_f0	In diesem Unterschied sieht Mortier nun offenbar noch Verhandlungsspielraum , so daß die Summe von 3,3 Millionen nicht sein letztes Wort 	bedeuten 	muß . 
bedeuten_s7909_f0	( ... ) Bei Menschen könnte daskeywordtag 	bedeuten 	, daß sie bis zu ihrem hundertsten Geburtstag oder länger gesund und aktiv bleiben könnten ! '' 
bedeuten_s8791_f0	Er bekräftigte , daß die Beerdigung Rabins nicht das Ende des Friedensprozesses 	bedeute 	. 
bedeuten_s9049_f0	Bremens Bürgermeister Henning Scherf ( SPD ) sagte , der freiwillige Gang der Berliner SPD in die Opposition sei ein `` Armutszeugnis '' , weil eskeywordtag 	bedeuten 	würde , daß sich die Partei `` nicht mehr traut , in der Regierung mitzugestalten '' . 
bedeuten_s9296_f1	Auf unseren Fall bezogen 	bedeutet 	dieskeywordtag : Im Zieljahr 2005 läßt eine demographische Projektion einen Ausgangsbestand von ca. 420 000 Neunzehnjährigen erwarten . 
bedeuten_s9301_f1	48 % Grundwehrdienstleistende in der präsenten Truppe 	bedeuten 	, daß der Anteil dieser Gruppe - einem bestehenden Trend entgegen - leicht ausgeweitet wird . 
bedeuten_s9931_f0	Peres bekräftigte , die Beerdigung Rabins 	bedeute 	nicht das Ende des Friedensprozesses . 
bedeuten_s10258_f0	Ein verstärktes Engagement im Umweltschutz 	bedeute 	zwar einen erheblichen zeitlichen und finanziellen Aufwand . 
bedeuten_s11196_f0	`` Den Beginn über 1999 hinaus zu verschieben , könnte das definitive Ende der EWU 	bedeuten 	'' , sagte er im Internationalen Club Frankfurter Wirtschaftsjournalisten zu entsprechenden Forderungen von SPD-Politikern sowie der Verbandsspitze der Volks- und Raiffeisenbanken . 
bedeuten_s11365_f0	Sie wissen , ebenso wie wir , deswegen nur zu gut , waskeywordtag Kommunismuskeywordtag 	bedeutete 	und mit welch ausgeklügelten Methoden er Rückgrate zu verkrümmen und menschliche Seelen zu zerstören vermochte . 
bedeuten_s11391_f0	Das Adjektiv postkommunistisch kann jedoch Verschiedeneskeywordtag 	bedeuten 	. 
bedeuten_s11394_f0	Daskeywordtag 	bedeutet 	, es ist eine Periode der Bildung eines pluralistischen politischen Spektrums und gleichzeitig eine Periode eines dramatischen Umbaus der Verfassungsordnung und der gesamten Rechtsordnung sowie grundlegender den Übergang zur Marktwirtschaft gewährleistender Systemänderungen , deren typischer Bestandteil die Privatisierung ist . 
bedeuten_s11773_f1	Im Korps zu sein 	bedeutet 	ihnenkeywordtag mehr als die Migliedschaft in einer Partei . 
bedeuten_s12153_f0	Für Büschgen signalisieren Entscheidungen deutscher Banken für Investmentbanking an der Themse das Akzeptieren `` höherer Leistungsfähigkeit und größeren Bedeutungsgewichts Londons und können damit Resignationkeywordtag für den Finanzplatz Frankfurt 	bedeuten 	'' . 
bedeuten_s12504_f1	Der Sieg des Demokraten Paul Patton im Tabakstaat Kentucky 	bedeutet 	für Bill Clinton allerdings nicht unbedingt eine Stärkung . 
bedeuten_s12620_f0	Nur der finanzsachkundige Delegierte Jürgen Lüdtke hatte dem Parteitag dezent 	bedeutet 	, der wisse nicht , was er da tue . 
bedeuten_s14213_f1	Sie weiß , daß der Unterschied zwischen 130 und 5500 Tonnen Gift etwaskeywordtag 	bedeutet 	. 
bedeuten_s14295_f1	Für Mangelsdorff und seine Mannschaft 	bedeutete 	daskeywordtag zunächst , Mängel auszubügeln , Versäumnisse auszugleichen , die Musikerkreise seit Jahren , wenn nicht Jahrzehnten dem Berliner Festival ankreiden . 
bedeuten_s14835_f1	Die dänische Atomversuchsstation Risö , die die Untersuchungen vornahm , stellte bald schon fest , daß die Ausbreitung von Radioaktivität nach dem Unfall kein Risiko 	bedeute 	und keine Schäden nach sich ziehen werde . 
bedeuten_s14849_f0	In dem Brief heißt es : `` Informell und inoffiziell wurde unskeywordtag 	bedeutet 	, Sie fühlten sich an die Zusagen Ihres Vorgängers nicht mehr gebunden . '' 
bedeuten_s14881_f0	Nachhaltigkeitkeywordtag 	bedeutet 	, die wirtschaftliche Entwicklung so auszurichten , daß die Bedürfnisse in der Gegenwart auf eine Weise befriedigt werden , daß auch künftige Generationen ihre Bedürfnisse angemessen verwirklichen können . 
bedeuten_s14936_f3	Dennoch kommt die ökologische Wende nicht durch die Verlängerung der heutigen End-of-Pipe-Technik , diekeywordtag zwar für die Anbieter Märkte und Renditen , für die Anwender aber oft Zusatzkostenkeywordtag 	bedeutet 	. 
bedeuten_s15191_f0	Und daskeywordtag 	bedeutet 	: Schluß mit einer Politik , die nichts als Haß sät , nach außen wie nach innen . 
bedeuten_s15455_f0	Powells Absage 	bedeutet 	aber noch keinen endgültigen Rückzug . 
bedeuten_s15577_f0	Für eine stetig steigende Zahl von Bürgern und Unternehmen 	bedeutet 	dieskeywordtag , daß sie beim Anschluß ans Telefonnetz nicht mehr exklusiv auf die Dienste der Deutschen Telekom angewiesen sind . 
bedeuten_s15868_f0	Daskeywordtag hatte etwaskeywordtag zu bedeuten in einer Zeit , die nicht länger die Baukünstler nur aus Italien beziehen wollte . 
bedeuten_s16723_f1	Waskeywordtag 	bedeutet 	eigentlich der Begriff moderne Wirtschaftspolitik ? / 
bedeuten_s17109_f0	Denn für den bei minus 271 Grad arbeitenden Satelliten 	bedeute 	dessen Temperatur fast Gluthitze . 
bedeuten_s17194_f0	Für Schröder 	bedeutet 	seine Sicht Ausschluß ausländischer Unternehmen von möglichen `` Segnungen '' nationaler Wirtschaftspolitik . 
bedeuten_s17195_f0	Für Reich 	bedeutet 	seine Sicht : Qualifizierung der Arbeitskräfte und Begünstigung der Investitionen , ob inländisch oder ausländisch spielt keine Rolle . 
bedeuten_s17646_f0	Richtig verstandene wohlfahrtsstaatliche Politik 	bedeutet 	von der Konzeption her nicht steigende Abgaben- und Staatsquoten und `` staatliche Überbetreuung '' des einzelnen - die Realität sieht leider anders aus - , wohl aber eine Abstimmung und Verzahnung der verschiedenen Politikfelder im Hinblick auf das übergeordnete Ziel `` Annäherung der individuellen Startchancen und Partizipationsmöglichkeiten '' . 
bedeuten_s17649_f0	Konkret 	bedeutet 	dieskeywordtag eine Abkehr vom Ziel der Einzelfallgerechtigkeit im Ergebnis und eine Hinwendung zu klaren institutionellen Vorgaben , die jedem Wirtschaftssubjekt , ausgehend von seiner jeweiligen Position , ein Höchstmaß an institutioneller Gleichbehandlung einräumt , ohne daß diese Gleichbehandlung für die Ergebnisse gilt . 
bedeuten_s17825_f0	Waskeywordtag daskeywordtag in der Konsequenz gerade für die neuen Bundesländer 	bedeutet 	, die in vielen Regionen auf ihre wertschöpfungsintensiven Branchen wie die Chemie oder den Maschinenbau setzen ( müssen ) , läßt sich absehen . 
bedeuten_s18039_f1	Gerhard Fels : Waskeywordtag 	bedeutet 	eigentlich der Begriff moderne Wirtschaftspolitik ? ( Seite 6 ) 
bedeuten_s18047_f2	Nachhaltigkeitkeywordtag 	bedeutet 	, die wirtschaftliche Entwicklung so auszurichten , daß die Bedürfnisse in der Gegenwart auf eine Weise befriedigt werden , daß auch künftige Generationen ihre Bedürfnisse angemessen verwirklichen können . 
bedeuten_s18102_f2	Dennoch kommt die ökologische Wende nicht durch die Verlängerung der heutigen End-of-Pipe-Technik , diekeywordtag zwar für die Anbieter Märkte und Renditen , für die Anwender aber oft Zusatzkostenkeywordtag 	bedeutet 	. 
bedeuten_s18842_f0	Daskeywordtag 	bedeutet 	eine mittelfristige Obergrenze von ein Prozent des Bruttoinlandsprodukts in wirtschaftlichen Normallagen . 
bedeuten_s19348_f0	Die Ausladung 	bedeute 	ein solches Signal . 
bedeuten_s20146_f0	Siekeywordtag 	bedeuten 	die Rückkehr zum Wahlprozeß . 
bedeuten_s20584_f1	Für die Funktionäre des Dachverbandes 	bedeutet 	daskeywordtag : Sie stehen mit einem Fuß im Gefängnis . 
bedeuten_s21456_f0	Dieskeywordtag 	bedeute 	die Rückkehr zur Fähigkeit , `` in Ruhe und vor allem ohne gegenseitige Diffamierung die Argumente auszutauschen '' . 
bedeuten_s21904_f1	Diese Zeit geht vor allem Kindern verloren , denn jede Stunde mehr vor dem TV 	bedeutet 	eine Stunde weniger mit Freunden oder der Familie , mit möglicherweise negativen Folgen für die individuelle und soziale Entwicklung . 
bedeuten_s22362_f0	Bei einem Mineralölsteuersatz von 98 Pfennig und einem Mehrwertsteueranteil von rund 17 Pfennig 	bedeute 	dieskeywordtag Verkauf unter Einstandskosten . 
bedeuten_s23044_f0	und selbst was die neue Naturgas-Fabrik betreffe , 	bedeute 	aufgeschobenkeywordtag nicht aufgehobenkeywordtag : 
bedeuten_s24268_f0	Daskeywordtag 	bedeutet 	: Von Januar bis März 1995 eine Einmalzahlung von 152 Mark , vom 1. März an 3,4 Prozent und vom 1. November an 3,6 Prozent mehr . 
bedeuten_s24541_f0	Aber das Vorhaben heute zu verschieben , würde 	bedeuten 	, den heilsamen Zwang zur Preisstabilität und Haushaltsdisziplin , dem sich alle EU-Mitglieder freiwillig unterworfen haben , zu lockern . 
bedeuten_s24815_f0	Als Gründe für das Aussterben der Arten nennt die Studie das Wachstum der Bevölkerung , die zunehmende Verschmutzung von Luft und Wasser sowie die Ignoranz der globalen Wirtschaft , die den Wert nicht begreife , denkeywordtag der Erhalt der Arten 	bedeute 	. 
bedeuten_s25129_f0	Längst nicht jede 	bedeute 	aber auch eine finanzielle Einbuße . 
bedeuten_s26108_f0	Erstens 	bedeutet 	dieser partizipatorische Schritt eine Kampfansage an die monopolistische Entscheidungskompetenz staatlicher Experten , die nunmehr auch machtpolitisch in Konkurrenz zur strategischen Kompetenz der sozialen Bewegungen bzw. der NGO stehen und daher gezwungen sind , ihre Handlungen einer erheblich kritischeren gesellschaftlichen Instanz gegenüber zu legitimieren . 
bedeuten_s26147_f2	Und die Parteien der Arbeiterbewegung fanden allmählich Gefallen an der Idee , daß der Kolonialismus für die unterjochten Völker nicht unbedingt eine Katastrophe , sondern auch einen Segen 	bedeuten 	könne . 
bedeuten_s26297_f0	`` Kindgemäßkeywordtag 	bedeutet 	ja immer , daß ich als Erwachsener interpretiere , was dem Kind gemäß ist . '' 
bedeuten_s26919_f0	Geulen sprach ebenso wie Wolfgang Baumann , Anwalt der Bürgerinitiativen , von `` unterschlagenen Erdbeben '' , diekeywordtag eigentlich das `` definitive Todesurteil '' für den Reaktor 	bedeuten 	müßten . 
bedeuten_s27320_f0	Ein Gewinn von 62 Millionen Mark vor Steuern ( netto blieben 23 Millionen übrig ) 	bedeutet 	eine Steigerung um 381 Millionen Mark innerhalb von zwölf Monaten - und dies , obwohl laut Schulmeyer zuletzt rund 400 Millionen Mark für die Restrukturierung des Unternehmens aufgewendet werden mußten . 
bedeuten_s28100_f0	Der BUND erklärte , Dauerlärmkeywordtag 	bedeute 	auch Dauerstreßkeywordtag . 
bedeuten_s28189_f0	Wer das heutige Spanien betrachtet , kann sich kaum vorstellen , daß dort vor zwei Jahrzehnten noch der letzte Diktator Westeuropas im Amt war , daß Unfreiheit herrschte , diekeywordtag für die demokratische Opposition Gefängnis oder gar den Tod 	bedeuten 	konnte , und der greise `` Caudillo von Gottes Gnaden '' zwei Monate vor seinem Ende noch fünf Todesurteile vollstrecken ließ . 
bedeuten_s28753_f0	Die heutige Ökologisierung 	bedeutet 	nicht , alles mit der Hand zu machen . 
bedeuten_s28792_f1	Übersetzt aus der Beamten-Sprache in das Alltagsleben 	bedeutet 	dieser Ukas , daß z. B. ein älteres Ehepaar aus Belgrad die neugeborene Enkelin in der Bundesrepublik nicht besuchen darf . 
bedeuten_s29388_f0	Mao Zedong ebenso wie Deng Xiaoping haben immer wieder betont , daß der `` kapitalistische Weg '' mit beispielsweise einer bürgerlichen Liberalisierung , wie man sie in westlichen Demokratien kennt , für China nur Chaos und Zerfall 	bedeutet 	hätten . 
bedeuten_s29696_f1	`` Jedoch 	bedeutete 	dieskeywordtag noch nicht die Rückkehr zu normalen Verhältnissen , da die Spuren der Rezession keineswegs schon vollständig beseitigt sind . '' 
bedeuten_s29814_f0	Innerhalb der Hoechst-Arbeitsgebiete waren Offset-Druckplatten isoliert , während siekeywordtag für Agfa eine `` wesentliche Ergänzung '' 	bedeuten 	. 
bedeuten_s30181_f0	Für die mit 6,6 Millionen Mitgliedern größte deutsche Krankenkasse 	bedeutet 	diese Entwicklung , daß sie im laufenden Jahr entgegen den Budgetplänen für 1995 mit einem Defizit - schätzungsweise 300 bis 400 Millionen - abschließen wird . 
bedeuten_s30247_f0	Für viele Banken , Versicherungen oder Bausparkassen hätte dieskeywordtag die Pleite 	bedeutet 	. 
bedeuten_s31206_f0	`` Kinderarbeitkeywordtag 	bedeutet 	auch Selbständigkeit und soziale Anerkennung für die Kinder , die zum Unterhalt der Familie beitragen '' , sagte Elisabeth D'Hondt vom Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung . 
bedeuten_s31886_f0	Nicht umsonst 	bedeutet 	der Name seiner Grenzregion , mit der es dem mediterranen Nachbarn Spanien seinen gebirgigen Rücken zudreht , soviel wie `` Jenseits der Berge '' . 
bedeuten_s32119_f1	Daskeywordtag aber 	bedeutet 	nichts anderes , als daß man das Individuum aus seiner Verantwortung entläßt und damit auf jene strapaziösen Auseinandersetzungen verzichtet , ohne die es demokratisch zustande gekommene Lösungen nicht geben kann . 
bedeuten_s32436_f0	Für die Umsetzung einer adäquaten frauenpolitischen Berichterstattung 	bedeutet 	dieskeywordtag zunächst ganz allgemein , gängige Denk- und Fernseh-Gewohnheiten zu provozieren . 
bedeuten_s33320_f0	Lafontaine widersprach am Abend der Darstellung , daß seine Wahl einen Linksruck in der SPD 	bedeute 	. 
bedeuten_s33657_f0	Die Abwahl Scharpings durch einen `` inszenierten Putsch '' 	bedeute 	für die SPD keine Lösung , sondern `` die Eskalation ihrer Krise '' , meinte Hintze . 
bedeuten_s34019_f0	Daskeywordtag hätte 	bedeutet 	- hielte sich die Fraktion brav an Parteitagsbeschlüsse - , im Bundestag womöglich mit `` nein '' stimmen und die deutsche Beteiligung an der Friedenssicherung verhindern zu müssen . 
bedeuten_s34344_f0	Dieskeywordtag 	bedeute 	, Aggression und Völkermord nie wieder hinzunehmen , sagte der Professor an der Bundeswehrhochschule München . 
bedeuten_s34836_f0	Dieses Plädoyer für die Wiedergewinnung politischer Handlungsfähigkeit und schnelle Schritte zur europäischen Integration 	bedeutet 	natürlich nicht , alle politischen Kompetenzen auf supranationale Instanzen zu übertragen . 
bedeuten_s35333_f0	Diesen Angeklagten einen vergifteten Becher reichen , 	bedeutet 	, ihn an unsere eigenen Lippen zu bringen . '' 
bedeuten_s35629_f0	`` Wenn Entwicklungsländer wohlhabend werden und Milliarden von Menschen der Armut entrinnen , 	bedeutet 	dieskeywordtag eine enorme Chance für den Welthandel '' , verkündete das chinesische Staatsoberhaupt . 
bedeuten_s35750_f0	Aber waskeywordtag 	bedeutet 	diese Wahl für Polen ? 
bedeuten_s35835_f0	Falls sie bei dieser Haltung blieben , hieß es in Jakarta , würde daskeywordtag das Scheitern des Abkommens zur biologischen Vielfalt 	bedeuten 	. 
bedeuten_s36688_f0	Daskeywordtag 	bedeutet 	den Absatz von 60 Millionen Flaschen . 
bedeuten_s36784_f0	In jedem Einzelfall geht es um ein hübsches Sümmchen , daskeywordtag den finanziellen Grundstock für die Dauerkarte der nächsten Saison 	bedeuten 	kann . 
bedeuten_s36883_f0	Mehr als sechs Jahre lang ermittelte die Bochumer Schwerpunktstaatsanwaltschaft für Wirtschaftskriminalität in einem Finanzskandal , derkeywordtag 1991 um ein Haar das Aus der damals unter Harpener firmierenden Dortmunder Holding 	bedeutet 	hätte . 
bedeuten_s37198_f0	Durch das `` Going Public '' der Telekom ( Emissionsvolumen 20 Milliarden Mark ) seien 500 000 neue Privatkunden für diese Art von Wertpapieren begeistert worden , waskeywordtag eine Steigerung um gut zehn Prozent auf rund fünf Millionen Aktionäre in der Bundesrepublik 	bedeutet 	. 
bedeuten_s37401_f0	Für die Aktienmärkte würde dieskeywordtag anhaltenden `` Rückenwind '' 	bedeuten 	. 
bedeuten_s37469_f0	`` Höhere Kaufkraft 	bedeutet 	höhere Kosten für Unternehmen '' , meinte der Minister . 
bedeuten_s37645_f0	Daskeywordtag 	bedeute 	nicht , daß das Alte verschwindet . 
bedeuten_s38687_f0	Statt Reduzierung 	bedeutete 	daskeywordtag eine Erhöhung auf 8200 Mark . 
bedeuten_s38975_f1	Doch mehr Wettbewerb 	bedeutet 	nicht weniger Politik 
bedeuten_s39290_f0	Für Werkleiter Eberhard Haller 	bedeutet 	das Arbeitszeitmodell mit seinem Höchstmaß an Flexibilität `` eine optimale Ausrichtung an den Kundenwünschen '' . 
bedeuten_s39833_f0	Die Aufwertung der Währung , das Haushaltsdefizit von 27 Milliarden Pfund in diesem Jahr , der allmähliche Schwund der Einkünfte aus dem Nordsee-Öl und der versandende Geldfluß aus der Privatisierungs-Pipeline 	bedeuten 	für eine Blair-Regierung , auch bei beschränktem sozialem Ehrgeiz , enorme Herausforderungen . 
