Arbeitgeber_f0	Dabei geht es vor allem um die Milliardenverluste produzierende verstaatlichte Industrie diekeywordtag zugleich der größtekeywordtag 	Arbeitgeberkeywordtag 	istkeywordtag 
Arbeitgeber_f0	Töpfer versicherte die Bundesregierung bekenne sich trotz Kritik der 	Arbeitgeberkeywordtag 	zum Gesetzentwurf 
Arbeitgeber_f0	DGB-Chef Dieter Schulte lobte das vergangene Woche von der IG Metall vorgeschlagene `` Bündnis für Arbeit '' und mahnte eine `` Bringschuld '' der 	Arbeitgeberkeywordtag 	an 
Arbeitgeber_f0	Flexibel sind sie schon die 	Arbeitgeberkeywordtag 	vor allem was ihre eigene Personalpolitik anbelangt 
Arbeitgeber_f0	Die Frage ist nur Leiden maßgebliche Vertreter der 	Arbeitgeberkeywordtag 	an Gedächtnisschwund oder ist der Verband in so desolatem Zustand daß nur noch der Griff zum Altbewährten das endgültige Fiasko abzuwenden verspricht 
Arbeitgeber_f0	Es gab Dumpingangebote in Tarifrunden es folgte ein Novum der Tarifgeschichte als die 	Arbeitgeberkeywordtag 	1993 von sich aus die Tarifverträge kündigten 
Arbeitgeber_f0	Gewerkschaftsbund und 	Arbeitgeberkeywordtag 	erzielen Einigung über Mindestrecht 
Arbeitgeber_f0	Es wäre die erste erfolgreiche Anwendung dieses neuen Verfahrens das die Ausarbeitung eines europäischen Gesetzes Gewerkschaften und 	Arbeitgebernkeywordtag 	überläßt während sonst die nationalen Regierungen den Ton angeben 
Arbeitgeber_f0	Auch die Gewerkschafts-Klage über die `` Untätigkeit von Politik und öffentlichenkeywordtag 	Arbeitgebernkeywordtag 	die es zu einem Reformstau im öffentlichen Dienst '' hätten kommen lassen stimmt mit der großherzoglichen Mahnung überein `` übernommene Einrichtungen und Vorschriften den modernen Verhältnissen anzupassen '' 
Arbeitgeber_f0	Der Entwurf einer neuen Datenschutzrichtlinie verbot es daß Kirchen 	Arbeitgeberkeywordtag 	und Staat Daten miteinander austauschen 
Arbeitgeber_f0	Arbeitnehmer die sich ihre Kündigung durch Zahlungen des 	Arbeitgeberskeywordtag 	`` vergolden '' lassen müssen mit einer Sperre des Arbeitslosengeldes rechnen 
Arbeitgeber_f0	Das Bundessozialgericht BSG hat am Donnerstag in Kassel entschieden daß Arbeitnehmer die sich ihre Kündigung vom 	Arbeitgeberkeywordtag 	`` vergolden '' lassen mit einer Sperre des Arbeitslosengeldes rechnen müssen 
Arbeitgeber_f0	Mit der jetzigen Entscheidung wird aber festgestellt daß nicht nur der klassische Aufhebungsvertrag zu einer Sperre des Arbeitslosengeldes führen kann sondern daß auch `` Vereinbarungen '' die neben einer offiziellen Kündigung getroffen wurden und in denen sich der Mitarbeiter meist gegen Zahlung seitens des 	Arbeitgeberskeywordtag 	mit der Kündigung einverstanden erklärt als Auflösung des Arbeitsverhältnisses gelten können 
Arbeitgeber_f0		Arbeitgeberkeywordtag 	fordern vier reale Nullrunden 
Arbeitgeber_f0	Die 	Arbeitgeberkeywordtag 	halten das von IG-Metall-Chef Klaus Zwickel angeregte `` Bündnis für Arbeit '' nur für finanzierbar wenn es eine vierjährige Pause bei Reallohnerhöhungen gibt 
Arbeitgeber_f0	Die von Zwickel geforderten 330 000 zusätzlichen Stellen würden Mehrkosten von insgesamt 50 Milliarden Mark verursachen heißt es in einer internen Analyse der 	Arbeitgeberkeywordtag 	die der dpa vorliegt 
Arbeitgeber_f0	Auch bundespolitisch gibt es aus unserer Sicht zu dem Weg einer zwischen 	Arbeitgebernkeywordtag 	Gewerkschaften Bundesbank und Staat abgestimmten Wirtschaftspolitik keine erfolgsversprechende Alternative die dem Dreiklang sozialdemokratischer Wirtschaftspolitik entsprechen würde 
Arbeitgeber_f0	Die inzwischen zur Tradition gewordenen `` Kanzlergespräche '' Kohls mit den Spitzen von 	Arbeitgebernkeywordtag 	und Arbeitnehmern sind ebenfalls eine Idee aus Scharpings `` Regierungsprogramm 94 '' die der Kandidat als `` Beschäftigungspakt gegen Massenarbeitslosigkeit '' gefordert hatte 
Arbeitgeber_f0	`` Der avisierte Dreierpakt zwischen Politik 	Arbeitgebernkeywordtag 	und Gewerkschaft wird mit Sicherheit bei den Tarifverhandlungen für die Chemieindustrie eine wichtige Rolle spielen '' sagt Hubertus Schmoldt der Vorsitzende der IG Chemie-Papier-Keramik 
Arbeitgeber_f0	Gerade die deutschen Konzerne prägen noch die autoritäre Einstellung des 	Arbeitgeberskeywordtag 	`` gegen seine abhängig Beschäftigten '' ein hierarchisches Denken das Eigeninitiative und Selbstbestimmung der mitarbeitenden Menschen unterbindet 
Arbeitgeber_f0	Wer als 	Arbeitgeberkeywordtag 	die arbeitenden Menschen immer noch als Gegner ansieht und zu einem partnerschaftlichen Miteinander nicht bereit ist sägt am Ast auf dem wir alle sitzen 
Arbeitgeber_f0	Dieser darf durch Nachlässigkeit der 	Arbeitgeberkeywordtag 	nicht gefährdet werden 
Arbeitgeber_f0	Wir appellieren an die Sozialpartner sowie an die öffentlichenkeywordtag 	Arbeitgeberkeywordtag 	Maßnahmen zur Förderung der Teilzeitarbeit der Jahres- und Lebensarbeitszeit Unterbrechungsmöglichkeiten der beruflichen Tätigkeiten beispielsweise durch ein Sabbatjahr und bezahlte Freistellungen zur Förderung der beruflichen Qualifizierung mit weiteren Formen der Arbeitszeitverkürzung zu kombinieren 
Arbeitgeber_f0		Arbeitgeberkeywordtag 	die von der billigen Arbeitskraft illegaler Ausländer profitierten müßten bei Aufdeckung außer den Bußgeldern auch den Betroffenen eine Art Abfindung zahlen forderte er 
Arbeitgeber_f0	Die Zusage des 	Arbeitgeberskeywordtag 	auf Erstattung der Umzugskosten beinhalte im Zweifel auch den Rückumzug entschied das Bundesarbeitsgericht BAG in einem am Montag in Kassel veröffentlichten Urteil Az. 5 AZR 216 94 
Arbeitgeber_f0	Seine Bank wollte die Filiale in Hongkong schließen und hatte ihm `` empfohlen '' Angeboten anderer 	Arbeitgeberkeywordtag 	näherzutreten 
Arbeitgeber_f0	Wir informieren dann die 	Arbeitgeberkeywordtag 	die ja immer sagen daß sie gegen Lohndumping sind '' 
Arbeitgeber_f0	Im Gegenzug verlangt der Gewerkschafter von den 	Arbeitgebernkeywordtag 	die Zusage in den nächsten drei Jahren auf betriebsbedingte Kündigungen zu verzichten 300 000 zusätzliche Arbeitsplätze zu schaffen 30 000 Langzeitarbeitslose einzustellen sowie die Zahl der Lehrstellen um fünf Prozent per annum zu steigern 
Arbeitgeber_f0	Das Klagelied der 	Arbeitgeberkeywordtag 	ist bekannt 
Arbeitgeber_f0	Somit hätten dann auch die 	Arbeitgeberkeywordtag 	die Möglichkeit die IG Metall beim Wort zu nehmen 
Arbeitgeber_f0	Über diese sollten sich die Beschäftigten selbst vor allem aber die 	Arbeitgeberkeywordtag 	und die Betriebs- beziehungsweise Personalräte informieren 
Arbeitgeber_f0	`` Empörung '' und `` Unverständnis '' herrscht unter den Beschäftigten des Deutschen Gewerkschaftsbundes DGB über den eigenenkeywordtag 	Arbeitgeberkeywordtag 	
Arbeitgeber_f0		Arbeitgeberkeywordtag 	zerstritten 
Arbeitgeber_f0	So auch die Bitte der Gewerkschaften Sozialverbände und Behindertenorganisationen jene Ausgleichsabgabe drastisch zu erhöhen die 	Arbeitgeberkeywordtag 	dafür zahlen müssen wenn sie nicht wie vorgeschrieben sechs Prozent ihrer Stellen mit Behinderten besetzen 
Arbeitgeber_f0	Der 	Arbeitgeberkeywordtag 	kann sie von den im Sozialplan vorgesehenen Abfindungszahlungen ausschließen bestätigte das Bundesarbeitsgericht BAG mit zwei jetzt veröffentlichten Urteilen 
Arbeitgeber_f0	Kündige ein Angestellter selbst verlierekeywordtag der 	Arbeitgeberkeywordtag 	unter Umständen einen Mitarbeiter den er für eine `` geordnete Durchführung der Betriebsänderung '' noch benötige sagten die Richter 
Arbeitgeber_f0	Zudem könne der 	Arbeitgeberkeywordtag 	davon ausgehen daß Mitarbeiter die selbst kündigen eine neue Stelle gefunden und geringere Nachteile als gekündigte Mitarbeiter hätten 
Arbeitgeber_f0	Ausnahmen gelten nur wenn der 	Arbeitgeberkeywordtag 	zur Kündigung `` veranlaßt '' hat 
Arbeitgeber_f0	Auch wenn die tatsächliche Jobabwanderung in ihrer Gesamtheit derzeit meist weit übertrieben dargestellt wird sind die Drohungen der 	Arbeitgeberkeywordtag 	in manchem Einzelfall durchaus real 
Arbeitgeber_f0	Kern der Reform ist eine Verfassungsreform mit der eine strengere Kontrolle der bislang paritätisch von Gewerkschaften und 	Arbeitgebernkeywordtag 	verwalteten Sozialversicherung durch das Parlament erreicht werden soll 
Arbeitgeber_f0	Einkauf beim 	Arbeitgeberkeywordtag 	
Arbeitgeber_f0	Mit dem Guthaben können sie nur beim eigenenkeywordtag 	Arbeitgeberkeywordtag 	einkaufen 
Arbeitgeber_f0	So sei auf der Basis des Betriebsverfassungsgesetzes eine schnelle und unbürokratische Klärung des Sachverhalts über eine sogenannte Einigungsstelle möglich notfalls auch gegen den Willen des 	Arbeitgeberskeywordtag 	
Arbeitgeber_f0	Oder sollen sie sich öffnen auch mit 	Arbeitgebernkeywordtag 	in Dialog treten mehr Gestaltungsmacht sein wollen 
Arbeitgeber_f0	Das Kräfteverhältnis zwischen 	Arbeitgebernkeywordtag 	und Arbeitnehmern hat sich geändert 
Arbeitgeber_f0	Mit Verve betreiben 	Arbeitgeberkeywordtag 	und Bundesregierung das Rollback 
Arbeitgeber_f0	Und der Kreis jener 	Arbeitgeberkeywordtag 	wird größer die ohne tarifliche Einengung gut zu leben verstehen und die das gewerkschaftliche Menetekel einer `` Atomisierung '' der Tariflandschaft nicht schreckt 
Arbeitgeber_f0	In Ostdeutschland praktizieren 	Arbeitgeberkeywordtag 	Tarifflucht indem sie aus dem Arbeitgeberverband austreten oder gar nicht erst dazustoßen 
Arbeitgeber_f0	Damit versucht der `` Australian Council of Trade Unions '' ACTU den in der Wirtschaft zunehmenden Trend zu direkt zwischen 	Arbeitgebernkeywordtag 	und -nehmern ausgehandelten Einzelverträgen aufzuhalten 
Arbeitgeber_f0	Allerdings haben sich CRA Comalco und die anderen Unternehmen mit der Bevorzugung von Einzelverträgen durchaus an das von der Labor-Regierung 1991 verabschiedete neue Gesetz zur Regelung der Beziehungen zwischen 	Arbeitgebernkeywordtag 	und -nehmern gehalten 
Arbeitgeber_f0	Anderes gilt für diejenigen die nach 1995 eine neue Mitgliedschaft begründen zum Beispiel durch Wechsel des 	Arbeitgeberskeywordtag 	oder durch Eintritt ins Berufsleben 
Arbeitgeber_f0	Der neue 	Arbeitgeberkeywordtag 	muß innerhalb von zwei Wochen die Bescheinigung der gewählten Krankenkasse bekommen und danach dann den Beschäftigten anmelden 
Arbeitgeber_f0	Der 	Arbeitgeberkeywordtag 	darf diese Entscheidung nicht beeinflussen 
Arbeitgeber_f0	War er vorher nirgends versichert bestimmt der 	Arbeitgeberkeywordtag 	
Arbeitgeber_f0	Er und Hauff waren deshalb bereits 1995 in einem Zivilverfahren zu jeweils 1,5 Millionen Mark Schadenersatz an ihrenkeywordtag früherenkeywordtag 	Arbeitgeberkeywordtag 	verurteilt worden 
Arbeitgeber_f0	Von zusätzlichen 100 Mark Lohnkosten des 	Arbeitgeberskeywordtag 	kämen bei einem ledigen Industriefacharbeiter im Durchschnitt nur 36 Mark wirklich an rechnete er vor `` und auch die fließen nicht einmal vollständig in den privaten Verbrauch '' 
Arbeitgeber_f0	Die noch fast 25 000 Beschäftigten erhaltenkeywordtag einen neuen 	Arbeitgeberkeywordtag 	
Arbeitgeber_f0	Was die Flexibilität angeht sieht Friedrich ausdrücklich gerade auch bei den 	Arbeitgebernkeywordtag 	Nachholbedarf 
Arbeitgeber_f0	Werkeywordtag vom ehemaligenkeywordtag 	Arbeitgeberkeywordtag 	eine Abfindung erhältkeywordtag hat seit April unter Umständen weniger Arbeitslosengeld auf dem Konto 
Arbeitgeber_f0	Am 1. Januar sind rund 300 Mobil-Beschäftigte der Sparten Kraft- und Brennstoffe sowie Services zu BPkeywordtag alskeywordtag neuem 	Arbeitgeberkeywordtag 	gewechselt 
Arbeitgeber_f0	Ganz anders bei Himstedtskeywordtag neuem 	Arbeitgeberkeywordtag 	der sich zum Beispiel im Herbst am Verkauf des brandenburgischen Städtchens Liebenberg versuchte 
Arbeitgeber_f1	Im Verbandsorgan 	Arbeitgeberkeywordtag 	fordert er die Regelaltersgrenze von derzeit 65 Jahren bis 2005 auf 67 zu erhöhen und zugleich das Standardrentenniveau stufenweise auf 65 Prozent zu senken 
Arbeitgeber_f0	Er sieht Zugeständnisse der Belegschaft bei Urlaubs- und Weihnachtsgeld und von seiten der 	Arbeitgeberkeywordtag 	eine Beschäftigungsgarantie bis Oktober 1998 vor 
Arbeitgeber_f0	Ihrkeywordtag Lohnkeywordtag kostetkeywordtag den 	Arbeitgeberkeywordtag 	nicht die Welt 
Arbeitgeber_f0	Als 1966 die Ableger zur Siemens AG zusammengefaßt werden istkeywordtag erkeywordtag längst derkeywordtag größtekeywordtag privatekeywordtag 	Arbeitgeberkeywordtag 	hierzulandekeywordtag 
Arbeitgeber_f0	Dadurch wollen sie verhindern daß die 	Arbeitgeberkeywordtag 	die Billigjobs ganz streichen weil sie zu unattraktiv würden 
Arbeitgeber_f0	Einig ist man sich in Berlin und Düsseldorf auch daß parallel zu einer Reform die sogenannten Scheinselbständigen ebenfalls sozialversicherungspflichtig werden müßten um Ausweichreaktionen der 	Arbeitgeberkeywordtag 	zu verhindern 
Arbeitgeber_f0	Dagegen wurde dem FDP-Abgeordneten Dieter Thomae zufolge keine Einigung in der Frage erzielt die Arbeitnehmer künftig einen höheren Anteil als die 	Arbeitgeberkeywordtag 	zahlen zu lassen 
Arbeitgeber_f0	Bisher werden die Beiträge je zur Hälfte von 	Arbeitgebernkeywordtag 	und Arbeitnehmern getragen 
Arbeitgeber_f0	Bei den Beratungen in Bonn blieb dagegen offen ob künftig bei Beitragssatzanhebungen der Krankenkassen die Arbeitnehmer stärker zur Kasse gebeten werden sollen als die 	Arbeitgeberkeywordtag 	
Arbeitgeber_f0	Wie in Bonn zu erfahren war erwogen die Koalitionspolitiker künftige Kassen-Beitragsanhebungen 60 Prozent den Arbeitnehmern und nur zu 40 Prozent den 	Arbeitgebernkeywordtag 	aufzubürden 
Arbeitgeber_f0	Bisher werden die Beiträge je zur Hälfte von 	Arbeitgeberkeywordtag 	und Arbeitnehmer gezahlt 
Arbeitgeber_f0	Die FDP verlangt besonders eine Entlastung für die 	Arbeitgeberkeywordtag 	bei den Kassenbeiträgen 
Arbeitgeber_f0	Der Unterhändler der Opposition forderte Gewerkschaften und 	Arbeitgeberkeywordtag 	auf das neue Gesetz zu akzeptieren 
Arbeitgeber_f0	Die 	Arbeitgeberkeywordtag 	signalisierten bereits ihre Zustimmung 
