Zielf1	Das 	Zielkeywordtag 	seikeywordtag es  eine legale Organisation zu schaffen  die unter anderem auch für die Medien ansprechbar sein solle 
Zielf1	Das Gesetz sollte daher  sobald wie möglich  mit dem 	Zielkeywordtag 	novelliert werden es zu vereinfachen und der Wirtschaft mehr Selbstverantwortung zu übertragen 
Zielf1	Auf der Synode wurde am Dienstag in Friedrichshafen eine generelle Kürzungsquote von sechs Prozent alskeywordtag 	Zielkeywordtag 	ausgegebenkeywordtag 
Zielf1	Verheugen hielt der Bundesregierung entgegen sie habe das 	Zielkeywordtag 	 Wohlstand für alle  mit ihrer Politik gründlich widerlegt 
Zielf1	Alskeywordtag 	Zielkeywordtag 	nanntekeywordtag Regierungschef Alain Juppé das Land innerhalb von zwei Jahren zu  wirtschaftlicher und sozialer Gesundheit  zu führen 
Zielf1	Sind die Inhalte und 	Zielekeywordtag 	die richtigen 
Zielf1	Hohe 	Zielekeywordtag 	Da keine Gemeinschaft ohne eine Elitebildung leben könne bestehe der Auftrag an der Formung dieser Elite mitzuwirken 
Zielf1	Diese Zahl zu halten hat sich die SPDFührung zumkeywordtag 	Zielkeywordtag 	gesetztkeywordtag 
Zielf1	Nur dann lassen sich strategische 	Zielekeywordtag 	kommunikativ richtig umsetzen  
Zielf1	Das damalige Verbot hatte der Bundesinnenminister damit begründet daß die NF auf militantem Wege durch Bildung eines  Nationalen Einsatzkommandos  versuche ihrekeywordtag 	Zielekeywordtag 	zu erreichen 
Zielf1	Mit diesem Wechsel zwischen Beruhigung und Drohung hat der Präsident aus Zagreb zwei taktische 	Zielekeywordtag 	erreichtkeywordtag 
Zielf1	Der Wechsel zwischen beruhigenden und drohenden Reden hat dieskeywordtag das zweite taktische 	Zielkeywordtag 	zu großer Verunsicherung und Ängsten unter den Serben geführt 
Zielf1		Zielkeywordtag 	der Aktionen istkeywordtag es die Studenten über weiter drohende Einschränkungen beim Studium wie das von Bildungsminister Jürgen Rüttgers CDU geplante BafögZinsmodell zur Haushaltsentlastung aufzuklären 
Zielf1	Waigel hatte ein mittelfristiges 	Zielkeywordtag 	von einem Prozent  in wirtschaftlichen Normallagen  vorgeschlagen 
Zielf1	Ihrkeywordtag 	Zielkeywordtag 	istkeywordtag der Beschluß eines scharfen Kommuniqués der CommonwealthLänder gegen die französischen Atomwaffenversuche 
Zielf1	Ihrkeywordtag 	Zielkeywordtag 	istkeywordtag die Schaffung einer europäischen Verfassung die starke Elemente direkter Demokratie enthält 
Zielf1	Hier mehr Transparenz zu schaffen istkeywordtag eines der 	Zielekeywordtag 	Stockholmskeywordtag für die Konferenz 1996 denn Umfragen in Schweden verzeichnen nur noch 26 Prozent Zustimmung zu Europa 
Zielf1	Das 	Zielkeywordtag 	Supranationalitätkeywordtag sei entrückt 
Zielf2		Zielekeywordtag 	möglicher Ausforschung sindkeywordtag laut Nehm grundsätzlich alle Gebiete wobei vor allem die Materialtechnik und Computersimulation ins Visier genommen würden 
Zielf1	Befördert wird das kreative Chaos weil die verschiedenen Gruppen die Kontakte zu europäischen Institutionen suchen das 	Zielkeywordtag 	ihrer Lobbyarbeit als doppeltes beschreiben für sich aber auch für all jene die keine Vertretung in Brüssel und Straßburg haben die Armen die Alten und alle die nicht vom Wirtschaftsboom des gemeinsamen Marktes profitieren 
Zielf1	Im Blick auf diese sozialen und ökologischen 	Zielekeywordtag 	gilt es die Marktkräfte zu stärken um möglichst viele Innovationen zu ermöglichen 
Zielf1	Es ist wichtig daran zu erinnern daß das 	Zielkeywordtag 	der sozialen Reformbewegung die Vision des politisch zivilisierten und sozialstaatlich in die Pflicht genommenen Kapitalismus in den vergangenen Jahrzehnten keine Utopie war 
Zielf1	Bleibt es bei der dominanten Rolle der Ökonomie gibt es in der Tat ein  Reich der Notwendigkeit  in dem es weder politisch gestaltbare Spielräume noch zwischen den Parteien konkurrierende 	Zielekeywordtag 	gibt 
Zielf1	Wir plädieren für eine Ökonomie des Vermeidens durch die Qualifizierung von Arbeit und Bildung innovationsorientierte Regulierung eine umweltorientierte Steuerpolitik und die Einbindung sozialer und ökologischer 	Zielekeywordtag 	in einzelwirtschaftliches Handeln 
Zielf1	Das 	Zielkeywordtag 	istkeywordtag vielmehr die Einleitung einer neuen ökonomischen Dynamik die ihre volkswirtschaftlichen Vorteile aus der Senkung von Rohstoff und Energiekosten und der Vermeidung von Umwelt und Gesundheitsschäden zieht 
Zielf1	Um das 	Zielkeywordtag 	einer zehnprozentigen Gesamtkapitalrendite im Durchschnitt des Zyklus zu halten kündigt der Manager trotz der aktuellen Gewinnexplosion ein  verstärktes Kostenmanagement  an 
Zielf1	Dafür ist die Partei Gingrich schon zu weit auf dem Weg gefolgt auf dem die Elemente einer sozialen und gerechten Gesellschaft zertrümmert zurückbleiben und eine rigide Sparpolitik um jeden Preis und Steuernachlässe für die Wohlhabenden zumkeywordtag einzigen 	Zielkeywordtag 	gewordenkeywordtag sind 
Zielf1	Gleichwohl Branchen und Industriepolitik an sich sind nicht zu kritisieren und aus nordrheinwestfälischer Sicht kann gesagt werden Sie ist nicht nur wegen des 	Zieleskeywordtag 	einer ausgewogenen industriellen Struktur sondern auch aus Gründen des sozialen Zusammenhalts der Gesellschaft unverzichtbar 
Zielf1	Der Zug würde wohl kaum am richtigen 	Zielkeywordtag 	ankommen 
Zielf1	Siekeywordtag ziehtkeywordtag derzeitkeywordtag ein Geschäft aufkeywordtag mitkeywordtag dem 	Zielkeywordtag 	acht Hotels drei Reisebüros zwei Ferienclubs und zwei Kreuzfahrtschiffe zu betreiben 
Zielf1	Es wird aber sicherlich noch ein Jahrzehnt dauern bis das 	Zielkeywordtag 	der Aufteilung der Stadt in vier Sektoren mit entsprechenden psychiatrischen Abteilungen an dort plazierten Allgemeinkrankenhäusern verwirklicht ist 
Zielf1		Zielkeywordtag 	des Fluges der in Hannover startete warkeywordtag Sczcytno ehemals Ortelsburg 
Zielf1	Dewes macht aber auch aus seinemkeywordtag 	Zielkeywordtag 	kein Hehl 
Zielf1	1 Gibt es Unterschiede in den wirtschaftspolitischenkeywordtag 	Zielenkeywordtag 	der SPD im Vergleich zu denen der konservativliberalen Regierung 
Zielf1	Richtig verstandene wohlfahrtsstaatliche Politik bedeutet von der Konzeption her nicht steigende Abgaben und Staatsquoten und  staatliche Überbetreuung  des einzelnen die Realität sieht leider anders aus wohl aber eine Abstimmung und Verzahnung der verschiedenen Politikfelder im Hinblick auf das übergeordnete 	Zielkeywordtag 	 Annäherung der individuellen Startchancen und Partizipationsmöglichkeiten  
Zielf1	Konkret bedeutet dies eine Abkehr vom 	Zielkeywordtag 	der Einzelfallgerechtigkeit im Ergebnis und eine Hinwendung zu klaren institutionellen Vorgaben die jedem Wirtschaftssubjekt ausgehend von seiner jeweiligen Position ein Höchstmaß an institutioneller Gleichbehandlung einräumt ohne daß diese Gleichbehandlung für die Ergebnisse gilt 
Zielf1	Wirtschaftspolitik jedweder Provenienz kann nur dann innovativ und erfolgreich sein wenn sie in eine gesamtgesellschaftliche Strategie integriert ist und diese gesellschaftlichen Vorstellungen auch in die Wirtschaftspolitik transportiert um sie mit dem ökonomischenkeywordtag 	Zielkeywordtag 	der Effizienzsteigerung zu kombinieren 
Zielf1		Zielkeywordtag 	istkeywordtag es nach Angaben der Universität Tübingen zwischen Pigmentepithel und Netzhaut MikrofotoDioden zu einzupflanzen und über Elektroden noch intakte Nervenzellen der Netzhaut zu reizen 
Zielf1	 Von diesem 	Zielkeywordtag 	her war es keine Solidarität des Opferns sondern eine zur Erkämpfung von materieller Besserstellung und zugleich gesellschaftlicher Anerkennung für einen selbst und seinesgleichen auf dem Hintergrund von Wachstum und sozialem Fortschrittsoptimismus  Andretta 
Zielf1	Im Blick auf diese sozialen und ökologischen 	Zielekeywordtag 	gilt es die Marktkräfte zu stärken um möglichst viele Innovationen zu ermöglichen 
Zielf1	Es ist wichtig daran zu erinnern daß das 	Zielkeywordtag 	der sozialen Reformbewegung die Vision des politisch zivilisierten und sozialstaatlich in die Pflicht genommenen Kapitalismus in den vergangenen Jahrzehnten keine Utopie war 
Zielf1	Bleibt es bei der dominanten Rolle der Ökonomie gibt es in der Tat ein  Reich der Notwendigkeit  in dem es weder politisch gestaltbare Spielräume noch zwischen den Parteien konkurrierende 	Zielekeywordtag 	gibt 
Zielf1	Wir plädieren für eine Ökonomie des Vermeidens durch die Qualifizierung von Arbeit und Bildung innovationsorientierte Regulierung eine umweltorientierte Steuerpolitik und die Einbindung sozialer und ökologischer 	Zielekeywordtag 	in einzelwirtschaftliches Handeln 
Zielf1	Das 	Zielkeywordtag 	istkeywordtag vielmehr die Einleitung einer neuen ökonomischen Dynamik die ihre volkswirtschaftlichen Vorteile aus der Senkung von Rohstoff und Energiekosten und der Vermeidung von Umwelt und Gesundheitsschäden zieht 
Zielf1	Unter Schwankungen hält die Kapitalanlagetochter der Deutschen Bank im laufenden Konjunkturzyklus das 	Zielkeywordtag 	von 2400 bis 2600 DaxPunkten aber weiter für realistisch 
Zielf1	Seinkeywordtag 	Zielkeywordtag 	seikeywordtag ein hohes Maß an Gemeinsamkeit und Akzeptanz mit den Partnern zu finden 
Zielf1	Der FDPRechtsexperte Burkhard Hirsch fordertekeywordtag alskeywordtag 	Zielkeywordtag 	der Reform des öffentlichen Dienstes mehr Dienstleistung als Verwaltung und mehr Delegation von Verantwortung als Orientierung an Erlassen 
Zielf1	Dieses 	Zielkeywordtag 	wurde bislang aber noch nicht erreicht 
Zielf1	Sozialekeywordtag 	Zielekeywordtag 	seien endlich verbindlich festzuschreiben fordert die DGBVize 
Zielf1	Militärskeywordtag alskeywordtag 	Zielkeywordtag 	
Zielf1	Neue Wege alte 	Zielekeywordtag 	
Zielf1	Im Sonderausschuß für Beschäftigung wurde parteiübergreifend an einem 	Zielkeywordtag 	gearbeitet 
Zielf1	Der Beschäftigungsausschuß plädiertkeywordtag fürkeywordtag einekeywordtag EUKoordinierungspolitikkeywordtag mitkeywordtag dem 	Zielkeywordtag 	einer allgemeinen Vereinheitlichung von Lohn und Gehaltsstrukturen im Hinblick auf die Steuern und den selektiven Abbau der Beitragsbelastungen 
Zielf1	Die vordringlichsten 	Zielekeywordtag 	diekeywordtag sich das Land gestecktkeywordtag hat sindkeywordtag die Erstellung des Friedens die Rückkehr zu einem total demokratischen und transparenten Wahlprozeß 
Zielf1	Dieses 	Zielkeywordtag 	wurde bislang nicht erreicht 
Zielf1	Noch konzentriert sich Lauda im Liniendienst auf Florida Bangkok Hongkong und Australien sowie auf europäischekeywordtag 	Zielekeywordtag 	
Zielf1	Die CharterKundschaft die sich auf die Urlaubsländer am Mittelmeer und 	Zielekeywordtag 	in der Karibik konzentriert belief sich auf mehr als eine halbe Million 
Zielf1		Zielkeywordtag 	seikeywordtag es den Schutz des Fußgängers zu verbessern und Radfahrern die sich oftmals aus Bequemlichkeit nicht an Verkehrsregeln halten bewußt zu machen daß diese auch für sie gelten 
Zielf1	Nun liegt es an den Führungsgremien der evangelischen Kirche verbindliche 	Zielekeywordtag 	festzulegen und das Klimaschutzszenario zu realisieren 
Zielf1	Wer andererseits mit zunächst unscharfen Absichten gleichsam frei herumsucht wird mit einiger Geduld und Hingabe für seine Wünsche durchaus ein 	Zielkeywordtag 	finden können 
Zielf1		Zielkeywordtag 	seikeywordtag es so heißt es in der GründungsPräambel  eine aktive Gleichstellungs und Antidiskriminierungspolitik in NRW durchzusetzen die den emanzipatorischen Prozeß der Selbstorganisation von Migrantinnen schwarzen Deutschen und anderen ethnischen Minderheiten unterstützt und die politische wirtschaftliche kulturelle und rechtliche Gleichstellung und Chancengleichheit befördert  
Zielf1	Bei der Reform des deutschen Energierechts müssen  klima und umweltpolitische 	Zielekeywordtag 	 an die erste Stelle rücken 
Zielf1	So finden wir im Wappen der staatlichen Universität eine besonders aggressiv für die 	Zielekeywordtag 	eines Inquisitionskatholizismus gegen den teuflischen Drachen Aufklärung kämpfende Madonna 
Zielf1	Ein relevanter Teil der Universitätsangehörigen hat an dieser allen hehren 	Zielenkeywordtag 	der Wissenschaft widersprechenden Symbolik bis heute nichts auszusetzen 
Zielf1	Das erklärte 	Zielkeywordtag 	istkeywordtag die Infrastruktur für die Gesellschaftsform der Zukunft die Informationsgesellschaft 
Zielf1	Nach dem Ende des OstWestKonflikts suchte die bis dahin gut von den Fördermitteln des Pentagon lebende Computerindustrie der USA ein neues 	Zielkeywordtag 	ihrer Anstrengungen 
Zielf1	In den USA ist das Internet Grundlage der Fortentwicklung 	Zielkeywordtag 	sindkeywordtag neuartige Angebote 
Zielf1	Die mit Hochdruck verfolgte elektronische Kopplung besonders der Verwaltungen in der EU dientkeywordtag drei 	Zielenkeywordtag 	
Zielf1	Die von der G7Konferenz benanntenkeywordtag 	Zielekeywordtag 	sindkeywordtag die Entwicklung einer kritischen Masse durch staatliche Initiative und damit vorrangig die Entwicklung von Märkten sowie die Überzeugung der unnötigerweise skeptischen Bevölkerung wie Bundesregierung und EUKommission nicht müde werden zu betonen 
Zielf1	Die Aussicht auf Gewinne bestimmt derzeit die Aktivitäten und verdeckt das Nachdenken über Probleme 	Zielekeywordtag 	und Alternativen 
Zielf1	Die demokratischenkeywordtag Werte und 	Zielekeywordtag 	unserer Gesellschaft müssen Leitbild der Entwicklung sein 
Zielf1	Die Verfassungskommission hat sich zumkeywordtag 	Zielkeywordtag 	gesetztkeywordtag das Werk in wesentlichen Teilen vom Volk entwickeln zu lassen 
Zielf1	 Die Menschen machen ihre eigene Verfassung  beschreibtkeywordtag Bereket seinkeywordtag wesentliches 	Zielkeywordtag 	und benennt gleichzeitig die historische Chance seines Landes 
Zielf1	Wesentliches 	Zielkeywordtag 	der künftigen Verfassung und des politischen Systems Eritreas seikeywordtag soziale Gerechtigkeit 
Zielf1	Nach Informationen der türkischen Zeitung Milliyet sei Ankara beim Studium der Delegationsliste zu der Ansicht gelangt daß Martsch und Bucak das 	Zielkeywordtag 	verfolgtenkeywordtag  das Bild der Türkei in der westlichen Öffentlichkeit negativ zu beeinflussen und einen Schatten auf die türkischdeutschen Beziehungen zu werfen  
Zielf1		Zielkeywordtag 	istkeywordtag es das bisher geltende Minimalniveau von 1823 Mark pro Stunde durch Einführung einer neuen Tarifgruppe zu unterschreiten 
Zielf1	Er spricht von einem 	Zielkeywordtag 	und von Hürden und vor den Hürden würden ihm  immer neue Backsteine in den Rucksack  gelegt 
Zielf1	Diese Straftaten gelte es ebenso zu verhindern wie das 	Zielkeywordtag 	der Rechtsextremen eine große Öffentlichkeit zu erreichen 
Zielf1	Heute muß gefragt werden Wie weit können diese reformpädagogischenkeywordtag Fragestellungen Methoden und 	Zielekeywordtag 	noch eine Antwort geben auf die Forderungen der Gegenwart 
Zielf1	Mit Ausnahme der Kostensenkung seien die angepeilten 	Zielekeywordtag 	bislang verfehlt worden 
Zielf1	 Wir müssen im europäischen Ausland schneller wachsen  gibtkeywordtag Schulmeyer daher alskeywordtag 	Zielkeywordtag 	vorkeywordtag 
Zielf1	Auch gebe es keine Einwände gegen das 	Zielkeywordtag 	Schüler im wertorientierten Unterricht miteinander streiten zu lassen 
Zielf1	Der Elektronikkonzern Alcatel SEL hat seinkeywordtag 	Zielkeywordtag 	verfehlt in diesem Jahr bereits den halben Weg der Sanierung hinter sich zu bringen 
Zielf1	Westliche BosnienUnterhändler habenkeywordtag nach einem Bericht der New York Times das 	Zielkeywordtag 	die Verhandlungen am Wochenende zu einem Ende zu bringen 
Zielf1	Er bot dem usbekischen Präsidenten Islam Karimow am Donnerstag in Bonn Zusammenarbeitkeywordtag mitkeywordtag dem 	Zielkeywordtag 	an den Menschen deutscher Abstammung als  gleichberechtigte Bürger Usbekistans  auf Dauer ihr Auskommen zu sichern 
Zielf1	Dahinter steht die Systemveränderung alskeywordtag erklärtes 	Zielkeywordtag 	
Zielf1	Der Weg zum 	Zielkeywordtag 	blieb freilich offen 
Zielf1	Aber wie sollte aus dem in der Tat bescheidenen bäuerlichen Mehrprodukt überführt in freie staatliche Verfügung ein Mittel für das eigentliche 	Zielkeywordtag 	der Parteiführung werden China zu industrialisieren 
Zielf1	Eiskalt lehnt Clinton am Donnerstag auch Angebote der Republikaner ab auf Einschnitte bei der Gesundheitsversorgung zu verzichten wenn der Präsident nur dem 	Zielkeywordtag 	der SiebenJahresHaushaltspolitik zustimme 
Zielf1	Erklärtes 	Zielkeywordtag 	istkeywordtag es an dem französischen JointventureAnteil von 49 Prozent bis zur endgültigen Vertragsunterzeichnung die Partner Deutsche Telekom und Sprint zu beteiligen 
Zielf1	Die Militärjunta habe es sich offenbar zumkeywordtag 	Zielkeywordtag 	gesetztkeywordtag die gesamte Opposition zum Schweigen zu bringen 
Zielf1		Zielkeywordtag 	des Projektes istkeywordtag es nicht nur auf die architektonischen Sehenswürdigkeiten an der Küste sondern auch auf die vielen unbekannten baulichen Juwele im Innern des Landes hinzuweisen 
Zielf1	Weitere 	Zielekeywordtag 	sindkeywordtag der Europapark Rust und erstmals der Park  Futuroscope  bei Poitiers in Frankreich sowie  Gardaland  am Gardasee und  Port Aventura  an der spanischen Costa Dorada 
Zielf1	In den acht neuen Programmheften hält sich Studiosus mit der Erschließung neuer 	Zielekeywordtag 	weitgehend zurück und betrachtet dies unter anderem auch als Beitrag zum erklärten Ziel eines möglichst umwelt und sozialverträglichen Reisens 
Zielf1	Ihrkeywordtag 	Zielkeywordtag 	istkeywordtag die demokratische Beteiligung der gastgebenden Bevölkerung in der Dritten Welt an Entscheidungen in Verbindung mit Tourismusentwicklung 
Zielf1	In ihm wird neben den üblichen Zeichnungen Postkarten und Büchern über 	Zielekeywordtag 	in Cork und Umgebung für besonders erinnerungsfreudige Besucher nicht nur das grobe  oat meal  angeboten um das originale Gefängnisporridge zuzubereiten 
Zielf1		Zielkeywordtag 	müsse es aber seinkeywordtag die Fragen der Natur und ParaMedizin in das Denken der Schulmedizin zu integrieren 
Zielf1	Zhang Shouqi hatkeywordtag drei 	Zielekeywordtag 	im Auge 
Zielf1	Eine zweite körperrhetorische Möglichkeit in wechselseitiger Souveränität über vergangene persönliche Blessuren hinwegzusehen unterblieb ebenfalls nachdem Scharping vom Rednerpult zurückkehrend wo er mit Bitterkeit von persönlichen Verletzungen ebenso gesprochen hatte wie vom Trotzalledem eines übers Persönliche hinausgehenden gemeinsamenkeywordtag politischenkeywordtag 	Zielskeywordtag 	außer konformistischem Händeklatschen keine besondere Geste des zuneigenden Dankes von seinem Nachfolger erhielt 
Zielf1	Die Instrumente dafür seien Kosten und Leistungsrechnung Budgetierung und Kontrolle das 	Zielkeywordtag 	seikeywordtag eine möglichst dezentrale Verantwortung für Ressourcen 
Zielf1		Zielkeywordtag 	istkeywordtag es Hilfsprojekte für die brasilianischen Straßenmädchen ins Leben zu rufen 
Zielf1	Innerhalb von zwei Tagen erreichen immerhin 982 Prozent der Liebesgrüße Rechnungen oder Mahnungen ihrkeywordtag 	Zielkeywordtag 	
Zielf1	Zwischen dem 	Zielkeywordtag 	eines hohen Grads an Beschäftigung und den Mitteln es zu erreichen klaffe eine große Lücke klagte EGBGeneralsekretär Emilio Gabaglio 
Zielf1	Es geht vielmehr darum angesichts einer globalisierten Ökonomie durch die europäische Integration wieder jene politische Handlungsfähigkeit zurückzugewinnen die nötig ist um auch auf nationaler Ebene längst drängende Reformen durchführen zu können so vor allem im Bereich der Bildung der sozialen Systeme der staatlichen Verwaltung und bei der Zusammenführung ökonomischer und ökologischer 	Zielekeywordtag 	
Zielf1	Keine transnationale Unternehmung keine internationale Finanzinstitution und kein sonstiger Akteur der Weltwirtschaft könnte eine Wirtschaftsmacht wie die Bundesrepublik Deutschland geschweige denn wie die Europäische Union daran hindern die ungebrochene Respektierung demokratischer Strukturen demokratischer Prozesse und demokratischer Entscheidungen vorausgesetzt notwendige und wünschenswerte Regulierungen des internationalen Handels und Zahlungsverkehrs und der nationalen marktwirtschaftlichen Entwicklung im Interesse der genannten politischen ökonomischen sozialen und ökologischen 	Zielekeywordtag 	von Vollbeschäftigung sozialer Sicherheit Umweltschutz und politischer Stabilität durchzusetzen 
Zielf1	Eines von ihnen sprengte sich und 21 Unbeteiligte Anfang der Woche in die Luft als es nicht gelang an das eigentliche 	Zielkeywordtag 	den Oberkommandierenden der Armee General Gerry de Silva heranzukommen auf den schon acht Anschläge verübt worden sind 
Zielf1	Während Franzosen und Russen eher konkrete in ihrer Heimat begangene Greueltaten der Nazis Verbrechen gegen die Menschlichkeit zu verfolgen trachteten hattekeywordtag Jacksonkeywordtag ein ferneres 	Zielkeywordtag 	vorkeywordtag Augenkeywordtag die Ächtung jeglichen Angriffskriegs die Durchsetzung universellen Menschenrechts 
