Krieg_f1	Jaschke Der Umgang mit rechtsradikalen Parteien nach dem 	Kriegkeywordtag 	war immer ein Wechselspiel zwischen Integration Dramatisierung und Ignoranz 
Krieg_f1	Der Pazifist beschreibt mit Blick auf den `` nächsten letzten 	Kriegkeywordtag 	'' wie im Ersten Weltkrieg die Feldgendarmen den Kriegsschauplatz absperrten und Deserteure niederschossen 
Krieg_f1	Tucholsky hat seit 1912 immer wieder geschrieben daß im 	Kriegkeywordtag 	Soldaten `` professionelle Mörder '' seien 
Krieg_f1	Der 	Kriegkeywordtag 	werde wieder ausbrechen wenn nicht die EU ihre Beziehungen zu Marokko nutze um dem UN-Friedensplan zum Erfolg zu verhelfen 
Krieg_f1	Auch der 	Kriegkeywordtag 	in Ex-Jugoslawien werde in einem Jahr vorbei sein 
Krieg_f1	Als Maßstab gilt hierbei Wer die Aussage `` Soldaten sind Mörder '' in allgemeinpolitischem Zusammenhang verwendet und 	Kriegkeywordtag 	und Soldatentum schlechthin angreift kann sich auf das Recht der freien Meinungsäußerung berufen 
Krieg_f1	Eine halbe Million Kinder sind 1994 in Afrika an den Folgen von 	Kriegenkeywordtag 	gestorben 
Krieg_f1	So seien allein in West- und Zentralafrika fünf Millionen Kinder infolge der 	Kriegekeywordtag 	von ihren Eltern getrennt und in die Flucht getrieben worden 
Krieg_f1	`` Daß Kinder nicht nur Opfer des 	Kriegeskeywordtag 	sind sondern gezielt instrumentalisiert werden dokumentiert eine fundamentale Krise der Gesellschaft '' sagte Machel 
Krieg_f1	Die Soldaten tragen bei zur Abwesenheit des 	Kriegeskeywordtag 	
Krieg_f1	Nach den von Ljubic vorgelegten Statistiken wurden auf dem Gebiet der muslimisch-kroatischen Föderation in dem 	Kriegkeywordtag 	mindestens 174 000 Personen verwundet 
Krieg_f1	Nach Angaben des staatlichen Komitees für Gesundheit und Wohlfahrt von Bosnien-Herzegowina wurden im 	Kriegkeywordtag 	145 000 Zivilisten getötet 
Krieg_f1	Der 	Kriegkeywordtag 	wurde in erster Linie gegen die Zivilbevölkerung geführtkeywordtag erläuterte der Gesundheitsminister 
Krieg_f1	Die meisten Röntgenapparate die den 	Kriegkeywordtag 	überlebten seien aus Altersgründen nicht mehr brauchbar 
Krieg_f1	Ljubic befürchtet nach den Erfahrungen anderer 	Kriegekeywordtag 	daß viele der heimkehrenden Soldaten unter dem `` Vietnamsyndrom '' leiden werden 
Krieg_f1	Der Schwerpunkt der Aktivitäten soll in den vom 	Kriegkeywordtag 	schwer betroffenen Gebieten Sarajevo Mostar Tuzla Bihac und Konjic liegen 
Krieg_f1	Selbst wenn der 	Kriegkeywordtag 	weiterginge müßten wir zusammenarbeiten etwa um die Ausweitung von Epidemien zu verhindern '' 
Krieg_f1	Bis zum 30. November oder es gibt 	Kriegkeywordtag 	
Krieg_f2	Die ostdeutschen Kirchen haben den in der Hochzeit des Kaltenkeywordtag 	Kriegeskeywordtag 	abgeschlossenen Kontrakt bisher nicht übernommen 
Krieg_f1	In Afrika starben 500 000 Kinder an den Folgen von 	Kriegenkeywordtag 	
Krieg_f1	Rund eine halbe Million Kinder sind im vergangenen Jahr an den Folgen von 	Kriegenkeywordtag 	in Afrika gestorben 
Krieg_f1	Allein in West- und Zentralafrika seien fünf Millionen Kinder infolge von 	Kriegenkeywordtag 	von ihren Eltern getrennt und in die Flucht getrieben worden 
Krieg_f1	`` Daß Kinder nicht nur Opfer des 	Kriegskeywordtag 	sind sondern dort gezielt instrumentalisiert werden dokumentiert eine fundamentale Krise unserer Gesellschaft '' sagte Machel 
Krieg_f1	Flügelkampf um 	Kriegkeywordtag 	und Frieden 
Krieg_f1	Gestritten wird erneut über 	Kriegkeywordtag 	und Frieden 
Krieg_f1	Auf die meisten der derzeit 40 	Kriegekeywordtag 	treffe der gebräuchliche Begriff zu 
Krieg_f1	Kurz und bündig wird darin die Lage der Nation bilanziert die Zeit nach dem 	Kriegkeywordtag 	die Zeit nach der Vereinigung und vorsorglich auch schon mal die ersten Phasen nach dem bevorstehenden Umzug vom Rhein an die Spree 
Krieg_f1	Während des 	Kriegeskeywordtag 	war die Werft ein Nest des bewaffneten Widerstands gegen die Nationalsozialisten obwohl sie von der deutschen Besatzungsmacht beschlagnahmt worden war 
Krieg_f1	Vielmehr kann der sich Äußernde auch in besonders herausfordernder Form darauf aufmerksam machen daß Töten im 	Kriegkeywordtag 	kein unpersönlicher Vorgang ist sondern von Menschenhand erfolgt 
Krieg_f1	Den Beschwerdeführern ging es indessen erkennbar um eine Auseinandersetzung in der Sache und zwar um die Frage ob 	Kriegkeywordtag 	und Kriegsdienst und die damit verbundene Tötung von Menschen sittlich gerechtfertigt sind oder nicht 
Krieg_f1	Gemeint sind alle erdenklichen Plagen wie Arbeitsplatzabbau Umweltzerstörung Kriminalität 	Kriegkeywordtag 	in der Nachbarschaft der EU 
Krieg_f1	Der Sozialverband kümmert sich um 	Kriegs-keywordtag 	und Wehrdienstopfer sowie Hinterbliebene 
Krieg_f1	Er drohte an am Ende der Trauerperiode für Rabin Namen zu nennen `` Ichkeywordtag werde 	Kriegkeywordtag 	gegen sie führenkeywordtag '' 
Krieg_f1	Der Sohn wuchs in Militärkreisen auf studierte in Rom `` sowohl 	Kriegs-keywordtag 	als Stattbaukunst '' und machte als Festungsingenieur unter Prinz Eugen drei Feldzüge in Piemont mit 
Krieg_f1	Die Altstadt wurde im 	Kriegkeywordtag 	nicht zerstört 
Krieg_f1	Die zweite ist Ausfluß der Thesen Nicolo Machiavellis denen zufolge Politik die Lehre von den Kunstmitteln der Herrschaft ihrer Gewinnung und Erhaltung inklusive der Mittel der Gewalt des 	Kriegeskeywordtag 	der Lüge und des Betruges darstellt 
Krieg_f1	Bousquet wurde nach dem 	Kriegkeywordtag 	zu einer milden Strafe verurteilt war aber schon bald Chef der Banque d'Indochine und Freund François Mitterrands 
Krieg_f1	Dem `` Kettensägen-König '' den 	Kriegkeywordtag 	erklärtkeywordtag 
Krieg_f1	Die Gefahr eines 	Kriegeskeywordtag 	um Ostslawonien scheint gebannt 
Krieg_f1	UN-Vermittler Thorvald Stoltenberg sprach `` vom Anfang des Endes vom 	Kriegkeywordtag 	im früheren Jugoslawien '' 
Krieg_f1	Die Föderation war nach dem neunmonatigenkeywordtag 	Kriegkeywordtag 	zwischen Kroaten und Moslems auf Betreiben der USA im März 1994 im sogenannten `` Washingtoner Abkommen '' paraphiert worden 
Krieg_f1	Die Friedlichkeit der Mittel die der 54jährige beschwor ist schon seit Jahren eher Wunsch als Wirklichkeit in einem Konflikt den Ken Saro-Wiwa als `` ökologischenkeywordtag 	Kriegkeywordtag 	'' bezeichnete 
Krieg_f2	Schützenhilfe gibt der letzte UdSSR-Staatschef Michail Gorbatschow `` Politische Abrechnung '' und `` Rückfall in die Praktiken des Kaltenkeywordtag 	Kriegeskeywordtag 	'' 
Krieg_f1	Die neuen politischen Realitäten in Iran nach dem Sturz des Schah-Regimes und der 	Kriegkeywordtag 	mit Irak ließen die Signale vor der türkischen Grenze auf Halt gehen 
Krieg_f1	`` 	Kriegkeywordtag 	definitiv beendet '' 
Krieg_f1	Der Sprecher der Sozialistischen Partei Serbiens SPS von Präsident Slobodan Milosevic Ivica Dacic sagte in Belgrad das Abkommen `` beendet definitiv den 	Kriegkeywordtag 	in dieser Region '' 
Krieg_f1	doch war das offenbar nur Tarnung für die vielen Italienern der älteren Generation unangenehmen Wahrheiten wie die daß es über die italienischen Kriegstaten vor dem 8. September 1943 große Lücken gibt während Untersuchungen über den Widerstand die Italien zu einer Art Sieger des 	Kriegeskeywordtag 	erklären ganze Bibliotheken füllen 
Krieg_f1	Während sich die Extremisten des `` Islamischen Heiligen 	Kriegeskeywordtag 	'' deren Anhängerschaft auf vier Prozent der palästinensischen Bevölkerung geschätzt wird nicht registrieren lassen wollen forderte die andere islamisch-fundamentalistische Organisation Hamas ihre Mitglieder auf sich in die Wählerlisten eintragen zu lassen 
Krieg_f1	Zuerst die gute Nachricht Der drohende 	Kriegkeywordtag 	um Ostslawonien findet nicht statt 
Krieg_f1	Zunächst sollen dabei nach UNHCR-Vorstellungen die innerhalb Bosnien-Herzegowinas vor dem 	Kriegkeywordtag 	geflohenen 1,3 Millionen Menschen in ihre Heimatgebiete zurückkehren dürfen 
Krieg_f1	`` Wir haben während der 30keywordtag Jahrekeywordtag 	Kriegkeywordtag 	gelernt auf die Menschen zu vertrauen und zu hören '' sagt Bereket zu dem Konzept der Verfassungsfindung 
Krieg_f1	Das werde sicher nicht einfach räumt er ein und wirbt um Verständnis für die herrschende Einheitspartei Volksfront für Demokratie und Gerechtigkeit PFDJ die aus der imkeywordtag 	Kriegkeywordtag 	gegen Äthiopien siegreichenkeywordtag Befreiungsfront des eritreischen Volkes EPLFkeywordtag hervorgegangen ist 
Krieg_f1	Nur natürlich sei so Bereket daß eine Befreiungsfront nach einem so langen 	Kriegkeywordtag 	die politische Macht übernommen habe 
Krieg_f1	Arndt lehnt den 	Kriegs-keywordtag 	und jeden Ersatzdienst ab 
Krieg_f1	In einem Brief an den republikanischen Präsidenten des Repräsentantenhauses Newt Gingrich versicherte Clinton in Washington daß der Einsatz eine Ausweitung des 	Kriegeskeywordtag 	auf dem Balkan verhindern und US-Führungskraft demonstrieren würde 
Krieg_f1	Hinter beiden Weltkriegen und allen zwischenstaatlichenkeywordtag Konflikten und 	Kriegenkeywordtag 	seit dem Zweiten Weltkrieg stand diese Strategie als eine wichtige möglicherweise sogar als die treibende Kraft 
Krieg_f1	Somit gehören der Nord-Süd-Konflikt der Ökonomie-Ökologie-Konflikt das Wettrüsten und die 	Kriegekeywordtag 	organisch zusammen 
Krieg_f1	Anziehen und Abstoßen zeigt schließlich das Problem der Darstellung des Sexualaktes selbst und mit dem 	Kriegkeywordtag 	der Geschlechter kommt der Rundgang zu seinem Ende 
Krieg_f1	In der Videoinstallation Violent Incident von Bruce Naumann beispielsweise die den 	Kriegkeywordtag 	der Geschlechter wörtlich nimmt und Mann und Frau im ehelichen Zweikampf zeigt 
Krieg_f1	Und da geht es Vietnam genauso wie allen anderen Ländern die den 	Kriegkeywordtag 	und die Nachkriegszeit erlebt haben 
Krieg_f1	Können Sie sich vorstellen heute in Vietnam zu leben in einem Land das an der sozialistischen Enttäuschung schwer zu tragen hat nach einem 	Kriegkeywordtag 	den sogar der ehemalige amerikanische Verteidigungsminister Robert McNamara heute als `` schrecklichen Irrtum '' beschreibt 
Krieg_f1	Für mich ist dieser 	Kriegkeywordtag 	die Erklärung die Verwandlung in ein Tier 
Krieg_f1	Für mich ist das 20. Jahrhundert Vietnams ein Jahrhundert des 	Kriegeskeywordtag 	
Krieg_f1	Mein nächster Film wird den 	Kriegkeywordtag 	in Vietnam behandeln 
Krieg_f1	Sympathisierte ein Teil der Bevölkerung nach dem Wahlabbruch mit dem bewaffneten Untergrund so gingen diese Sympathien verloren je mehr aus der bewaffneten Revolte von Habenichtsen unter dem Einfluß islamistischer Ideologen ein `` Heiligerkeywordtag 	Kriegkeywordtag 	'' des `` reinen '' Islam gegen alles `` Ungläubige '' sprich Pro-Westliche wurde ein schmutzigerkeywordtag Krieg gegen den Bevölkerungsteil der nicht ins GIA-Konzept paßt 
Krieg_f1	`` Die Terroristen sagen siekeywordtag führenkeywordtag einen Heiligenkeywordtag 	Kriegkeywordtag 	für das algerische Volk 
Krieg_f1	Einer Generation von deutschen Literaturwissenschaftlern die soeben aus dem 	Kriegkeywordtag 	heimgekehrt am Sinn der Geschichte und auch an der Sinnhaftigkeit des historischen Denkens generell zweifelte eröffnete er einen neuen einen entlasteten Zugang zur Dichtung 
Krieg_f1	Summe der noch lebenden Opfer von 	Kriegkeywordtag 	Vertreibung und Massakern vorweg in Afrika auch in Europa 
Krieg_f1	Der 	Kriegkeywordtag 	in Ex-Jugoslawien mit den einhergehenden `` ethnischen Säuberungen '' habe die Zahl der entwurzelten Personen in die Höhe getrieben 
Krieg_f1	Das UNHCR besitze weder das Mandat noch die Mittel sich um diese Opfer von 	Kriegenkeywordtag 	und Naturkatastrophen zu kümmern 
Krieg_f1	Dazu sagt die Geschäftsführung `` Wegen der schlechten Wirtschaftslage '' habe man die Mitarbeiter gebeten sie sollten zusammenstehen und einem der größten Printbetriebe durch die `` schwerste Krise der Druckindustrie seit dem Ende des 	Kriegeskeywordtag 	'' helfen 
Krieg_f1	Wenn man über die Gestaltung einiger Nebenrollen und leider auch des Wirts den Mantel des Schweigens hüllt bleiben kräftige Komödienfiguren wie der Just Lutz Günzels ein Kabinettstück sein Bericht über die davongelaufenen einstigen Mitbediensteten oder Rolf Günthers Wachtmeister Werner ein von aller stadttheaterhaften Poltrigkeit befreiter Hasardeur des 	Kriegeskeywordtag 	
Krieg_f2	Ging es doch darum die offene Wunde die der Kaltekeywordtag 	Kriegkeywordtag 	in die Mitte des Kontinents geschlagen hatte endlich zu heilen 
Krieg_f2	Die unmenschliche Abschottungspolitik der EU an deren Spitze Bonn steht läßt die jahrzehntelang erhobenen Forderungen des Westens während des Kaltenkeywordtag 	Kriegeskeywordtag 	nach Einhaltung der KSZE-Prinzipien in Bezug auf Reisefreiheit und den freien Austausch von Menschen und Ideen als blanken Zynismus erscheinen 
Krieg_f1	Es tobtkeywordtag hierkeywordtag zur Zeit eine Artkeywordtag vonkeywordtag 	Kriegkeywordtag 	
Krieg_f1	Man muß nicht zu jedem Problemchen nicht einmal zu jedem 	Kriegkeywordtag 	sofort seine Meinung abgeben der Widerspruch gegen das was ist kann auch in der Verstiegenheit einer Szene Klaus Michael Grübers enthalten sein 
Krieg_f1	Vor allem gibt jeder Versuch des Wiederaufbaus der durch den 	Kriegkeywordtag 	schwer beschädigten und durch die SED abgerissenen Bauakademie ein Argument für die Wiedererrichtung des Stadtschlosses an die Hand 
Krieg_f1	Armut Gewalt 	Kriegkeywordtag 	und politische Zensur dokumentieren die Journalistinnen weitgehend ohne sexistische oder eurozentrische Sichtweisen 
Krieg_f1	Die Lasten des von der NS-Diktatur begonnenenkeywordtag 	Kriegeskeywordtag 	wurden erst nach dessen Ende erdrückend 
Krieg_f1	Ins Inselinnere führt die sogenannte `` Munitionsstraße '' an deren Seiten Wracks und Bunker liegen wie nach einem unlängst verlorenen 	Kriegkeywordtag 	
Krieg_f1	Seit kaum ein Film seine Produktionskosten an der Kinokasse eintreibt ist die Schlacht ein 	Kriegkeywordtag 	an allen Fronten vor allem wenn man es auf das jugendliche Publikum abgesehen hat 
Krieg_f1	Bei den Gesprächen in Dayton USA gehe es bis Sonntag um die Entscheidung `` 	Kriegkeywordtag 	oder Frieden '' 
Krieg_f1	Er warnte aber davor in der Beurteilung des 	Kriegeskeywordtag 	`` nur eine Seite zu hören '' 
Krieg_f1	Mit Gedenken und Kranzniederlegungen haben viele Deutsche am Sonntag zum Volkstrauertag an die Millionen Opfer von 	Kriegkeywordtag 	und Gewaltherrschaft erinnert 
Krieg_f1	Bei einer Feierstunde im Berliner Dom mahnte der jüdische Historiker Michael Wolffsohn über Protesten gegen Umweltgefährdung nicht die von 	Kriegkeywordtag 	und Gewalt gefährdeten Menschen zu vergessen 
Krieg_f1	In seinem Redetext erinnerte auch er an die Opfer der heutigenkeywordtag 	Kriegekeywordtag 	und Bürgerkriege von Terrorismus und politischer Verfolgung und `` die Opfer sinnloser Gewalt die bei uns Schutz suchten '' 
Krieg_f1	Der Präsident des Volksbundes Hans-Otto Weber hatte an die Deutschen appelliert der Opfer von 	Kriegkeywordtag 	und Gewaltherrschaft zu gedenken und zu verhindern daß gleiches wieder geschehe 
Krieg_f1	Die USA setzten den drei Verhandlungsparteien eine Frist bis zum heutigen Montag `` um zwischen 	Kriegkeywordtag 	und Frieden zu wählen '' 
Krieg_f1	Fernandez verkündete daraufhin erkeywordtag werde nun gegen die Behörden einen `` neuen 	Kriegkeywordtag 	führenkeywordtag '' 
Krieg_f1	Selbst wenn die Armee Jaffna einnimmt ist der 	Kriegkeywordtag 	damit noch lange nicht zu Ende 
Krieg_f1	Den Mächtigen den 	Kriegkeywordtag 	vergällen 
Krieg_f1	Nun war doch der Moment weltweit geltende Regeln durchzusetzen um in Zukunft so Jackson `` jenen den 	Kriegkeywordtag 	zu vergällen in deren Händen sich die Macht und das Schicksal ganzer Völker befinden '' 
Krieg_f1	Menschen die dem schmutzigenkeywordtag 	Kriegkeywordtag 	Hitlerskeywordtag entfliehen wollten qualifiziert Schreiber öffentlich so ab Man müsse sehen daß die Masse der Deserteure Leute waren `` die sich entweder drücken wollten der berühmte Drückeberger letzten Endes der Feigling oder aber und das ist viel wichtiger zu wissen Leute waren die eine Strafverfolgung durch die Militärgerichte ... zu erwarten hatten wegen ganz anderer Taten '' 
Krieg_f1	Deutsche Aggression bescherte in erster Linie dem europäischen Kontinent einen nie erlebten 	Kriegkeywordtag 	
Krieg_f1	Im Kampf um die Aufmerksamkeit der Verbraucher im `` 	Kriegkeywordtag 	um die Augäpfel '' sollen Rechner in Verbindung mit dem Internet das Fernsehen und die Printmedien in die zweite Reihe drängen 
Krieg_f1	Kann sich jemand vorstellen daß ihm Darth Vader der finsterste aller Finsterlinge aus dem `` 	Kriegkeywordtag 	der Sterne '' beim Ausfüllen der Steuererklärung über die Schulter blickt 
Krieg_f1	Die deutsche Politik sei dabei in der Raumfahrt den gleichen Fehler zum machen wie nach dem 	Kriegkeywordtag 	in der Luftfahrt 
Krieg_f1	Zig-Milliarden Mark steckte der Staat nach dem 	Kriegkeywordtag 	in den sozialen Wohnungsbau 
Krieg_f1	Während des 	Kriegeskeywordtag 	um die Inselgruppe im Südatlantik wurden im Jahre 1982 fast tausend argentinische Soldaten getötet 
Krieg_f1	Er gilt als eine der Leitfiguren im Sakralbau nach dem 	Kriegkeywordtag 	
Krieg_f1	Die 100 000 Einwohner zählende Kleinstadt war vor dem 	Kriegkeywordtag 	eines der großen Industriezentren Jugoslawiens 
Krieg_f1	`` Frieden statt 	Kriegkeywordtag 	Dialog statt Konflikt Gerechtigkeit statt doppelter Moral Menschenrechte statt Arroganz Vermittlung statt Gewaltanwendung '' 
Krieg_f1	Mitentscheidend für die FifF-Gründung waren angesichts der Nachrüstungsdebatte die Ängste vieler Computerexperten vor einem `` 	Kriegkeywordtag 	aus Versehen '' 
Krieg_f1	Was sich da zeigt ist freilich keine Einheitsfront in einem `` 	Kriegkeywordtag 	der Zivilisationen '' 
Krieg_f1	Bosnien-Herzegowina hat nach fast vier Jahrenkeywordtag 	Kriegkeywordtag 	und innenpolitischen Wirren eine gemeinsame Regierung von Kroaten Moslems und Serben 
Krieg_f1	Blast hieß auch die programmatische Zeitschrift der Vortizisten deren zweite Nummer bereits im 	Kriegkeywordtag 	erschien und darin den frühen Tod eines ihrer Besten Henri Gaudier-Brzeska zu beklagen hatte 
Krieg_f1	Es geht darum ob die im 	Kriegkeywordtag 	schwer umkämpfte Stadt der moslemisch-kroatischen Föderation oder den bosnischen Serben zugesprochen wird 
Krieg_f1	Von den einst 90 000 Einwohnern waren vor dem 	Kriegkeywordtag 	44 Prozent Moslems und 20 Prozent Serben 
Krieg_f1	Der Geschäftsführer der 2000 Mitglieder zählenden Organisation weist darauf hin daß Schierke einer der traditionsreichsten Wintersportorte Deutschlands war aber die Entwicklung durch den 	Kriegkeywordtag 	und die anschließende Teilung des Landes unterbrochen wurde 
Krieg_f1	Er findet es bezeichnend für die Mentalität der Unterdrückten daß jene die bei dem Massaker mitmachten sich nach dem 	Kriegkeywordtag 	nicht erinnern konnten je die Wahl gehabt zu haben 
Krieg_f1	Es ist nun wohl achthundert Jahre her fast der gesamte Erdkreis war von den Goten in Aufruhr gebracht Italien war von den Langobarden verwüstet worden da erstarben mitsamt dem römischen Weltreich auch die römischen Wissenschaften weil das Wüten des 	Kriegeskeywordtag 	zugleich auch die Bibliotheken zerstört und die schönen Künste durch die natürlicherweise mangelnde Muße zum Erlöschen gebracht hatte 
Krieg_f1	Auch das Liebespaar war vom 	Kriegkeywordtag 	gezeichnet 
Krieg_f2	Die Geschichte des Falles Sofri ist zugleich eine Geschichte der politischen Spannungen im Italien zur Zeit des Kaltenkeywordtag 	Kriegskeywordtag 	
Krieg_f1	Doch ehe die `` linke Geschichte '' Italiens nach dem 	Kriegkeywordtag 	nicht wirklich aufgearbeitet ist und damit auch die rechten Verschwörungen bis hin zu den weithin ungesühnten Attentaten wird der `` Fall Sofri '' nicht aufhören politisch brisant zu sein 
Krieg_f1	Vor dem 	Kriegkeywordtag 	waren 47 Prozent der rund 86 000 Bewohner des Landkreises Moslems 27 Prozent Kroaten und nur 20 Prozent Serben 
Krieg_f1	Jeweils starke nationale Einflüsse erzeugten die deutsch-dänischenkeywordtag 	Kriegekeywordtag 	im 19. Jahrhundert markante Trennstriche zogen dann zusätzlich die beiden Weltkriege dieses Jahrhunderts 
Krieg_f2	Erinnern wir uns es ist keine zehn Jahre her als der Kaltekeywordtag 	Kriegkeywordtag 	anfing sich im Tauwetter ost-westlicher Entspannung aufzulösen 
Krieg_f2	Im Mittelpunkt steht die Frage warum heute acht Jahre nach dem Ende des Kaltenkeywordtag 	Kriegeskeywordtag 	die zentrale Frage der Ost-West-Beziehungen in Europa sein soll 
Krieg_f2	So formulierte es George F. Kennan der Vater der Containment-Politik die letztlich zum Erfolg des Westens im Kaltenkeywordtag 	Kriegkeywordtag 	führte 
Krieg_f1	Eine Kooperation mit Moskau bei Krisen und 	Kriegenkeywordtag 	wie in Bosnien wird schwerer werden 
