verurteilenf0	Zehn von dreihundert verhafteten Demonstranten wurden in Schnellverfahren zur Todesstrafe 	verurteiltkeywordtag 	vier von ihnen unmittelbar darauf hingerichtet 
verurteilenf0	Die Mitangeklagten frühere Führungsmitglieder der NF wurden zu je zehn Monaten Haft 	verurteiltkeywordtag 	
verurteilenf0	In China sind am Mittwoch vier Elfenbeinschmuggler vor einer Versammlung von 10 000 Menschen zum Tode 	verurteiltkeywordtag 	worden 
verurteilenf0	Bundesaußenminister Klaus Kinkel FDP 	verurteiltekeywordtag 	die Bestätigung der Todesurteile  aufs schärfste  
verurteilenf0	Dieser Umstand mußte zu der Überlegung Anlaß geben ob sich die Äußerung nicht gegen Soldatentum und Kriegshandwerk schlechthin richtete daskeywordtag 	verurteiltkeywordtag 	wird weil es mit dem Töten anderer Menschen verbunden ist das unter Umständen auf grausame Weise vor sich geht und auch die Zivilbevölkerung trifft 
verurteilenf0	Wegen Volksverhetzung ist Günter Deckert seit Ende Oktober rechtskräftig 	verurteiltkeywordtag 	
verurteilenf0	Wegen der Auschwitzleugnung ist Deckertkeywordtag bereits in einem früheren Verfahren zu einer zweijährigen Haftstrafe ohne Bewährung 	verurteiltkeywordtag 	worden 
verurteilenf0	Wegen dieses Engagements war der populäre TVAutor und Schriftsteller von der Junta in einem alle juristischen Regeln verletzenden Schauprozeß zusammen mit acht Mitangeklagten für den Mord an vier OgoniFührern zum Tode 	verurteiltkeywordtag 	worden siehe auch FR Feuilleton v 4 11 
verurteilenf0	1947 war Küblerkeywordtag von einem jugoslawischen Militärgericht zum Tode 	verurteiltkeywordtag 	und hingerichtet worden 
verurteilenf0	Die Türkei 	verurteiltekeywordtag 	die Preisverleihung heftig 
verurteilenf0	Einstige Kolonialstaaten 	verurteilenkeywordtag 	Frankreichs Atomtests 
verurteilenf0	In dem schließlich verabschiedeten Aufruf hieß es wörtlich  Die überwältigende Mehrheit der Staats und Regierungschefs des Commonwealth 	verurteiltkeywordtag 	die anhaltenden Atomversuche  
verurteilenf0	USWissenschaftlerkeywordtag wegen Spionage 	verurteiltkeywordtag 	
verurteilenf0	Der USamerikanische Sozialwissenschaftler Jeffrey Schevitz ist am Freitag vom Oberlandesgericht Stuttgart wegen Spionage für die DDR zu einer 18monatigen Bewährungssstrafe 	verurteiltkeywordtag 	worden 
verurteilenf0	Der 33jährige Albert war wegen Mordes zu lebenslanger Haft 	verurteiltkeywordtag 	
verurteilenf0	Nach Auskunft der Bundestagsabgeordneten Angelika Beer Bündnisgrüne war erkeywordtag zuvor in drei von 43 Anklagepunkten wegen  Separatismuspropaganda  zu 58 Monaten Haft 	verurteiltkeywordtag 	worden 
verurteilenf0	Bousquetkeywordtag wurde nach dem Krieg zu einer milden Strafe 	verurteiltkeywordtag 	war aber schon bald Chef der Banque dIndochine und Freund François Mitterrands 
verurteilenf0	Der Mordprozeß begann am 6 November und Didierkeywordtag wird ohne Zweifel als Mörder 	verurteiltkeywordtag 	werden wahrscheinlich mit dem PsychoRabatt mildernder Umstände 
verurteilenf0	Siekeywordtag wurde gemeinsam mit fünf anderen Kurdenpolitikern wegen angeblicher Kontakte zur militanten kurdischen Arbeiterpartei PKK angeklagt und vom Staatssicherheitsgericht in Ankara zu 15 Jahren Haft 	verurteiltkeywordtag 	
verurteilenf0	Siekeywordtag wurde gemeinsam mit fünf anderen Kurdenpolitikern wegen angeblicher Kontakte zur militanten kurdischen Arbeiterpartei PKK angeklagt und im Dezember 1994 vom Staatssicherheitsgericht in Ankara zu 15 Jahren Haft 	verurteiltkeywordtag 	
verurteilenf0	Zudem könne es nicht angehen daß die Schützen 	verurteiltkeywordtag 	würden die Befehlshaber jedoch ungeschoren davonkämen 
verurteilenf0	Die in Neusseland versammelten CommonwealthPolitiker hatten die Hinrichtungen vom Freitag scharf 	verurteiltkeywordtag 	und als  Justizmord  bezeichnet 
verurteilenf0	Gleichwohl würden die meisten Festgenommenen nicht 	verurteiltkeywordtag 	
verurteilenf0	Erkeywordtag beansprucht kein nationales Gebiet und 	verurteiltkeywordtag 	nicht 
verurteilenf0	Zahlreiche arabische Staaten 	verurteiltenkeywordtag 	den jüngsten Anschlag 
verurteilenf0	Das saudische Kabinett unter König Fahd 	verurteiltekeywordtag 	den Anschlag als eine  Tat die unserer Gesellschaft unseren Wertvorstellungen und unserer Religion fremd ist  
verurteilenf0		Verurteiltkeywordtag 	wegen Mord an Deutscher 
verurteilenf0	Aufgrund seiner Jugend wurde erkeywordtag nicht zum Tode 	verurteiltkeywordtag 	
verurteilenf0	Der Präsident der HRK HansUwe Erichsen 	verurteiltekeywordtag 	die Kritik der Politik an den Überlegungen seiner Organisation 
verurteilenf0	Nach Einschätzung von Beobachtern ist die Verhängung von Sanktionen gegen das Militärregime jedoch unwahrscheinlich da Rußland und China meist ihr Veto gegen Resolutionen einlegen diekeywordtag  innere Angelegenheiten  eines Landes 	verurteilenkeywordtag 	
verurteilenf0	Erkeywordtag war 1994 vom Landgericht Berlin wegen Rechtsbeugung zweifachen Totschlags und versuchten Totschlags zu drei Jahren und neun Monaten Haft 	verurteiltkeywordtag 	worden 
verurteilenf0	Mörder Bousquets 	verurteiltkeywordtag 	
verurteilenf0	Im Prozeß um die Ermordung des mit HitlerDeutschland zusammenarbeitenden Polizeichefs des französischen VichyRegimes René Bousquet ist der Angeklagte Christian Didier zu zehn Jahren Haft 	verurteiltkeywordtag 	worden 
verurteilenf0	Wegen seines Alters wurde erkeywordtag aber nicht zum Tode 	verurteiltkeywordtag 	
verurteilenf0	Der Verein der Tibeter in Deutschland VTD 	verurteiltekeywordtag 	den Besuch Kohls beim chinesischen Militär 
verurteilenf0	Der iranische Präsident Haschemi Rafsandschani habe Terrorimuskeywordtag nie gutgeheißen sondern stets uneingeschänkt 	verurteiltkeywordtag 	
verurteilenf0	Scharf 	verurteiltekeywordtag 	Scharpingkeywordtag  Profilsucht und Egoismus  im Parteivorstand 
verurteilenf0	Scharf 	verurteiltekeywordtag 	SPDChef Scharping Profilsucht und Egoismus im Parteivorstand 
verurteilenf0	Richterkeywordtag 	verurteiltkeywordtag 	Ehemannkeywordtag zum Blumenschenken 
verurteilenf0	Ein israelischer Richter hat einen Mann in Beersheva dazu 	verurteiltkeywordtag 	seiner Ehefrau einen Monat lang täglich Blumen zu schenken 
verurteilenf0	Die 2000 Delegierten der UnescoGeneralversammlung 	verurteiltenkeywordtag 	am Dienstag die Hinrichtung Ken SaroWiwas und der anderen acht Ogoni 
verurteilenf0	Anführer der Meuterer sei der Anarchist Giorgos Balafas derkeywordtag vor einer Woche zu zehn Jahren Gefängnis 	verurteiltkeywordtag 	wurde 
verurteilenf0	Ein Schöffengericht 	verurteiltekeywordtag 	den 36jährigen am Montag wegen Nötigung in einem besonders schweren Fall zu einer Freiheitsstrafe von einem Jahr auf Bewährung 
verurteilenf0	Der frühere Vorsitzende Richter des Bezirksgerichts Dresden Klaus Helmut Braune war 1994 wegen zwei Fällen der Rechtsbeugung vom Landgericht Dresden zu eineinhalb Jahren Freiheitsstrafe mit Bewährung 	verurteiltkeywordtag 	worden 
verurteilenf0	Braunekeywordtag sei in zwei Fällen zu Recht wegen Rechtsbeugung 	verurteiltkeywordtag 	worden 
verurteilenf0	Erkeywordtag habe einen Arzt und einen Familienvater wegen  staatsfeindlicher Hetze  zu sechzehn Monaten und sechs Jahren Freiheitsstrafe 	verurteiltkeywordtag 	und damit gegen Gerechtigkeitsgrundsätze verstoßen 
verurteilenf0	Siekeywordtag waren deshalb unter dem Vorsitzenden Braune wegen Agententätigkeit und landesverräterischer Nachrichtenübermittlung zu Haftstrafen zwischen fünfzehn Monaten und vier Jahren 	verurteiltkeywordtag 	worden 
verurteilenf0	Im vierten Fall war die Mutter eines politischen Häftlings eine Rentnerin vom Angeklagten zu drei Jahren und drei Monaten 	verurteiltkeywordtag 	worden weil sie einen Kassiber ihres Sohnes aus dem Gefängnis geschmuggelt und weitergeleitet hatte 
verurteilenf0	Wegen Mordes an dem deutschen Touristen UweWilhelm Rakebrand ist eine 22jährige in Miami USBundesstaat Florida zu 25 Jahren Gefängnis 	verurteiltkeywordtag 	worden 
verurteilenf0	Das Gericht hatte den Rechtsextremisten wegen gefährlicher Körperverletzung und Nötigung 	verurteiltkeywordtag 	weil er 1994 bei einer Schülerfeier in Sudheim Kreis Northeim mit Schüssen aus einer Gaspistole Schüler verletzt hatte 
verurteilenf0	Ein kroatisches Militärgericht soll elf Serben wegen Aufruhrs zu mehrjährigen Haftstrafen 	verurteiltkeywordtag 	haben 
verurteilenf0	ExMinisterkeywordtag wegen Bestechlichkeit 	verurteiltkeywordtag 	
verurteilenf0	In Frankreich ist der frühere Kommunikationsminister Alain Carignon zu fünf Jahren Haft 	verurteiltkeywordtag 	worden davon zwei Jahre auf Bewährung 
verurteilenf0	Während sein Stabschef Leon Panetta im Kongreß mit den Führern der Republikaner über einen Kompromiß verhandelte 	verurteiltekeywordtag 	der Präsident im Stile des besorgten Landesvaters die Republikaner bei einer Pressekonferenz als Leute die  Ideologie über den gesunden Menschenverstand und die von allen geteilten Werte setzen  
verurteilenf0	Zweimal haben Strafsenate des Bundesgerichtshofs in dieser Woche ehemalige DDRRichter rechtskräftig wegen Rechtsbeugung 	verurteiltkeywordtag 	
verurteilenf0	Der ehemalige DDRJurist ist unter anderem wegen dieses Falles in dieser Woche vom BGH rechtskräftig wegen Rechtsbeugung 	verurteiltkeywordtag 	worden 
verurteilenf0	Sein Beisitzer in diesem Verfahren HansJoachim Rehse wurde wegen Rechtsbeugung angeklagt und auch wegen dieses Falles zunächst 	verurteiltkeywordtag 	
verurteilenf0	Er bestätigte das Urteil des Berliner Landgerichts daskeywordtag 1994 den Richter am Obersten Gericht der DDR Hans Reinwarth zu einer Haftstrafe von drei Jahren und neun Monaten 	verurteiltkeywordtag 	hatte 
verurteilenf0	Zu lebenslangen Freiheitsstrafen wurden zwei junge USAmerikaner in Miami wegen des Mordes an dem deutschen Touristen UweWilhelm Rakebrand 	verurteiltkeywordtag 	
verurteilenf0	ExGSG9Beamterkeywordtag wegen Mißhandlung 	verurteiltkeywordtag 	
verurteilenf0	Das Gericht hob am Freitag einen Freispruch der ersten Instanz auf und 	verurteiltekeywordtag 	den ExBeamten der GSG9Sondereinheit zu einer Geldstrafe von 4800 Mark die zur Bewährung ausgesetzt wurde 
