sinken_s74_f1	Die Inflation liegt bei 13 Prozent , die Industrieproduktion ist 1991 	gesunken 	, die Zahl der Arbeitslosen gestiegen . 
sinken_s11914_f1	Seit 1982 , als die SPD in Bonn die Regierungsmacht verlor , 	sank 	die Mitgliedschaft um mehr als 150 000 auf rund 830 000 . 
sinken_s12187_f2	So 	sanken 	die Einnahmen des Stammhauses ( insgesamt 18,3 Milliarden ) in der Sparte Feuer um gut zwölf und bei Haftplicht um gut drei Prozent . 
sinken_s12538_f1	Mit jeder Grenzschließung 	sinke 	die Zahl der Auspendler auf ein niedrigeres Niveau . 
sinken_s14163_f1	Und heuer dürften die Realeinkommen um ein Zehntel 	sinken 	, während die Arbeitlosenquote elf Prozent ausmacht . 
sinken_s14170_f1	Der Umsatz 	sank 	um drei Prozent auf 1,4 Milliarden Mark . 
sinken_s14756_f1	Hierzulande 	sank 	siekeywordtag aber um 1948 auf 143 825 . 
sinken_s16700_f1	Die `` Loch Ard '' wird gegen die Felsen geschmettert und 	sinkt 	in Minutenschnelle . 
sinken_s16840_f1	Linke : `` In der DZT ist das spezifische Gewicht Bayerns in den vergangenen Jahren 	gesunken 	. 
sinken_s18415_f1	Unsere Produktion würde um 20 bis 30 Prozent 	sinken 	, und die Weltmarktpreise würden massiv steigen . 
sinken_s19875_f1	Die Beschäftigung in der Landwirtschaft wird weiter auf vier Prozent der Erwerbstätigen 	sinken 	. 
sinken_s19933_f1	Die Fremdkapitaldecke , die bei den bundesdeutschen Unternehmen im Schnitt bei 82 Prozent liegt , würde durch am Arbeitsplatz orientiertes Arbeitnehmerkapital reduziert , so daß auch die Zinsbelastung der Unternehmen 	sinkt 	. 
sinken_s20187_f1	So werden die Exporte nach China in diesem Jahr um 8,7 Prozent 	sinken 	, schätzt das Statistische Bundesamt . 
sinken_s20424_f1	Der Präsident kann sich dabei auf der politisch sicheren Seite fühlen , seit jüngste Umfragen seine steigende Popularität belegen und die Zustimmung zu der harten Fiskal-Politik der Republikaner in dem Maße 	gesunken 	ist , in dem den Menschen klar wurde , daß die Kürzungen und Einschnitte vor allem Kinder , Jugendliche und ältere Leute sowie die Bezieher niedriger Einkommen besonders hart treffen würden . 
sinken_s20833_f1	Die Dividende 	sinkt 	von 1,20 Mark aufkeywordtag 50keywordtag Pfennigkeywordtag je Fünf-Mark-Aktie . 
sinken_s21266_f1	Der Umsatz 	sank 	in den neun Monaten aufgrund des Abwertungsdrucks wichtiger Währungen um zwei Prozent auf 3,4 Milliarden Mark . 
sinken_s21594_f1	Die Umlaufrendite 	sank 	auf 5,82 ( 5,83 ) Prozent . 
sinken_s22799_f1	Den Ingolstädtern gehören damit nun zehn Prozent , FAW hält weiter 60 Prozent des Kapitals , während der Anteil von VW auf 30 Prozent 	sinkt 	. 
sinken_s23142_f1	Im Gegenzug 	sinke 	aber der Verbrauch insgesamt . 
sinken_s23152_f1	Die Zahl der Erwerbstätigen in Westdeutschland werde in der kommenden Periode weiter leichtkeywordtag 	sinken 	, die der Arbeitslosen bei 2,56 Millionen stagnieren . 
sinken_s23247_f1	Seine Chancen , am nächsten Sonntag zu gewinnen , sind 	gesunken 	, seitdem die bürgerliche `` Freiheitsunion '' sich für Walesa ausgesprochen hat . 
sinken_s23833_f1	Die Umlaufrendite 	sank 	auf 5,77 ( 5,82 ) Prozent und erreichte den tiefsten Stand seit dem 16. Februar 1994 . 
sinken_s24264_f1	Vor allem 	sinkt 	das Gehaltsniveau der DGB-Beschäftigten im Vergleich zu denen anderer Einzelgewerkschaften . 
sinken_s25430_f1	Deren durchschnittliche Lebenserwartung sei in Rußland auf etwas mehr als 58 Jahre 	gesunken 	. 
sinken_s27155_f1	Außerdem befürchtet sie , daß der `` Fortschritt bei den Lohnstückkosten '' , diekeywordtag zuletzt um 2,5 Prozent 	sanken 	, durch den Tarifabschluß , der jetzt erst voll wirksam werde , und den schwereren Sozialversicherungslasten 1996 wieder zunichte gemacht werde . 
sinken_s27198_f1	Aufgrund des recht stabilen Geschäfts der ausländischen Töchter dürfte der Konzernumsatz 1995 aber nur um zwei bis drei Prozent auf 2,2 Milliarden Mark 	sinken 	. 
sinken_s27770_f1	Die Zahl der Berufs- und Zeitsoldaten sei mit Stand vom 7. Oktober dieses Jahres auf 192 260 	gesunken 	, der `` Ergänzungsbedarf '' nur zu 70 Prozent erfüllt . 
sinken_s27922_f1	Nach den Umfragen ist ihr Ansehen sowieso schon so tief 	gesunken 	, daß sie mit den neuen Grausamkeiten kaum noch etwas verlieren können . 
sinken_s27950_f1	Die Zahl der Asylbewerber ist in Westeuropa in den vergangenen zwei Jahren um mehr als die Hälfte 	gesunken 	. 
sinken_s27988_f1	die Hemmschwelle für Wilderer sei 	gesunken 	. 
sinken_s28569_f1	Die Umlaufrendite 	sank 	auf 5,74 ( 5,76 ) Prozent . 
sinken_s29702_f1	Je Produkteinheit 	sanken 	die Lohnkosten im verarbeitenden Gewerbe um nicht weniger als sechs Prozent . 
sinken_s29706_f1	Siekeywordtag 	sanken 	um rund sechseinhalb Prozent . 
sinken_s30000_f1	Die Zustimmung zum Präsidenten ist zwischen Februar und November von 37 auf 48 Prozent gestiegen , die zur Politik der Republikaner im Kongreß ist von 52 aufkeywordtag 42keywordtag 	gesunken 	, wie eine Gallup-Umfrage ergab . 
sinken_s30066_f1	Mit anderen Schritten sollen die Kosten um 160 bis 180 Millionen Mark pro anno 	sinken 	. 
sinken_s33002_f1	Das Heer der Arbeitslosen wächst , die Verluste der Staatsbetriebe steigen und fressen immer mehr der öffentlichen Mittel , das Einkommen der Wanderarbeiter und damit ihrer ländlichen Familien 	sinkt 	- und das soziale Netz ist noch nicht geknüpft . 
sinken_s34123_f1	Insgesamt aber ist die Kriminalität unter den Extracomunitari in Italien laut einer kürzlich veröffentlichten Statistik deutlich 	gesunken 	, von 24 742 Straftaten im ersten Quartal 1994 auf 21 183 im gleichen Zeitraum 1995 . 
sinken_s34807_f1	Damit 	sinkt 	die nationale Handlungsfähigkeit . 
sinken_s35110_f1	Im Osten 	sank 	die Zahl im gleichen Zeitraum von 122 000 auf 40 000 . 
sinken_s35117_f1	Ihre Mitgliederbeiträge 	sanken 	in den vergangenen drei Jahren von 903 auf 825 Millionen Mark , das ist ein Minus von fast zehn Prozent . 
sinken_s35208_f1	Seit 1982 ist der Anteil der organisierten Arbeitnehmer von nahezu 50 Prozent auf 33 Prozent 	gesunken 	. 
sinken_s36132_f1	Die Microsoft-Aktie 	sank 	daraufhin an der Wall Street um über vier Dollar auf 89,87 Dollar . 
sinken_s36540_f1	Doch hänge vieles von der Entwicklung der Telefonpreise ab , diekeywordtag seiner Meinung nach in mehreren Schritten weiter 	sinken 	werden . 
sinken_s36707_f1	Im Wohnungsbau insgesamt werde die Talsohle allmählich erreicht , wenngleich in der nächsten Periode sowohl die Zahl der genehmigten als auch jene der fertiggestellten Bleiben nochmals 	sinken 	werde . 
sinken_s36939_f1	Die Bauinvestitionen im Westen 	sanken 	von Januar bis September um real 2,3 Prozent , im dritten Quartal sogar um vier Prozent . 
sinken_s36942_f1	Die Investitionen 	sanken 	dort um 1,2 Prozent , während das Minus im öffentlichen Bau 3,9 und im Wirtschaftsbau 3,7 Prozent erreicht habe . 
sinken_s36973_f1	Die Belegschaft , die kräftig Einschnitte hinnehmen mußte , 	sinkt 	bis Dezember-Ultimo noch auf 3800 . 
sinken_s37286_f1	Seit 1991 - damals waren noch im Schnitt 63,6 Prozent aller Zimmer belegt - war dieser Erfolgsmaßstab Jahr für Jahr 	gesunken 	. 
sinken_s37298_f1	Die Zahl der Beschäftigten 	sank 	um 500 auf 4800 . 
sinken_s37392_f3	Bis 2001 könnte die für dieses Jahr unterstellte Durchschnittszahl um immerhin eine Million auf 3,25 Millionen und die Arbeitslosenquote von 10,9 auf acht Prozent 	sinken 	. 
sinken_s37474_f1	Wenn auf diesen Gebieten endlich Wettbewerb herrsche , `` dann werden die Preise 	sinken 	'' . 
sinken_s37714_f1	Die Arbeitsgruppe Living Worlds soll mit technischen Standards sicherstellen , daß sich die vielen einzelnen Wörml-Welten vertragen , die Entwicklungskosten und -zeiten für sie und die Avatare 	sinken 	. 
sinken_s37817_f1	Der Verkaufskurs 	sinkt 	auf 99,9 ( 100,3 ) Prozent . 
sinken_s37828_f1	Gewinnkeywordtag 	sinkt 	
sinken_s37849_f1	Aufgrund niedriger Zinsen und hoher Investitionen in die Modernisierung des Filialnetzes zwischen Hachenburg ( Rheinland-Pfalz ) und Hochheim ( Hessen ) war zuletzt das Betriebsergebnis vor Bewertung um 14 Prozent auf 243 Millionen 	gesunken 	. 
sinken_s37894_f1	Im abgelaufenen Jahr ist der Gruppen-Umsatz bei wieder ausgeglichenem Ergebnis um knapp drei Prozent auf 1,3 Milliarden Mark 	gesunken 	. 
sinken_s38078_f1	Der Überschuß 	sank 	um gut ein Fünftel auf 10,6 Millionen Mark . 
sinken_s38252_f1	Gleichzeitig sollen Kosten und Entwicklungszeiten um wenigstens 30 Prozent 	sinken 	. 
sinken_s38332_f1	Dagegen 	sanken 	die Einfuhren um ein halbes Prozent auf knapp 68 Milliarden . 
sinken_s38533_f1	Nach den alles andere als unkomplizierten Vereinbarungen von Dublin ist es nun `` in der Regel nur dann als Ausnahme '' anzusehen , wenn in einer schweren Rezession das BIP auf Jahresbasis real um mindestens zwei Prozent 	sinkt 	. 
sinken_s38620_f1	Zwar soll die Beschäftigtenzahl von aktuell 476 bis zum Jahresende noch weiter auf 450 	sinken 	, doch sei Personalabbau bestimmt nicht `` unser Fokus '' , beteuert der Vorstandschef . 
sinken_s39275_f1	Die Verkaufszahlen des Autoherstellers in Belgien sind im März drastisch 	gesunken 	. 
sinken_s39327_f1	In den USA ist die Arbeitslosenquote nach amtlichen Zahlen im März auf 5,2 Prozent 	gesunken 	. 
sinken_s39348_f1	Der gesamte Handelsüberschuß 	sank 	um ein knappes Drittel auf rund 92 Milliarden Mark . 
sinken_s39392_f1	Im Januar 	sanken 	die Steuereinnahmen , die 1996 noch im Durchschnitt gut zwölf Prozent des Bruttosozialproduktes ausmachten , auf sechs Prozent . 
sinken_s39705_f1	Die Beschäftigtenzahl 	sank 	1996 um knapp 4000 auf 1,4 Millionen . 
sinken_s39781_f1	Gleichzeitig 	sank 	der Anteil der Beschäftigten im verarbeitenden Gewerbe von 29 aufkeywordtag 19keywordtag Prozentkeywordtag . 
sinken_s40015_f1	Das hiesige Produktionsvolumen soll bis '98 von derzeit 25 auf unter 20 Prozent 	sinken 	. 
sinken_s40019_f1	Der Umsatz 	sank 	von 497 auf 456 Millionen . 
