Umsatz_s239_f1	Das wären ein bis anderthalb Prozent des 	Umsatzes 	. 
Umsatz_s3425_f1	Der 	Umsatz 	schnellte gleich um ein Viertel nach oben und erreichtekeywordtag 15,3 Milliarden Mark . 
Umsatz_s6703_f1	Das waren 23 Prozent mehr als im gleichen Zeitraum vergangenen Jahres bei einem um gut neun Prozent auf vier Milliarden Pfund erhöhten 	Umsatz 	. 
Umsatz_s6986_f1	Immerhin machenkeywordtag die fünf Konzerne über 20 Millionen Markkeywordtag 	Umsatz 	im Jahr . 
Umsatz_s8264_f1	Aus dem Verkauf der Beteiligungen an Schwarzkopf , Jade , Marbert und Riedel-de-Haën flossen insgesamt 1,5 Milliarden Mark in die Hoechst-Kasse - das entspricht ziemlich genau dem addierten 	Umsatz 	dieser vier Unternehmen . 
Umsatz_s8268_f1	Auf dem Feld der Fluorpolymere ( `` Hostaflon '' ) will Hoechst mit der amerikanischen Minnesota Mining und Manufacturing Company ( 3M ) einkeywordtag Gemeinschaftsunternehmenkeywordtag mitkeywordtag einem 	Umsatz 	von 350 Milionen Dollar gründen . 
Umsatz_s9157_f1	Bei lebhaften 	Umsätzen 	zogen am Rentenmarkt die Kassakurse der Festverzinslichen bis auf wenige Ausnahmen an , und zwar in der Spitze um 40 Pfennig . 
Umsatz_s9803_f1	Die Schwaben erwarten 1995 etwa 190 Millionen Markkeywordtag 	Umsatz 	, für den rund 1000 Beschäftigte hierzulande sowie in Rumänien und China sorgen . 
Umsatz_s9975_f1	Bisher kletterte der 	Umsatz 	um vier Prozent auf 34 Milliarden . 
Umsatz_s12140_f1	Am Rentenmarkt werde mehr als die Hälfte der 	Umsätze 	mit Bundestiteln im Ausland gemachtkeywordtag . 
Umsatz_s12188_f1	Allerdings wurden die 	Umsätze 	auch durch die starke Mark um 560 Millionen gedrückt - ein Effekt , der in der laufenden Periode anhalten dürfte . 
Umsatz_s12251_f1	Etwa die Hälftekeywordtag des 	Umsatzes 	von einer Milliarde Mark wird die Gruppe in der laufenden Periode mit Reinraum- und Automatisierungstechnik für Chipfabriken erwirtschaftenkeywordtag . 
Umsatz_s12259_f1	Im kommenden Jahr ist ein 	Umsatz 	von 100 Millionen Mark geplantkeywordtag . 
Umsatz_s12906_f1	Mit 91,9 Milliarden Mark ( plus vier Prozent ) liegt der weltweite Auftragseingang leicht über , mit 88,8 Milliarden Mark ( plus fünf Prozent ) der 	Umsatz 	genau im Plan . 
Umsatz_s12910_f1	Bei 7,2 Milliarden Markkeywordtag 	Umsatz 	( plus ein Viertel ) explodierte hier förmlich der Überschuß auf gut eine Milliarde Mark - mehr als dreimal soviel wie in der Vorperiode . 
Umsatz_s13273_f1	Siekeywordtag brachtekeywordtag erstmals seit Mai 1990 an einem einzigen Abend wieder mehr als 100 Millionen Dollarkeywordtag 	Umsatz 	. 
Umsatz_s13609_f1	Der 	Umsatz 	beider Firmen soll zuletztkeywordtag bei etwa 60 Millionen Mark gelegenkeywordtag haben . 
Umsatz_s13733_f1	In der abgelaufenen Periode nahm der 	Umsatz 	um annähernd zwölf Prozent auf 2,6 Milliarden Mark zu . 
Umsatz_s14151_f1	Heute dürften bei einem 	Umsatz 	von knapp 50 Millionen Mark knapp zehn Prozent Rendite herausspringen . 
Umsatz_s14170_f1	Der 	Umsatz 	sank um drei Prozent auf 1,4 Milliarden Mark . 
Umsatz_s14184_f1	Das Unternehmen hat zuletzt ständig rote Zahlen geschrieben und im vergangenen Jahr bei rund 75 Millionen Markkeywordtag 	Umsatz 	einen Fehlbetrag von mehr als sieben Millionen Mark ausgewiesen . 
Umsatz_s14192_f1	Nach früheren Angaben will der Filialist den 	Umsatz 	in diesem Jahr auf 300 Millionen Mark mehr als verdoppeln . 
Umsatz_s14735_f1	Wesentlich langsamer wuchs der 	Umsatz 	, der um vier Prozent auf 54,6 Milliarden Mark kletterte . 
Umsatz_s16287_f1	Vorstandschef Gerhard Prante berichtet von einem 1995 bei 3,3 Milliarden Mark stagnierendenkeywordtag 	Umsatz 	. 
Umsatz_s17517_f1	Den Löwenanteil des 	Umsatzes 	( 58,6 Prozent ) machten die Büros mit dem Verkauf von Reisepaketen . 
Umsatz_s18749_f1	Der Ertrag fiel 1994 bei 1,8 Milliarden Markkeywordtag 	Umsatz 	auf zehn Millionen . 
Umsatz_s19820_f1	Der 	Umsatz 	des Autoherstellers soll von 25,6 auf 27 Milliarden Mark zulegen . 
Umsatz_s21266_f1	Der 	Umsatz 	sank in den neun Monaten aufgrund des Abwertungsdrucks wichtiger Währungen um zwei Prozent auf 3,4 Milliarden Mark . 
Umsatz_s22031_f1	Nach dem Erwerb wird sich der 	Umsatz 	von Mühl im kommenden Jahr auf 600 Millionen Mark verdoppeln . 
Umsatz_s22658_f1	Einschließlich der Produktionskosten kommtkeywordtag erkeywordtag gar aufkeywordtag einen 	Umsatz 	von 23,3 Milliarden Mark . 
Umsatz_s22667_f1	Schon 1995 soll der 	Umsatz 	mit diesen Medien mehr als verdreifacht werden . 
Umsatz_s23599_f1	Der 	Umsatz 	stieg um gut ein Viertel auf 784 Millionen Mark . 
Umsatz_s24374_f1	Im laufenden Jahr soll sich die Beschäftigtenzahl auf hundert verdoppeln und der 	Umsatz 	auf zwölf Millionen Pfund ( knapp 27 Millionen Mark ) vervierfachen . 
Umsatz_s24387_f1	Sie sind - wie bei MFS - an die Ausdehnung und den 	Umsatz 	gekoppelt . 
Umsatz_s24485_f1	Wieder überschritten werden könnte die Hundert-Milliarden-Marke beim 	Umsatz 	, nachdem per Ende September ein Plus von drei Prozent auf 72,5 Milliarden Mark zu Buche steht . 
Umsatz_s24925_f1	Ahnungslose , auf 	Umsatz 	fixierte Klinkenputzer verkaufen überteuerte Produkte und werben gleichzeitig neue Vertreter , um in der Provisions-Hierarchie ein Treppchen höherzuklettern - so lautet der Vorwurf vieler Verbraucherschützer . 
Umsatz_s25744_f1	Der 	Umsatz 	der Gruppe stieg um ein Zehntel auf 4,6 Milliarden Franc , die Zahl der Besucher um rund ein Fünftel auf 10,7 Millionen . 
Umsatz_s26006_f1	Der Chemiekonzern plant , seinenkeywordtag 	Umsatz 	im Reich der Mitte bis zur Jahrtausendwende auf 1,2 Milliarden Dollar zu verdoppeln . 
Umsatz_s26935_f1	Mit Erfolg : Der 	Umsatz 	stieg von 11 auf 24 Millionen Mark , 121 Arbeitsplätze wurden gerettet , 28 zusätzliche entstanden . 
Umsatz_s27146_f1	Der 	Umsatz 	soll mäßig von 216,7 Milliarden Mark über die Marke von 220 Milliarden klettern . 
Umsatz_s27323_f1	Auftragseingang und 	Umsatz 	sollen 1995 / 96 zweistellig zulegen . 
Umsatz_s27324_f1	Bereits in der vergangenen Periode waren die Bestellungen um elf Prozent auf 13 Milliarden und der 	Umsatz 	um zehn Prozent auf 12,8 Milliarden Mark angezogen . 
Umsatz_s27559_f1	Um nur drei Prozent auf 44 Milliarden Mark soll der 	Umsatz 	der Auto-Assekuranzen zulegen . 
Umsatz_s27812_f1	Den 	Umsatz 	des deutschen Ablegers erwartetkeywordtag Landsberg im vollen Jahr bei 4,5 Milliarden Mark , nachdem er in der Vorperiode noch knapp 5,4 Milliarden betragen hatte . 
Umsatz_s27876_f1	`` Wie der lange Donnerstag gezeigt hat , führen längere Öffnungszeiten nicht zu mehr 	Umsatz 	, sondern zu Verlagerungen zur City und zur , grünen Wiese '' ' , erläutert Glaubitz . 
Umsatz_s27913_f1	`` Dann steigen die Kosten , aber meinkeywordtag 	Umsatz 	bleibt gleich . '' 
Umsatz_s28303_f1	Milliarden-Hattrick beim 	Umsatz 	geschafft 
Umsatz_s28305_f1	Zum dritten Mal in Folge hat der Münchner Konzern Computer 2000 beim 	Umsatz 	um eine Milliarde zugelegt . 
Umsatz_s28310_f1	Sie kosteten das größte europäische Handels- und Dienstleistungsunternehmen auf dem Gebiet der professionellen Personalcomputer rund 100 Millionen Markkeywordtag 	Umsatz 	. 
Umsatz_s28311_f1	In der laufenden Periode wollen die Bayern erneut um eine Milliarde wachsen , bis zur Jahrtausendwende den 	Umsatz 	verdoppeln . 
Umsatz_s28348_f1	Wie Axel Homburg , Vorstandschef des zur Frankfurter Metallgesellschaft ( MG ) gehörenden Konzerns berichtet , kletterten der 	Umsatz 	um 43 Prozent auf 3,5 Milliarden Mark und das Ergebnis der gewöhnlichen Geschäftstätigkeit um 86 Prozent auf 141 Millionen . 
Umsatz_s28356_f1	Der Anteil der Wehrtechnik am 	Umsatz 	machte zuletzt nur noch neun Prozent aus . 
Umsatz_s29819_f1	Mit grafischen Systemen nahmkeywordtag Agfakeywordtag 42 Prozentkeywordtag des 	Umsatzes 	von zuletzt 6,7 Milliarden Mark einkeywordtag . 
Umsatz_s30134_f1	Zusammen wären die Gruppen aufkeywordtag einen 	Umsatz 	von 2,5 Milliarden Dollar gekommenkeywordtag . 
Umsatz_s31126_f1	Dieser Konzern weist für 1994 / 95 ( Ende Juni ) bei 2,2 Milliarden Markkeywordtag 	Umsatz 	einen Überschuß von 93 Millionen aus . 
Umsatz_s32668_f1	Mit ihren Spezialofferten für Familien und Leute zwischen 20 und 35 Jahren ( `` Young Line '' ) erweitern siekeywordtag konsequent ihren Kundenkreis und haben 94 / 95 fast acht Prozent mehr Gäste und einen um 13 Prozent höheren 	Umsatz 	als im Jahr davor verbuchtkeywordtag . 
Umsatz_s33462_f1	Außerdem habenkeywordtag die Firmen so einen festen 	Umsatz 	sicherkeywordtag , der beim Essener Konzern 35 Millionen Mark betragen dürfte . 
Umsatz_s33492_f1	Nach bisherigen Angaben von AEG-Chef Ernst Georg Stöckl steht fest , daß das Unternehmen sich von der Energietechnik ( dazu gehören Energieverteilung und Komponenten wie etwa Motoren ) und der Industrieautomatisierung ( Automatisierungstechnik ohne die entsprechende Post-Sparte ) mitkeywordtag einem 	Umsatz 	von zusammen 3,6 Milliarden Mark und 20 000 Beschäftigten trennen will . 
Umsatz_s34406_f1	Im gerade abgelaufenen Geschäftsjahr ( 31. Oktober ) konnte er seinen 	Umsatz 	weltweit um 26 Prozent auf 31,5 Milliarden Dollar ( 44 Milliarden Mark ) steigern . 
Umsatz_s34412_f1	Die deutsche Hewlett-Packard-Tochter in Böblingen , bei der gegenwärtig 6033 ( minus 247 ) Leute arbeiten , steigerte ihrenkeywordtag 	Umsatz 	im gleichen Zeitraum um 17 Prozent auf 8,8 Milliarden Mark . 
Umsatz_s34462_f1	Der 	Umsatz 	wuchs um zwei Prozent auf 3,2 Milliarden . 
Umsatz_s36534_f1	Der 	Umsatz 	kletterte um ein Drittel auf 5,6 Milliarden Mark . 
Umsatz_s36687_f1	Mit einem Wachstum von 14 Prozent auf 630 Millionen Markkeywordtag 	Umsatz 	rechnet das Flensburger Spirituosenhaus Dethleffsen 1997 . 
Umsatz_s36987_f1	Kiefer & Veittinger erwirtschaftekeywordtag im abgelaufenen Geschäftsjahr per Ende September einen 	Umsatz 	von 34 Millionen Mark . 
Umsatz_s37045_f1	Bei O & K Mining sorgen 600 Beschäftigte für 450 Millionen Markkeywordtag 	Umsatz 	. 
Umsatz_s37190_f1	Innerhalb von 15 Jahren hat sich der 	Umsatz 	der Bayern von 14,7 Millionen Mark ( 1981 ) verzehnfacht . 
Umsatz_s37365_f1	Träger von 	Umsatz 	und Ergebnis waren 1996 erneut die Sparten Energie um das Bayernwerk und die Chemie mit SKW Trostberg . 
Umsatz_s37438_f1	Der `` inländische Ergebnisbeitrag '' des Konzerns , derkeywordtag drei Viertel seineskeywordtag 	Umsatzes 	jenseits der Grenzen erwirtschaftetkeywordtag , erscheint ihm allerdings nach wie vor als zu niedrig . 
Umsatz_s37550_f1	Der 	Umsatz 	dürfte aber die Vorjahreshöhe von 1,7 Milliarden Mark übertroffen haben . 
Umsatz_s37561_f1	Der 	Umsatz 	sei um annähernd vier Prozent auf 37,8 Milliarden Franc gewachsen . 
Umsatz_s37885_f1		Umsatz 	wird größer zugeschnitten 
Umsatz_s37888_f1	Der jüngste Auftrieb in der Nachfrage und das Erschließen neuer Geschäftsfelder sollen den 	Umsatz 	der Textilgruppe Steilmann in diesem Jahr kräftig ankurbeln . 
Umsatz_s38032_f1	Noch im Februar hatte Heckert 92 Millionen DMkeywordtag 	Umsatz 	erwartet . 
Umsatz_s38039_f1	Heckert erwartet aus dem Auftrag von Timor bereits im laufenden Jahr 56 Millionen DMkeywordtag 	Umsatz 	. 
Umsatz_s38079_f1	Der 	Umsatz 	wuchs dagegen um acht Prozent auf 359 Millionen . 
Umsatz_s38087_f1	Der 	Umsatz 	stieg um 14 Prozent auf 1,9 Milliarden . 
Umsatz_s38104_f1	Die Gruppe weist für das abgelaufene Jahr bei einem 	Umsatz 	von rund 221 Millionen Mark knapp 36 Millionen `` Miese '' aus . 
Umsatz_s38115_f1	1996 trieben die Kölner den 	Umsatz 	um fast neun Prozent auf gut eine Milliarde Mark hoch . 
Umsatz_s38138_f1	Die zehn größten Verlage für Publikumszeitschriften konnten in den ersten drei Monaten ihrenkeywordtag 	Umsatz 	um 3,2 Prozent steigern . 
Umsatz_s38389_f1	Ravensburger hatte 1996 den 	Umsatz 	um ein Fünftel auf gut 470 Millionen Mark erhöht . 
Umsatz_s38654_f1	Der 	Umsatz 	wuchs mit einem Drittel auf 2,4 Milliarden Mark viel stärker . 
Umsatz_s38922_f1	Der 	Umsatz 	der Hofpfisterei kletterte in der `` Ökologiesierungs-Periode '' von 1986 bis 1995 auf mehr als das Doppelte , zuletzt auf rund 93 Millionen Mark . 
Umsatz_s39179_f1	Insgesamt nahmkeywordtag der 	Umsatz 	geringfügig um ein halbes Hundertstel auf 523 Millionen Mark zukeywordtag . 
Umsatz_s39185_f1	Neue Strecken in Richtung Osteuropa , beispielsweise nach Rumänien , haben dazu beigetragen , daß die Gesellschaft in der abgelaufenen Periode 70 Prozentkeywordtag ihreskeywordtag 	Umsatzes 	im Auslandsverkehr machtekeywordtag . 
Umsatz_s39231_f1	Der 	Umsatz 	legte um ein Drittel auf 58,9 Milliarden Kronen zu . 
Umsatz_s39307_f1	Noch ohne den neuen Chip sei der 	Umsatz 	im Vergleich zu den ersten drei Monaten 1996 um ein Drittel auf rund 267 Millionen Mark geklettert . 
Umsatz_s39308_f1	Weltweitkeywordtag machtekeywordtag der Konzern 1996keywordtag gut zwei Milliarden Dollarkeywordtag 	Umsatz 	. 
Umsatz_s39418_f1	Das System , das nicht den Gewinn , sondern den 	Umsatz 	zur Steuergrundlage macht , trägt mit dazu bei , daß ein hoher Prozentsatz der Firmen in der Illegalität arbeitet . 
Umsatz_s39419_f1	Dazu kommen gute Gründe für die Inhaber , dem Finanzamt den wahren 	Umsatz 	zu verschweigen - denn es ist an der Tagesordnung , daß derlei Informationen aus den Behörden gegen entsprechendes Entgelt an die Mafia gelangen . 
Umsatz_s39472_f1	In Europa halte es sowohl in der bemannten Weltraumforschung als auch bei den Wissenschaftssatelliten , mit denen ein 	Umsatz 	von immerhin rund 700 Millionen Mark herausspringt , die Spitzenposition . 
Umsatz_s39532_f1	Für den 	Umsatz 	von umgerechnet 220 Millionen Mark sorgen 880 Beschäftigte . 
Umsatz_s39677_f1	Entscheidend ist , daß die Fusion in mindestens drei EU-Staaten nach nationalem Recht kontrollpflichtig ist und bestimmte 	Umsätze 	überschritten werden : zusammen weltweit 2,5 Milliarden Ecu ( 4,9 Milliarden Mark ) . 
Umsatz_s39699_f1	Ihrkeywordtag 	Umsatz 	ging im vergangenen Jahr um drei Prozent auf 110 Milliarden Mark zurück , berichtet der Präsident des Deutschen Hotel- und Gaststättenverbandes ( Dehoga ) , Erich Kaub . 
Umsatz_s39704_f1	`` 	Umsätze 	, diekeywordtag wirkeywordtag heutekeywordtag nicht machenkeywordtag , sind - im Gegensatz zu anderen Branchen - nicht nachholbar . '' 
Umsatz_s39758_f1	Der 	Umsatz 	stieg um 100 Millionen auf 1,5 Milliarden . 
Umsatz_s39967_f1	Denn als der Bundesrechnungshof die Planungen der Magnet-Lobby kritisierte und erhebliche Mehrkosten voraussagte , als nüchterne Berechnungen weniger Fahrgäste und damit niedrigeren 	Umsatz 	verhießen , zuckte die Industrie zurück . 
Umsatz_s40011_f1	Binnen fünf bis acht Jahren will der Familienbetrieb den Auslandsanteil am 	Umsatz 	von 15 auf 50 Prozent steigern . 
Umsatz_s40019_f1	Der 	Umsatz 	sank von 497 auf 456 Millionen . 
Umsatz_s40137_f1	So gaben die Kurse in der Schweiz , Kanada , Frankreich und Italien etwas nach - meist jedoch bei sehr niedrigen 	Umsätzen 	. 
Umsatz_s40165_f1	Hierdurch entsteht derkeywordtag zweitgrößtekeywordtag Telephonkonzernkeywordtag der USA hinter AT & T mitkeywordtag 27 Milliarden Dollarkeywordtag 	Umsatz 	. 
Umsatz_s40329_f1	Der 	Umsatz 	stieg um sechs Prozent auf 1,9 Milliarden und legte im ersten Halbjahr noch etwas schneller zu . 
Umsatz_s40377_f3	Alskeywordtag 	Umsatz 	- im vergangenen Jahr 70 Millionen Mark - schwebtkeywordtag ihm schon um die Jahrhundertwende eine Milliarde vorkeywordtag . 
Umsatz_s40394_f1	Branchenexperten erwarten , daß der 	Umsatz 	im Geschäftsjahr zum 30. September um fast ein Viertel auf 8,5 Milliarden Dollar sinken wird . 
Umsatz_s40445_f1	Mitkeywordtag zwölf Prozent Marktanteil durch das ISDN-System Hicom und einem 	Umsatz 	von 8,6 Milliarden Mark stehen die Süddeutschen derzeit auf diesem Feld an der Spitze . 
Umsatz_s40736_f1	`` Das wirtschaftliche Risiko im Verhältnis zum 	Umsatz 	war trotz der künftigen Rekordinvestitionen in früheren Jahren größer '' , sagt Programm-Geschäftsführer Jan Mojto . 
Umsatz_s40769_f1	Der 	Umsatz 	sei im Juni gegenüber dem Vorjahr sprunghaft um 23 Prozent auf 2,5 Milliarden Mark zu Herstellerpreisen gestiegen . 
Umsatz_s40793_f1	Der aus der Fusion von Ciba-Geigy und Sandoz entstandene Schweizer Pharmakonzern Novartis hat den 	Umsatz 	im ersten Halbjahr um 19 Prozent auf 16,6 Milliarden Franken erhöht . 
Umsatz_s40795_f1	Durch kräftiges Wachstum im Ausland steigerte der Stift- und Zeichengerätehersteller Faber Castell den 	Umsatz 	1996 um acht Prozent auf 446 Millionen . 
Umsatz_s40862_f1	Von Januar bis Juni kletterten der 	Umsatz 	um 51 Prozent auf 2,4 Milliarden und der Vorsteuergewinn um 56 Prozent auf 582 Millionen Mark . 
Umsatz_s40866_f1	Der 	Umsatz 	in Amerika sprang um 85 Prozent auf umgerechnet 995 Millionen Mark . 
Umsatz_s40894_f1	Im seit April laufenden Geschäftsjahr möchte der Konzern mit seinen 1550 Beschäftigten ( davon 902 hierzulande ) den 	Umsatz 	um mindestens ein Zehntel steigern . 
Umsatz_s41002_f1	Der 	Umsatz 	kletterte um 18 Prozent auf rund fünf Milliarden Mark . 
Umsatz_s41053_f1	Den 	Umsatz 	weiteten die Holländer trotz eines beschleunigten Preisverfalls um fünf Prozent auf 33,4 Milliarden Gulden aus . 
Umsatz_s41162_f1	Bei Golden Team Sport rollt mehr 	Umsatz 	/ 
Umsatz_s41169_f1	1996 habe die HTM-Gruppe beikeywordtag 351 Millionen Dollar 	Umsatz 	wieder einen operativen Gewinn von 1,6 Millionen Dollar erwirtschaftet , nachdem in der Vorperiode 120 Millionen Dollar in roten Zahlen geschrieben wurden . 
Umsatz_s41173_f1	Zum 	Umsatz 	steuern Tennisschläger ein Fünftel bei , noch etwas mehr entfällt auf Mares Tauchsport , nach Firmenangaben weltweiter Marktführer . 
Umsatz_s41201_f1	Bei einem um ein Fünftel höheren 	Umsatz 	der Herbergen von 126 Millionen weisen sie einen Überschuß von 123 000 Mark aus . 
Umsatz_s41215_f1	Angesichts eines 	Umsatzes 	von 1,5 Milliarden Mark im ersten Halbjahr und eines Gewinns , der sich mehr als verdoppelt habe , rechne er bis Dezember mit einem Ergebnis `` in der Nähe des Rekordjahres 1995 '' . 
Umsatz_s41228_f1	Der 	Umsatz 	blieb mit 32,4 Millionen um 19 Millionen hinter dem Vorjahreswert zurück . 
Umsatz_s41346_f1	Und die Höhe der Verluste sei von durchschnittlich 3,6 auf 2,5 Prozent des 	Umsatzes 	gesunken . 
Umsatz_s41389_f1	Der sächsische Familienbetrieb legte im ersten Halbjahr bei 	Umsatz 	und Absatz je 14 Prozent zu , obwohl die Branche über Einbußen klagt und in Deutschland 1,6 Prozent weniger Gerstensaft aus den Zapfhähnen floß . 
Umsatz_s41396_f1	Auch im ersten Halbjahr erzieltekeywordtag Wernesgrüner , in Ostdeutschland drittstärkste Marke , nur einen Bruchteil des 	Umsatzes 	von 58 Millionen Mark diesseits der Elbe . 
Umsatz_s41523_f1	Der 	Umsatz 	fiel zuletzt um fünf Prozent auf knapp 1,3 Milliarden Mark . 
Umsatz_s41559_f1	Den um drei Prozent auf 561 Millionen gestiegenen 	Umsatz 	führt die Krupp-Tochter auf eine höhere Nachfrage nach Bergbaugeräten zurück . 
Umsatz_s41654_f1	Mitkeywordtag einer Jahresproduktion von 15 Millionen Tonnen Rohstahl , einem 	Umsatz 	von elf Milliarden Mark und 24 000 Beschäftigten ist TKSkeywordtag in Europa Branchenprimus . 
Umsatz_s41696_f1	Der amerikanische Branchen-Gigant Sitel ( weltweitkeywordtag einekeywordtag halbe Milliarde Markkeywordtag 	Umsatz 	) wählt einen anderen Weg . 
Umsatz_s41775_f1	Die durch den Verkauf der Schließsysteme an die französische Valeo um rund 1500 auf noch 3385 Köpfe reduzierte Belegschaft sorgte in den ersten sechs Monaten für einen 	Umsatz 	von 344 Millionen Mark . 
Umsatz_s41841_f1	Der deutsche Ableger des amerikanischen Woolworth-Konzerns hat in den ersten sechs Monaten 1997 etwa vier Prozentkeywordtag an 	Umsatz 	eingebüßtkeywordtag . 
Umsatz_s41860_f1	Der 	Umsatz 	kletterte bei einer um 50 auf 12 544 Leute verringerten Beschäftigtenzahl um fünf Prozent auf 4,8 Milliarden Mark . 
Umsatz_s41976_f1	Dadurch entsteht eine Gruppe mitkeywordtag einem 	Umsatz 	von umgerechnet 340 Millionen Mark . 
Umsatz_s42058_f1	Die Amerikaner wollen ihren 	Umsatz 	auf dem alten Kontinent mit Hilfe der neuen Tochter verdoppeln . 
Umsatz_s42096_f1	Zuletzt hatten die Erlöse aus dem Verkauf von Textilien die 	Umsätze 	aus dem Schuhgeschäft überholt . 
Umsatz_s42102_f1	In den ersten sechs Monaten des laufenden Jahres kletterte der 	Umsatz 	um zwei Fünftel auf 3,1 Milliarden , der Vorsteuergewinn legte noch ein wenig stärker auf 352 Millionen zu . 
Umsatz_s42411_f1	Der 	Umsatz 	kletterte um fast zwei Drittel auf umgerechnet rund 251 Millionen Mark . 
Umsatz_s42711_f1	Am Ende einer Reihe von Erfindungen steht der Siemens-Konzern mitkeywordtag mehr als 95 Milliarden Markkeywordtag 	Umsatz 	und nun 386 000 Beschäftigten - ein Erfolg , den der Vorstand mit Hunderten Gästen am 12. Oktober im Berliner ICC feiern will . 
Umsatz_s42900_f1	Der 	Umsatz 	der Gruppe stieg während der Amtszeit des bisherigen Vorstandsvorsitzenden um fast 400 Prozent auf 18,5 Milliarden Dollar . 
Umsatz_s42920_f1	Zusätzliche Einkaufsmöglichkeiten am Sonntag führten nicht zu mehr 	Umsatz 	, sondern schürten den erbitterten Verdrängungswettbewerb im Handel . 
Umsatz_s42942_f1	Die Beträge lägen aber weit unter einem Prozent des 	Umsatzes 	im Geschäft mit Großkunden . 
Umsatz_s43005_f1	Der führende Chiphersteller erklärte , daß der 	Umsatz 	im vierten Quartal nur knapp über dem des dritten liegenkeywordtag werde . 
Umsatz_s43110_f1	Geringere Kosten , ein um sieben Prozent höherer 	Umsatz 	von gut acht Milliarden Mark und ein verändertes Sortiment ließen den Vorsteuergewinn in den ersten drei Quartalen des Jahres um fast die Hälfte auf 304 Millionen Mark klettern , wie der Konzern mitteilt . 
Umsatz_s43275_f1	Auf vergleichbarer Fläche fiel der 	Umsatz 	um drei Prozent . 
Umsatz_s43323_f1	Das Unternehmen agiere mit vier Fünftel des 	Umsatzes 	und Auftrageingangs noch `` stark europalastig '' , sagt Vorstandschef Gerhard Full . 
Umsatz_s43337_f1	Dies liegt auch daran , daß Asien derzeit erst knapp neun Prozent zum 	Umsatz 	besteuert . 
Umsatz_s43348_f1	Bislang steuert Wasserstoff erst sechs Prozent zum 	Umsatz 	mit Technischen Gasen von 2,5 Milliarden im vergangenen Jahr bei . 
Umsatz_s43350_f1	Das Ziel , den 	Umsatz 	1997 um etwa sieben Prozent auf 9,4 Milliarden Mark zu steigern , wird der Konzern aus Sicht des Vorstands locker erreichen . 
Umsatz_s43409_f1	Mit ihrer Hilfe hievte der Elektronik-Riese den 	Umsatz 	zum ersten Mal über 100 Milliarden Mark . 
Umsatz_s43430_f1	Der 	Umsatz 	stagnierte auf ähnlichem Niveau . 
Umsatz_s43543_f1	Im vergangenen Jahr hatte das Unternehmen mit schnurlosen `` Homehandys '' , Mobilfunktelefonen und ISDN-Anlagen noch einen 	Umsatz 	von 400 Millionen Mark erwirtschaftet . 
Umsatz_s43668_f1	Zum Erlös der DFO steuert der Verkauf an Bord 100 Millionen Mark bei , der branchenübliche Anteil von einem Drittel des 	Umsatzes 	. 
Umsatz_s43759_f1	Die Erwerbung bringt einen 	Umsatz 	von rund 700 Millionen Mark und 600 Beschäftigte mit . 
