Angst_s71_f1		Angst 	beherrschte die Szene . 
Angst_s9801_f1	Das `` Geschäft mit der 	Angst 	'' betreibe Effeff nicht , sagt Merkel . 
Angst_s10281_f1	Die Zahl der Menschen , diekeywordtag sich auskeywordtag 	Angst 	vor einer Abschiebung nicht mehr bei den Behörden meldeten und erst gar keinen Asylantrag stellten , ist nach Angaben kirchlicher Beratungsstellen und diakonischer Einrichtungen `` drastisch '' gestiegen . 
Angst_s10767_f1	Bei der Entscheidung habe die 	Angst 	Alma Powells vor Attentaten eine Hauptrolle gespielt . 
Angst_s10778_f1	Irankeywordtag habekeywordtag offensichtlich 	Angst 	, daß die Familie des Schahs oder Gläubiger das Bild beschlagnahmen lassen könnten , teilte die Stadt Düsseldorf mit . 
Angst_s12449_f1	Sie nach der schon vor Maastricht wenig bewährten Methode mit Schweigen zu beruhigen , ist mindestens so gefährlich fürs deutsche Europagefühl , wie die kursierenden diffusen 	Ängste 	nach Manier der SPD-Spitzenmänner mit ungeschickten oder gezielten Warnungen zu steigern . 
Angst_s12542_f2	`` Die Juden habenkeywordtag Angst , wenn ein Araber näher als 400 Meter an sie herankommt '' , beschreibt ein Landeskenner die durch die 	Angst 	vor Terroranschlägen geprägte Stimmung . 
Angst_s12575_f1	Der im Nahost-Geschäft be- und geschlagene Ex-Strabag-Chef Peter Jungen versteht die 	Ängste 	seiner Kollegen : 
Angst_s12610_f1		Angst 	essen Seele auf : 
Angst_s12663_f1	Der Wechsel zwischen beruhigenden und drohenden Reden hat - dies das zweite taktische Ziel - zu großer Verunsicherung und 	Ängsten 	unter den Serben geführt . 
Angst_s12669_f1	Viele ihrer Landsleute in Ostslawonien sehen , was ihnen bevorstehen kann , und bereiten sich voller 	Angst 	auf die Flucht vor . 
Angst_s13030_f1	In der Union geht die 	Angst 	vor den Einzelhändlern um 
Angst_s14080_f1	`` Drohende Gefahr - 	Angst 	- Katastrophe '' sind die Untertitel von Arnold Schönbergs Begleitmusik zu einer Lichtspielszene . 
Angst_s14822_f1	Mit einem Trostpflaster von 50 000 Kronen , umgerechnet rund 13 000 Mark , entschädigt die dänische Regierung nun 1650 Arbeiter für ein Leben in 	Angst 	. 
Angst_s14842_f1	Die 	Angst 	vor Strahlungsschäden sei eine psychische Belastung gewesen . 
Angst_s15450_f1	Derkeywordtag sitzt im Weißen Haus und braucht nun keine 	Angst 	mehr zu haben . 
Angst_s16026_f1	Denn wie die Europäer eine Übertragung des Rinderwahnsinns auf Menschen fürchten , so habenkeywordtag die Australier 	Angst 	vor einer PMV-Seuche . 
Angst_s16251_f1	Albert sagte , sie hätten die Tat `` aus 	Angst 	und Verzweiflung '' begangen . 
Angst_s20658_f1	Ein Besucher des Scene-Cafés `` Disi Sara '' nahe dem Teheraner Hauptbahnhof sagt , auch hier , zwischen altpersischen Bildern , Wasserpfeifen und traurig klingender islamischer Musik gehe 	Angst 	um . 
Angst_s20764_f1	Der SPD-Bauexperte Achim Großmann wertete den Waigel-Vorstoß als `` überstürzten Versuch , den gesamten Bestand des Bundes zu verscherbeln , um Haushaltslöcher zu stopfen '' , womit er `` den Mietern angesichts fehlender Wohnungen und weiter steigender Mieten 	Angst 	und Schrecken '' einjagenkeywordtag müsse . 
Angst_s21026_f1	Nach Ansicht der Berliner Kulturverwaltung betreibt Finanzsenator Elmar Pieroth ( CDU ) mit seinen jüngsten Ankündigungen , im Kulturbereich weitere 100 Millionen Mark zu sparen , `` Harakiri aus 	Angst 	vor dem drohenden Tod '' . 
Angst_s21105_f1	, Kann 	Angst 	des Gegners manchmal riechen ' 
Angst_s21123_f1	Aber manchmal könne sie die 	Angst 	des Gegners auch riechen , sagt sie . 
Angst_s21520_f1	Die Bischöfe müßten wieder an die Seite des Volkes treten und ihrekeywordtag 	Angst 	vor Rom ablegen . 
Angst_s22135_f1	Hein gibt darin ein schonungsloses Bild ihrerkeywordtag eigenen 	Ängste 	und Sehnsüchte als alternde Frau und ihrer Affäre mit einem jüngeren schwarzen Mann auf Jamaica . 
Angst_s22577_f1	Auch einem Mann , der aus seiner Wohnung geworfen wurde , habe er Rechtsbeistand angeboten : `` Aber erkeywordtag hattekeywordtag 	Angst 	. 
Angst_s23506_f1	Laut Gerstner muß der Anwender dann keine 	Angst 	mehr habenkeywordtag , daß sein System nach neun Monaten schon wieder veraltet ist . 
Angst_s23681_f1	`` Vor allem die Einkäufer von Supermarktketten habenkeywordtag 	Angst 	, auf der Ware sitzenzubleiben '' , heißt es bei der Zollabteilung des renommierten Exporteurs `` Grand Chais de France '' im Elsaß . 
Angst_s24516_f1	Und nun die 	Angst 	vor der eigenen Courage ? 
Angst_s25075_f1	Weit hergeholt mag einem bei diesem Kasernenrundgang auch die 	Angst 	der asiatischen Nachbarstaaten vor der schnell aufrüstenden VBA erscheinen , die ein paar Kilometer vor Taiwan Raketen ins Wasser plumpsen läßt und vor den Spratly-Inseln laut mit den Säbeln rasselt . 
Angst_s25922_f1	Der Präsident des Europa-Parlaments , Klaus Hänsch ( SPD ) , rief die EU-Staaten auf , 	Ängste 	der Bürger vor dem geplanten Eurogeld `` nicht zu verstärken , sondern zu zerstreuen '' . 
Angst_s26082_f1	Durch Wut und Empörung , aus ethischen Normen oder auskeywordtag 	Angst 	um die eigene und die Zukunft der Kinder , durch intellektuell gewonnene Einsichten oder von persönlichen Interessen motiviert , beginnen dann Menschenkeywordtag jenseits der traditionellen politischen Strukturen , sich eigene Kompetenz anzueignen und die monopolistische Definitionsmacht von einigen wenigen `` Spezialisten '' in ganz konkreten Punkten aufzubrechen , in Fragen der Atomenergie , der Stationierung neuer Waffensysteme , der Gentechnologie , der Atommüll-Lagerung , der Müllverbrennung etc . 
Angst_s27065_f1	Von der 	Angst 	habenkeywordtag die Menschen genug 
Angst_s27094_f1	Oder aus 	Angst 	vor späteren GIA-Repressalien zu Hause bleiben ? 
Angst_s27112_f1	Doch als er fragt : `` Wollt ihr , daß die 	Angst 	ausgerottet wird '' , kommt das `` Ja '' aus 1500 Kehlen so heftig wie ein Knall . 
Angst_s27125_f1		Angst 	? 
Angst_s27498_f1	Rekord ist das , die höchste Ziffer , in die sich 	Angst 	und Schrecken seit der Gründung des Flüchtlingshilfswerks der Vereinten Nationen im Jahre 1951 pressen ließen . 
Angst_s29268_f1	Es ist ein Augenblick der Wertverluste , der tiefen Zweifel , der Sinnkrise , außerdem eine Periode wirtschaftlicher Instabilität und der 	Angst 	davorkeywordtag . 
Angst_s29520_f1	Löhlekeywordtag treibtkeywordtag großekeywordtag 	Angst 	umkeywordtag , wenn er daran denkt , daß etwa die `` ökologischen Mähmaschinen '' , die Hinterwälder Rinder mit dem braunweiß gescheckten Fell , genauso vom Aussterben bedroht sind wie die Landwirte : 
Angst_s29855_f2	In der Öffentlichkeit würden `` irrationale Ängste '' geäußert , und die `` Meinungsmache '' einiger Medien schüre die 	Angst 	vor dem Untergang der Mark . 
Angst_s32862_f1	Er zeigte , daß Brustkrebspatientinnen deutlich länger und besser leben , wenn sie sich in einer Gruppe oder der Familie gut aufgehoben fühlen , wenn Isolation aufgebrochen , eine Atmosphäre für offene Gespräche und die Möglichkeit gegeben ist , 	Ängste 	zu äußern . 
Angst_s34879_f1	Auch ihrekeywordtag 	Angst 	damalskeywordtag vor der Konfrontation mit dem Schicksal ihrer Familie ist ihr noch heute gegenwärtig . 
Angst_s35057_f1	Zweifel , 	Ängste 	, Unsicherheiten zogen sich im Grunde durch alle Gewerkschaftstage wie ein roter Faden , wobei die Töne in Gewerkschaften wie der IG Chemie , die dem Credo der Sozialpartnerschaft anhängt , oder der IG Bergbau nur sehr verhalten durchklangen . 
Angst_s35186_f1	Viele Flüchtlinge , die selbst im Süden aus 	Angst 	vor den Tigern ihren Namen nicht nennen wollen , sind nach wie vor für den unabhängigen Tamilenstaat Eelam , wenn auch ohne Prabhakaran und seine faschistische Führungsspitze . 
Angst_s36044_f1	Binnen weniger Tage indes bestimmte `` das Interview '' die Schlagzeilen der britischen Presse , rührte es royalistischekeywordtag 	Ängste 	und republikanische Hoffnungen auf und führte es zu hörbarem Zähneknirschen im Buckingham-Palast und im Rundfunkrat der BBC , dessen bei Hofe wohlgelittener Vorsitzender Sir Marmaduke Hussey von dem `` Panorama '' - Coup schmählich überrascht wurde . 
Angst_s37142_f1	Bundesliga zwischen Träumen und 	Ängsten 	/ 
Angst_s37170_f1	Vor allem das Geld lockt die Bayern , diekeywordtag 	Angst 	davor habenkeywordtag , in der künftigen Euro-League ohne moderne Unternehmensverfassung vom nationalen Krösus zur internationalen Kirchenmaus zu mutieren . 
Angst_s38207_f1	Statt Aufbruchstimmung sei 	Angst 	die einzige Motivationsquelle . 
Angst_s39423_f1		Angst 	vor neuer Zersplitterung geht um / 
Angst_s39560_f1	Während die Fleischbranche unter der 	Angst 	des Verbrauchers vor dem Rinderwahnsinn BSE leidet , legen Putenspezialitäten zu . 
Angst_s39946_f1	`` Flughöhe Null '' machtkeywordtag der Industrie 	Angst 	
Angst_s42496_f1	Um sie herum habe sich `` eine Mauer des Schweigens '' und der 	Angst 	aufgebaut . 
Angst_s45215_f1	Vor allem in vielen Nahoststaaten gibtkeywordtag es aus der Ära des Osmanischen Reiches tiefsitzendekeywordtag 	Ängste 	: 
Angst_s45263_f1	Mitentscheidend für die FifF-Gründung waren angesichts der Nachrüstungsdebatte die 	Ängste 	vieler Computerexperten vor einem `` Krieg aus Versehen '' . 
Angst_s45518_f1	Die Kälte ist das eine , die 	Angst 	vor Tauwetter und Eisregen das andere . 
Angst_s45867_f1	Die 	Angst 	des Geldes vor der Währungsunion 
Angst_s46077_f1	Das Spiel zeigt vier- bis achtjährigen Kindern , daß sie nicht allein sind mit ihrenkeywordtag 	Ängsten 	. 
Angst_s46254_f1	Von der konstruktiven Stapelung bis zur explosiven Zerstückelung der Formen , vom Gewimmel der Menge bis zum entindividualisierten Einzelnen in Tiergestalt , der die Maschine bedient , wurden hier Schrecken und 	Ängste 	, aber auch noch manche Hoffnung des Industriezeitalters zu Visionen verdichtet . 
Angst_s46413_f1	Rosalie Mukakamali jedenfalls hatkeywordtag 	Angst 	. 
Angst_s46519_f1	In Burma kommt auf 20 Einwohner ein Spitzel , jederkeywordtag hatkeywordtag 	Angst 	vor dem anderen und vermeidet es , mit Fremden in Diskussionen verwickelt zu werden '' , sagt ein Mitglied der Oppositionspartei National League for Democracy ( NLD ) , das anonym bleiben möchte . 
Angst_s46533_f1	Mehr als 10 000 Straßenkinder leben nach Angaben von Oppositionspolitikern in Rangun - inkeywordtag der ständigen 	Angst 	, von der Polizei verhaftet und geschlagen zu werden . 
Angst_s47699_f1	Und jeden sechsten überfälltkeywordtag beim Trip über die Wolken intensivekeywordtag 	Angst 	, die sich bis zur Panik steigern kann . 
Angst_s47703_f1	Fallbeispiele aus Flugangstseminaren , zu denen die Autorin ausdrücklich rät , machen deutlich , daß oft Streß , berufliche bzw. private Probleme oder schlicht die Unkenntnis technischer Abläufe Auslöser für die 	Angst- 	und Panikattacken beim Fliegen sind . 
Angst_s47857_f1	`` Kleinbürgerliche 	Ängste 	gibtkeywordtag es auch in der höheren politischen Klasse '' , erläutert er . 
Angst_s48399_f1	Und egal wie die Motive auch sein mögen , ob sie aus 	Angst 	, Religion oder Weltanschauung gespeist werden , eines ist klar : Mißachtet der Mensch das Tier , schadet er sich auf lange Sicht auch selbst . 
