Entscheidung_f2	Die Entscheidung über einen militärischen Einsatz welcher Art auch immer muß demokratisch so organisiert sein daß am Ende eine breitgetragene Verantwortung steht die die jeweilige 	Entscheidungkeywordtag 	nach innen wie außen überzeugend und nachvollziehbar macht 
Entscheidung_f1	`` Erforderlich sind präzisere Konzepte bessere Mechanismen zur Umsetzung von Hilfe flexible Institutionen sowie leistungsfähigere Verfahren für 	Entscheidungkeywordtag 	und Koordination auf nationaler und internationaler Ebene '' heißt es in einer Analyse zum Münchener Wirtschaftsgipfel in dem das Institut eine `` wichtige Durchgangsstation '' im Prozeß der Konzipierung und Realisierung westlicher Hilfe sieht 
Entscheidung_f1	Rifkind machte Rühe gegenüber deutlich daß London die prinzipielle 	Entscheidungkeywordtag 	der Deutschen aus militärischen ebenso wie aus finanziellen und industriellen Gründen für verfehlt hält 
Entscheidung_f1	Die 	Entscheidungkeywordtag 	der Regierung die Herausforderung der `` Routiers '' wie die Fernfahrer in Frankreich heißen mit einem Kraftakt zu beenden war zumkeywordtag Schlußkeywordtag eineskeywordtag langenkeywordtag Wochenendeskeywordtag gefallenkeywordtag in dessen Verlauf das Land immer mehr in Agonie zu verfallen schien 
Entscheidung_f1	So war denn wohl am Sonntag abend im Hôtel Matignon die 	Entscheidungkeywordtag 	gefallenkeywordtag die die einen wie Innenminister Paul Quilès schon von Anfang an befürwortet andere aber wie etwa Marc Blondel von der Gewerkschaft FO als `` größten Fehler überhaupt '' verworfen hatten die gewaltsame Räumung von Barrikaden 
Entscheidung_f1	Dabei könne selbstverständlich auch festgelegt werden daß vor einer 	Entscheidungkeywordtag 	über einen Kampfeinsatz das Parlament angemessen zu beteiligen sei 
Entscheidung_f1		Entscheidungkeywordtag 	über 30-Stunden-Woche aufgeschoben 
Entscheidung_f1	Die polnischen Wähler haben die 	Entscheidungkeywordtag 	über den neuen Staatspräsidenten auf eine Stichwahl zwischen Amtsinhaber Lech Walesa und seinem exkommunistischen Herausforderer Aleksander Kwasniewski zugespitzt 
Entscheidung_f1	Die katholische Kirche hatte am Wahltag mit deutlichen Stellungnahmen gegen Kwasniewski in die 	Entscheidungkeywordtag 	eingegriffen 
Entscheidung_f1	Er rechne mit einer 	Entscheidungkeywordtag 	bis Ende der Woche 
Entscheidung_f1	Gegen diese 	Entscheidungkeywordtag 	hatte die Partei Einspruch eingelegt 
Entscheidung_f1	Die Wahlkommission kündigte an sie werde der 	Entscheidungkeywordtag 	des Gerichtes entsprechen 
Entscheidung_f1	Diese 	Entscheidungkeywordtag 	hat sich bewährt auf diese Weise wurde der Korpsgeist weitestgehend ausgeschaltet 
Entscheidung_f1	Der ursprüngliche Termin 24. Oktober warkeywordtag wegen der Sonnenfinsternis verschoben worden im abergläubischen Burma eine plausible 	Entscheidungkeywordtag 	die aber auch der Ratlosigkeit über die Zukunft Burmas entspricht 
Entscheidung_f1	Erstmals kündigte das Gericht den Termin an dem die 	Entscheidungkeywordtag 	bekanntgegeben wird öffentlich an 
Entscheidung_f1	Die 	Entscheidungkeywordtag 	löste eine Sondersitzung des Bundestages und eine öffentliche Kontroverse aus in deren Verlauf die drei Verfassungsrichter teilweise persönlich angegriffen wurden 
Entscheidung_f1	Da noch vier weitere Fälle zurkeywordtag 	Entscheidungkeywordtag 	anstandenkeywordtag hielt es der Berichterstatter Verfassungsrichter Dieter Grimm für angezeigt die Verfassungsbeschwerden vom gesamten Ersten Senat entscheiden zu lassen 
Entscheidung_f1	In den zur 	Entscheidungkeywordtag 	anstehendenkeywordtag Fällenkeywordtag geht es um folgenden Sachverhalt 
Entscheidung_f1	Die 	Entscheidungkeywordtag 	über den richtigen Kommentar können Siekeywordtag höchstwahrscheinlich kurz nach 20 Uhr treffenkeywordtag sobald die Agenturen die ersten Hochrechnungen übermitteln 
Entscheidung_f1	Mit ihrerkeywordtag 	Entscheidungkeywordtag 	gegen die 30-Stunden-Woche haben die Delegierten des Gewerkschaftstages der IG Metall Augenmaß bewiesen 
Entscheidung_f1	Mit ihrerkeywordtag 	Entscheidungkeywordtag 	haben sie den grundsätzlichen Erfolg von Arbeitszeitverkürzung nicht geschmälert 
Entscheidung_f1	Zu klaren 	Entscheidungenkeywordtag 	gehört dann auch gegen orthodoxe Extremisten vorzugehen auch wenn sie Juden sind 
Entscheidung_f1	Die Bundesrichter bestätigten mit ihrem Grundsatzurteil jedoch die Ablehnung eines früheren DDR-Richters der gegen die 	Entscheidungkeywordtag 	des Richterwahlausschusses von Chemnitz geklagt hatte 
Entscheidung_f1	Der Anwalt des Klägers hatte in der mündlichen Verhandlung dagegen gefordert die 	Entscheidungenkeywordtag 	der Ausschüsse gerichtlich voll nachzuprüfen 
Entscheidung_f1	Im Hintergrund der jüngstenkeywordtag 	Entscheidungkeywordtag 	stehen offenbar die Gehaltsforderungen von Mortier die in Teilen der Öffentlichkeit auf heftige Kritik gestoßen waren 
Entscheidung_f1	Die 	Entscheidungkeywordtag 	über den künftigen Präsidenten Polens wird voraussichtlich erst am 19. November in einer Stichwahl fallenkeywordtag da offenbar keiner der beiden Favoriten beim ersten Wahlgang die notwendige Mehrheit von mehr als 50 Prozent der Stimmen erreicht hat 
Entscheidung_f1	Die neun von der 	Entscheidungkeywordtag 	betroffenen Präparate sind Femovan Lovelle Marvelon Minulet Biviol Oviol Cyclosa Cetenyl und Dimirel 
Entscheidung_f1	Die Bonner Koalitionsparteien CDU CSU und FDP stehenkeywordtag nach Angaben von Bundeswirtschaftsminister Günter Rexrodt FDP dicht vorkeywordtag einer 	Entscheidungkeywordtag 	über die geplante Änderung des Ladenschlußgesetzes 
Entscheidung_f1	Kohl verlautete aus der Pelzbranche habe Verständnis für die Sorgen der Betroffenen geäußert und gesagt mankeywordtag könne `` als Stadtmensch nicht einfach 	Entscheidungenkeywordtag 	treffenkeywordtag die anderen die in und von der Natur leben Schaden bringen würden '' 
Entscheidung_f1	Jede 	Entscheidungkeywordtag 	wird Risiken bergen 
Entscheidung_f1	Bereits bei der 	Entscheidungkeywordtag 	für ein gemeinsames Bundesland Berlin-Brandenburg wurde erkennbar daß sich der Kern der CDU mit den neuen Realitäten nicht abfinden wird 
Entscheidung_f1	17. das gewählte Abgeordnetenhaus kann in der gegenwärtigen Situation sehr viel stärker als bisher zur Stätte ernsthafter Diskussion und wirklicher 	Entscheidungkeywordtag 	werden 
Entscheidung_f1	Es ist ein Gebot der parlamentarischen Demokratie die 	Entscheidungkeywordtag 	der Wähler anzuerkennen und in die Opposition zu gehen 
Entscheidung_f1	Daß die Chinesen die zeitliche Abfolge der zwei Besuche als bewußtekeywordtag 	Entscheidungkeywordtag 	Bonnskeywordtag wahrnehmen gibt man selbst auf deutscher Seite zu 
Entscheidung_f1	Beide Seiten haben sich dazu verstanden die 	Entscheidungkeywordtag 	bis zum Anfang des nächsten Jahres aufzuschiebenkeywordtag 
Entscheidung_f1	Da jedoch keiner der Bewerber im ersten Wahlgang die absolute Mehrheit erreichte wird die endgültige 	Entscheidungkeywordtag 	zwischen den beiden Bestplazierten in einer Stichwahl in zwei Wochen fallenkeywordtag 
Entscheidung_f1	Die erste Runde bei den polnischen Präsidentschaftswahlen am Sonntag hat keine 	Entscheidungkeywordtag 	gebracht 
Entscheidung_f1		Entscheidungkeywordtag 	zu Pille überrascht Gynäkologen 
Entscheidung_f1	Mit der 	Entscheidungkeywordtag 	habe man mögliche Gesundheitsrisiken ausschalten wollen 
Entscheidung_f1	`` Völlig unverständlich '' nannte Professor Ludwig-Wilhelm Braendle vom Universitätskrankenhaus Eppendorf in Hamburg die 	Entscheidungkeywordtag 	der Behörde 
Entscheidung_f1	Das Pharmaunternehmen Schering will gegen die 	Entscheidungkeywordtag 	Widerspruch einlegen 
Entscheidung_f1	Das Unternehmen Organon sieht eine `` gute Chance '' daß die Berlinerkeywordtag 	Entscheidungkeywordtag 	noch modifiziert werden könnte 
Entscheidung_f1	Der SPD-Gesundheitspolitiker Horst Schmidbauer kritisierte in Bonn die 	Entscheidungkeywordtag 	der Behörde 
Entscheidung_f1	Die Grünen nannten die 	Entscheidungkeywordtag 	des Bundesinstituts `` lau '' 
Entscheidung_f1	Im konkreten Fall darf der Kurde allerdings trotz der 	Entscheidungkeywordtag 	der Bundesrichter nicht in die Türkei abgeschoben werden weil ihm dort nach den Feststellungen der Vorinstanz politische Verfolgung droht 
Entscheidung_f1	Der 9. Senat des Bundesverwaltungsgerichts äußerte sich in seinerkeywordtag 	Entscheidungkeywordtag 	nicht zur Verfassungsgemäßheit der Drittstaatenregelung 
Entscheidung_f1	Diese 	Entscheidungkeywordtag 	gab Präsident Guntis Ulmanis am Dienstag vor dem neu zusammengetretenen Parlament Saeima bekannt 
Entscheidung_f1	Er wisse nichts von einer 	Entscheidungkeywordtag 	Washingtonskeywordtag Informationen zurückzuhalten 
Entscheidung_f1	Dieskeywordtag müsse aber eine gemeinsamekeywordtag 	Entscheidungkeywordtag 	seinkeywordtag 
Entscheidung_f1	Eine 	Entscheidungkeywordtag 	könne noch nicht getroffenkeywordtag werden solange die Zeit dafür noch nicht reif sei 
Entscheidung_f1	Mit der 	Entscheidungkeywordtag 	bekräftigte das BVG seine umstrittene Rechtsprechung vom vergangenen Jahr 
Entscheidung_f1	Man müsse die 	Entscheidungkeywordtag 	über weitere Subventionen sorgfältig prüfen 
Entscheidung_f1	Die 	Entscheidungkeywordtag 	wurde am letzten Ende des Parteitages getroffenkeywordtag zwischen Tür und Angel 
Entscheidung_f1	In einem Fall ergingkeywordtag die 	Entscheidungkeywordtag 	einstimmigkeywordtag ansonsten mit fünf zu drei Richterstimmen 
Entscheidung_f1	Der Senat verlangt in seinerkeywordtag 	Entscheidungkeywordtag 	von den Strafgerichten eine Abwägung zwischen dem Recht auf freie Meinungsäußerung und dem Schutz vor Ehrverletzungen 
Entscheidung_f1	Über diese 	Entscheidungkeywordtag 	war spekuliert worden seit der Geschäftsführer von Gesamtmetall Dieter Kirchner Ende September angekündigt hatte er werde nach 27jähriger Amtszeit vorzeitig ausscheiden 
Entscheidung_f1	Hört man Verteidigungsminister Volker Rühe oder den Sprecher der Liberalen dann gibt es schon wieder eine spektakuläre 	Entscheidungkeywordtag 	aus Karlsruhe 
Entscheidung_f1	Es scheint da eher ein Bonner Spektakel vorzuliegen als eine spektakuläre 	Entscheidungkeywordtag 	
Entscheidung_f1	Die 	Entscheidungenkeywordtag 	basierten noch immer `` einseitig auf Berichten des Auswärtigen Amtes '' über die Situation in den Herkunftsländern obwohl das Amt selbst darauf hingewiesen habe daß es keinen Anspruch auf Vollständigkeit erhebe und ergänzende Quellen von Menschenrechtsorganisationen empfehle 
Entscheidung_f1		Entscheidungkeywordtag 	verschoben 
Entscheidung_f1	`` Wir brauchen eine einvernehmlichekeywordtag 	Entscheidungkeywordtag 	'' sagte der Sprecher des US-Außenministeriums `` an dem Punkt sind wir noch nicht '' 
Entscheidung_f1	Thierse empfahl ebenfalls erst im Dezember eine 	Entscheidungkeywordtag 	zu treffenkeywordtag 
Entscheidung_f1	Eine 	Entscheidungkeywordtag 	des Sonderparteitages lag bis Redaktionsschluß dieser Ausgabe nicht vor 
Entscheidung_f1	Bei der 	Entscheidungkeywordtag 	habe die Angst Alma Powells vor Attentaten eine Hauptrolle gespielt 
Entscheidung_f1	Gegen die 	Entscheidungkeywordtag 	des Amtsgerichts will die Treuhand-Nachfolgerin die Bundesanstalt für vereinigungsbedingte Sonderaufgaben BVS Beschwerde einlegen 
Entscheidung_f1	Die 	Entscheidungkeywordtag 	sei einstimmigkeywordtag gefallenkeywordtag betonte General Victor Malu 
Entscheidung_f1	Nach den vorliegenden Dokumenten sei die 	Entscheidungkeywordtag 	des Sondergerichtes gegen Saro-Wiwa `` zufriedenstellend '' gewesen 
Entscheidung_f1	Lacher signalisierte daß er gegen die 	Entscheidungkeywordtag 	Einspruch einlegen werde 
Entscheidung_f1	Schneider hatte bereits vor der 	Entscheidungkeywordtag 	angekündigt alle rechtlichen Möglichkeiten gegen eine Auslieferung ausschöpfen zu wollen 
Entscheidung_f1	es fällt ihm lästig immer wieder selbstkeywordtag 	Entscheidungenkeywordtag 	treffenkeywordtag zu müssen 
Entscheidung_f1	Allerdings nennt er einige Themen zu denen sich beide Kandidaten vor einer 	Entscheidungkeywordtag 	öffentlich äußern müßten 
Entscheidung_f1	Für Büschgen signalisieren 	Entscheidungenkeywordtag 	deutscher Banken für Investmentbanking an der Themse das Akzeptieren `` höherer Leistungsfähigkeit und größeren Bedeutungsgewichts Londons und können damit Resignation für den Finanzplatz Frankfurt bedeuten '' 
Entscheidung_f1	Bei der 	Entscheidungkeywordtag 	spielte nicht nur die wirtschaftliche Tragfähigkeit des neuen Unternehmens eine Rolle das einen `` optimalen Fertigungsablauf '' sicherstelle 
Entscheidung_f1	Die Ausländerbehörde soll bei aufenthaltsrechtlichenkeywordtag 	Entscheidungenkeywordtag 	`` humanitäre Gesichtspunkte '' beachten und `` zugunsten der Ausländer entscheiden sofern nicht zwingende öffentliche Gründe dem entgegenstehen '' 
Entscheidung_f1	Die EKD hatte in dem Streit um das `` Kruzifix-Urteil '' des BVG vom Sommer immer wieder betont daß trotz aller Kritik an der 	Entscheidungkeywordtag 	der Richter darauf geachtet werden müsse daß die Autorität des Verfassungsgerichts als eine der demokratischen Säulen der Bundesrepublik nicht beschädigt werden dürfe 
Entscheidung_f1	1. Die 	Entscheidungkeywordtag 	des BVGs zu den Äußerungen Soldaten sind Mörder oder Soldaten sind potentielle Mörder will der Meinungsfreiheit dienen 
Entscheidung_f1	Acht Vertreter signalisierten ihren Unmut über die 	Entscheidungkeywordtag 	darunter auch die Grünen die mit Clintons Umweltpolitik nicht zufrieden sind 
Entscheidung_f1	Nachkeywordtag einer 	Entscheidungkeywordtag 	des Bundessozialgerichts BSG müssenkeywordtag für die Beitragszeiten im Westen in bestimmten Fällen auch die entsprechenden Bewertungsgrundsätze gelten AZ 13 4 RA 19 94 
Entscheidung_f1	Die Bundesversicherungsanstalt geht davon aus daß aufgrundkeywordtag dieser 	Entscheidungkeywordtag 	auf Antrag auch die Renten anderer Betroffener mit einem erheblichen Aufwand neu berechnet werden müssenkeywordtag 
Entscheidung_f1	Verantwortung trifft aber auch Chirac derkeywordtag anders als er es im Wahlkampf verhieß sich nicht damit begnügte die großen Linien festzulegen und der Regierung die Führung der Politik zu überlassen sondern alle wichtigen 	Entscheidungenkeywordtag 	im Elysée-Palast selbstkeywordtag trafkeywordtag ohne daß eindeutige Orientierungen zu erkennen gewesen wären 
Entscheidung_f1	Gegen diese 	Entscheidungkeywordtag 	legte der DFB Beschwerde beim Kammergericht ein 
Entscheidung_f1		Entscheidungkeywordtag 	fälltkeywordtag vermutlich erst nach Landtagswahlen 
Entscheidung_f1	Vor den drei Landtagswahlen am 24. März so hieß es werde keine 	Entscheidungkeywordtag 	fallenkeywordtag 
Entscheidung_f1	Vor den drei Landtagswahlen am 24. März so hieß es werde keine 	Entscheidungkeywordtag 	fallenkeywordtag 
Entscheidung_f1	Schneiders Anwälte wollen gegen die 	Entscheidungkeywordtag 	durch alle Instanzen gehen 
Entscheidung_f1	Begründet wurde die 	Entscheidungkeywordtag 	damit beide Parteien hätten nicht genug Unterschriften zusammengebracht die für eine Anmeldung zu den Wahlen nötig seien 
Entscheidung_f1	Die Anwälte des überschuldeten Bauunternehmers Jürgen Schneider haben die 	Entscheidungkeywordtag 	der amerikanischen Justiz angefochten ihn nach Deutschland auszuliefern 
Entscheidung_f1	Die 	Entscheidungkeywordtag 	in der Sache obliegekeywordtag der Justiz in Deutschland 
Entscheidung_f1	Der Frankfurter Staatsanwalt Dieter Haike sagte in Miami er sei erfreut über die 	Entscheidungkeywordtag 	
Entscheidung_f1	Die Deutsche Bank und die Frankfurter Staatsanwaltschaft haben die 	Entscheidungkeywordtag 	zur Auslieferung des Immobilienspekulanten Jürgen Schneider begrüßt 
Entscheidung_f1	Die Anwälte des Immobilienspekulanten kündigten Widerspruch gegen die 	Entscheidungkeywordtag 	an was Schneiders Rückkehr nach Deutschland um Monate verzögern dürfte 
Entscheidung_f1	`` Die Deutsche Bank begrüßt die 	Entscheidungkeywordtag 	
Entscheidung_f1	Jetzt könne die Behörde `` mit Gelassenheit weiteren 	Entscheidungenkeywordtag 	entgegensehen '' 
Entscheidung_f1	Die Sprecherin der Arbeitsgruppe ``Sekten''-Politik der SPD im Bundestag Renate Rennebach begrüßte die 	Entscheidungkeywordtag 	von Innenminister Manfred Kanther CDU 
Entscheidung_f1	Die 	Entscheidungkeywordtag 	der nigerianischen Militärregierung die Todesurteile gegen neun Menschenrechtler zu bestätigen ist international und bei Nigerias Opposition auf scharfe Kritik gestoßen 
Entscheidung_f1	Er verzichte auf eine Kandidatur für jegliches politische Amt da er nicht die Berufung für ein politisches Leben verspüre erklärte Powell er ist der erste Schwarze an der Spitze der US-Streitkräfte zur Begründung seinerkeywordtag 	Entscheidungkeywordtag 	am Mittwoch auf einer Pressekonferenz in Alexandria bei Washington 
Entscheidung_f1	Das Stuttgarter Amtsgericht sah es als erwiesen an daß die 	Entscheidungenkeywordtag 	über umstrittene Dienstreisen ins Ausland nicht von den Abteilungsleitern sondern vorwiegend vom damaligen Lotto-Chef Peter Wetter getroffenkeywordtag wurden 
Entscheidung_f1	Die beiden Lotto-Abteilungsleiter müssen nach der 	Entscheidungkeywordtag 	des Gerichts `` wegen geringer Schuld '' Bußgelder von 25 000 und 20 000 Mark an gemeinnützige Einrichtungen bezahlen 
Entscheidung_f1	Vor einer Reform des Beamtenrechts ist eine gründliche Diskussion mit Folgen für die Rollenverteilung zwischen Staat und Privaten sowie über die Verwaltungs- und Finanzreform unverzichtbar die zu konkreten Ergebnissen führen muß über die Definition hoheitlicher Aufgaben und damit über die 	Entscheidungkeywordtag 	wo Beamte wirklich erforderlich sind die Reform des Haushaltsrechts also vor allem die Abschaffung des kameralistischen Rechnungswesens ohne Kostenkontrolle Formen eigenverantwortlicher Budgetierung und die dringend notwendige Verknüpfung von ökonomischen ökologischen und sozialen Bedingungen den Abbau überkommener Hierarchien und den Ausbau der Dezentralisierung öffentlicher Aufgaben mit Beteiligung des betroffenen Personals und die Dienstrechtsreform mit einem Ausbau leistungsorientierter Anreize von einer Reform des Beurteilungswesens bis zu objektivierbaren Leistungszulagen 
Entscheidung_f1	Mitkeywordtag einer 	Entscheidungkeywordtag 	der Luxemburger Europa-Richter wird in ein bis zwei Jahren gerechnetkeywordtag 
Entscheidung_f1	Aber Monate vielleicht ein Jahr werden vergehen bis die 	Entscheidungkeywordtag 	fälltkeywordtag 
Entscheidung_f1	`` Wir mußten erst lernen daß es nötig sein kann eine britischekeywordtag 	Entscheidungkeywordtag 	in der deutschen Öffentlichkeit zu verteidigen um die Köpfe und Herzen der Menschen zu gewinnen '' sagt Rothermund 
Entscheidung_f1	Noch einmal vorkeywordtag die 	Entscheidungkeywordtag 	gestelltkeywordtag würde Shellkeywordtag die Brent-Spar-Besetzer nicht wieder mit Wasserwerfern traktieren sondern sie einfach `` dort oben sitzen lassen '' 
Entscheidung_f1	Die jüngstekeywordtag 	Entscheidungkeywordtag 	der britischen Regierung trotz der weltweiten Proteste gegen die französischen Atomversuche im Südpazifik das Atomtestprogramm des französischen Präsidenten Jacques Chirac zu billigen und zu unterstützen hat die Anrainerländer des Südpazifiks fast ebenso stark erschüttert wie die Atomexplosionen im brüchigen Basalt-Sockel der Koralleninsel Mururoa selbst 
Entscheidung_f1	Die 	Entscheidungkeywordtag 	der britischen Regierung sich in der Frage der Kernwaffenversuche auf die Seite Chiracs zu stellen wird von den Regierungen der südpazifischen Region als Fehler angesehen 
Entscheidung_f1	Die Gerichte haben sich in diesem Zusammenhang auf eine 	Entscheidungkeywordtag 	des Bundesgerichtshofs gestützt die gerade aus Anlaß herabsetzender Äußerungen über Soldaten ergangen ist 
Entscheidung_f1	Der Bundesgerichtshof geht inkeywordtag dieser 	Entscheidungkeywordtag 	davon aus daß die Anforderungen die das Reichsgericht an die Strafbarkeit von Sammelbeleidigungen gestellt hatte nämlich daß es sich um eine abgrenzbare und überschaubare Gruppe handeln müsse den rechtsstaatlichen Erfordernissen der Eingrenzung von Straftatbeständen nicht genügten 
Entscheidung_f1	Die Gerichte haben dies überwiegend unter Berufung auf die erwähnte 	Entscheidungkeywordtag 	des Bayerischen Obersten Landesgerichts NJW 1991 S. 1493 angenommen die eine ganz ähnliche Äußerung über Soldaten betraf 
Entscheidung_f1	Diese 	Entscheidungkeywordtag 	gibt zwar die in der Verfassungsrechtsprechung entwickelten Grundsätze zur Schmähkritik zutreffend wieder richtet die Rechtsanwendung aber nicht genügend daran aus 
Entscheidung_f1	Die angegriffenen 	Entscheidungenkeywordtag 	müssen daher aufgehoben und die Sachen zurückverwiesen werden 
Entscheidung_f1	Diese 	Entscheidungkeywordtag 	ist hinsichtlich der Verfassungsbeschwerden zu 1 3 und 4 mit fünf zu drei Stimmen hinsichtlich der Verfassungsbeschwerde zu 2 im Ergebnis einstimmig ergangen 
Entscheidung_f1	Eine gerichtlichekeywordtag 	Entscheidungkeywordtag 	sei nicht vorgesehen 
Entscheidung_f1	Vorausgegangen war eine 	Entscheidungkeywordtag 	des Bundesgerichtshofes mit der die Revision gegen das Urteil des Landgerichtes Karlsruhe vom April dieses Jahres abgelehnt wurde 
Entscheidung_f1	Nach dieser 	Entscheidungkeywordtag 	die Powell Mittwochabend MEZ in Alexandria bei Washington mitteilte zeichnet sich für 1996 ein Rennen um das höchste Amt der USA zwischen Clinton und dem 72jährigen Senator Bob Dole ab der im Feld der bislang über zehn republikanischen Bewerber mit Abstand vorne liegt 
Entscheidung_f1	Das geht aus einer 	Entscheidungkeywordtag 	des Bundessozialgerichtes BSG in Kassel hervor 
Entscheidung_f1	Eine solche 	Entscheidungkeywordtag 	nehme `` Verarmungsprozesse bewußt in Kauf '' und verschiebe die `` Last der Arbeitslosigkeit auf die Kommunen '' da ein großer Teil der Arbeitslosen wegen der Kürzung auf Sozialhilfe angewiesen sein werde 
Entscheidung_f1	Mit der jetzigenkeywordtag 	Entscheidungkeywordtag 	wird aber festgestellt daß nicht nur der klassische Aufhebungsvertrag zu einer Sperre des Arbeitslosengeldes führen kann sondern daß auch `` Vereinbarungen '' die neben einer offiziellen Kündigung getroffen wurden und in denen sich der Mitarbeiter meist gegen Zahlung seitens des Arbeitgebers mit der Kündigung einverstanden erklärt als Auflösung des Arbeitsverhältnisses gelten können 
Entscheidung_f1	Ein `` Nein '' oder auch nur das Hinausschieben der 	Entscheidungkeywordtag 	wäre `` ein großer Rückschlag '' für den Demokratisierungsprozeß in der Türkei sagte er 
Entscheidung_f1	Die Bundesregierung klagt auf Druck von Bayern vor dem Europäischen Gerichtshof gegen die 	Entscheidungkeywordtag 	bayerische Darlehen von 75 Millionen Mark als verbotene Subventionen einzustufen 
Entscheidung_f1	Wie Pressesprecher Rainer Woihsyk am indirekt bestätigte wird die 	Entscheidungkeywordtag 	am Montag offiziell im Anschluß an die Verwaltungsratssitzung der Staatstheater bekanntgegeben 
Entscheidung_f1	Die Subventionen der Hansestadt an die Hamburger Stahlwerke HSW sind nach einer 	Entscheidungkeywordtag 	der Europäischen Kommission unzulässig und müssen zurückgezahlt werden 
Entscheidung_f1	Ein Sprecher der Wirtschaftsbehörde nannte die 	Entscheidungkeywordtag 	`` völlig unverständlich '' 
Entscheidung_f1	Obgleich Frankreich in Europa damit ziemlich allein steht ist es bisher gelungen die mörderischsten 	Entscheidungenkeywordtag 	abzuwenden die im wirtschaftsliberalistischen Geiste den Weg zur Hollywood-Hegemonie geebnet hätten 
Entscheidung_f1	Da nämlich Wirtschaft eben nicht nur in `` der Wirtschaft '' stattfindet sondern auch in etlichen anderen Bereichen wie etwa dem Umweltschutz oder einem langfristigen Bildungsverhalten wokeywordtag aber aufgrund des individuell-rationalen Optimierungskalküls des einzelnen und der Unternehmen vielfach gesamtwirtschaftlich suboptimale 	Entscheidungenkeywordtag 	gefälltkeywordtag werden ist der Staat und damit die Wirtschaftspolitik im Dienste einer gesellschaftlich effizienten Marktwirtschaft gezwungen sich einzuschalten 
Entscheidung_f1	Selbst bei Facharbeitern sind individualisierte 	Entscheidungs-keywordtag 	und Handlungsdispositionen nämlich alltäglich geworden 
Entscheidung_f1	Eine 	Entscheidungkeywordtag 	über die Vergabe des Kredit sei bislang noch nicht gefallenkeywordtag 
Entscheidung_f1	Ob diese Technik zum Einsatz kommt bleibtkeywordtag der 	Entscheidungkeywordtag 	nachfolgender Generationen vorbehaltenkeywordtag 
Entscheidung_f1	Die Türkei hat die 	Entscheidungkeywordtag 	des Europäischen Parlaments scharf kritisiert den Sacharow-Preis an die inhaftierte kurdische Politikerin Leyla Zana zu verleihen 
Entscheidung_f1	Die EU dürfe die 	Entscheidungkeywordtag 	über die umstrittene Zollunion mit der Türkei nicht auf die lange Bank schiebenkeywordtag diese Ansicht vertrat der Präsident des Europaparlaments Klaus Hänsch 
Entscheidung_f1	Obwohl viele Abgeordnete schlicht noch unentschieden seien könne man die 	Entscheidungkeywordtag 	nicht auf unabsehbare Zeit vertagen sagte Hänsch am Freitag in Brüssel 
