befuerchten_f1	Seitdem 	befürchtetkeywordtag 	die IG Metall einen `` Dammbruch '' 
befuerchten_f1	Nun 	befürchtenkeywordtag 	aber einige Experten daß der beschäftigungs- und sozialpolitische Gestaltungsspielraum nicht nur wegen der öffentlichen Haushaltslage stark eingeschränkt ist sondern daß die Globalisierung bzw. Internationalisierung von unternehmerischem Handeln der Produktion sowie der Kapital- und Arbeitsmärkte den Politiken der Nationalstaaten fast vollständig den Garaus macht 
befuerchten_f1	Diese Anhängerinnen- und Anhängerschaft ermöglicht eine Politik die auf Kostensenkung und Abbau sozialer Absicherung setzen kann ohne daß größerer Widerstand in den eigenen Reihen zu befürchten wäre 
befuerchten_f1	Der bündnisgrüne Haushaltssprecher Oswald Metzger sagte erkeywordtag 	befürchtekeywordtag 	wegen der schwierigen Finanzlage der Kommunen daß Deutschland die Verschuldungsgrenze des Maastricht-Vertrages nicht werde einhalten können 
befuerchten_f1	Verheugenkeywordtag 	befürchtetekeywordtag 	möglicherweise werde der Besuch in China sogar als eine Art Rehabilitierung betrachtet 
befuerchten_f1	Der Indianermissionsrat 	befürchtetkeywordtag 	daß sich in den Gerichtsverfahren dann diejenigen durchsetzen die sich Anwälte leisten könnten und dies seien nicht die oft kleinen indianischen Völker 
befuerchten_f1	Es wurde 	befürchtetkeywordtag 	daß die Schneemassen noch eine weitere Gruppe von 28 Bergsteigern verschüttete die im selben Camp übernachtet hatte 
befuerchten_f1	allerdings hatten die Ärzte eine höhere Opfer-Zahl 	befürchtetkeywordtag 	
befuerchten_f1	Der der katholischen Bischofskonferenz Brasiliens nahestehende Indianermissionsrat 	befürchtetkeywordtag 	daß sich nach Änderung des Dekrets und Einführung des Widerspruchsrechts die Indianer in den dann folgenden juristischen Verfahren nicht durchsetzen können 
befuerchten_f1	Zudem 	befürchtetkeywordtag 	Wiesehügelkeywordtag `` eine Pleitewelle beim Mittelstand wie wir sie noch nie erlebt haben 
befuerchten_f1	Es wurde 	befürchtetkeywordtag 	daß von ihnen noch weit mehr getötet wurden 
befuerchten_f1	Mantelli hatte mit methodologischen Erklärungen eingeetzt die Langeweilekeywordtag 	befürchtenkeywordtag 	ließen 
befuerchten_f1	Der Tankstellenverband beklagt `` eine ruinöse existenzbedrohende Wettbewerbssituation die auf Dauer das Ausscheiden einer ganzen Anbietergruppe aus dem Markt 	befürchtenkeywordtag 	läßt '' 
befuerchten_f1	Führende Unionspolitiker 	befürchtenkeywordtag 	daß eine atmosphärische Annäherung der CDU an die PDS letztere mittelfristig salonfähig machen könnte 
befuerchten_f1	Die Gemeinden 	befürchtenkeywordtag 	daß die Länder auch bei den Zinsen derart verfahren könnten und sie belastet werden 
befuerchten_f1	In Deutschland dem wichtigsten Absatzland wird gar ein Umsatzrückgang von 25 Prozent 	befürchtetkeywordtag 	fast drei Millionen Flaschen weniger als im vergangenen Jahr 
befuerchten_f1	Die Justiz hatte vor dem Prozeß in Memmingen besondere Sicherheitsmaßnahmen getroffen da siekeywordtag nach eigenen Angaben Anschläge von Neonazis 	befürchtetekeywordtag 	
befuerchten_f1	Siekeywordtag 	befürchtetkeywordtag 	eine allgemeine Senkung des Lohnniveaus zumal eine neue niedrigere Tarifgruppe nicht nur für Beschäftigte ausländischer Firmen auf den Baustellen sondern auch für die deutscher Unternehmen gelten würde 
befuerchten_f1	Siekeywordtag 	befürchtenkeywordtag 	dadurch könne das ohnehin geschwächte Wachstum zum Erliegen gebracht werden 
befuerchten_f1	`` Wer an deutschen Universitäten abgewiesen wird wendet sich möglicherweise an eine dieser in Deutschland nicht anerkannten Hochschulen die auch keinen anerkannten Abschluß verleihen kann '' 	befürchtetkeywordtag 	Werner Becker HRK-Informationsreferent 
befuerchten_f1	Angriff auf `` Würde des Lebens '' 	befürchtetkeywordtag 	
befuerchten_f1	Außerdem 	befürchtetkeywordtag 	siekeywordtag daß der `` Fortschritt bei den Lohnstückkosten '' die zuletzt um 2,5 Prozent sanken durch den Tarifabschluß der jetzt erst voll wirksam werde und den schwereren Sozialversicherungslasten 1996 wieder zunichte gemacht werde 
befuerchten_f1	`` Jetzt ist meine Tochter 16 Jahre alt und es ist ein ähnlicher Alptraum zu befürchten '' 
befuerchten_f1	Scharping und andere Gegner der von Lafontaine favorisierten Änderung 	befürchtenkeywordtag 	daß sich die SPD im Bundestag gezwungen sehen würde eine deutsche Beteiligung an einer Friedenssicherung abzulehnen wenn das Konzept der Bundesregierung auch den Einsatz von `` Tornados '' einschließt 
befuerchten_f1	Daß ihn die Mehrheit im Stich läßt mußte Juppékeywordtag nicht 	befürchtenkeywordtag 	
befuerchten_f1	Klägerkeywordtag 	befürchtenkeywordtag 	ein `` Absaufen '' der Grube 
befuerchten_f1	Dabei berufen sie sich vor allem auf Gutachten von Experten über den ehemaligen Salzstock in denen von `` 24 Tropfstellen Tümpeln und Sumpfstellen '' die Rede ist die ein `` Absaufen der Grube und damit das Freiwerden der radionukleiden Stoffe in die Umwelt 	befürchtenkeywordtag 	lassen '' 
befuerchten_f1	Daskeywordtag 	befürchtetkeywordtag 	der Sprecher jedoch nicht 
befuerchten_f1	Manche in Brüssel 	befürchtenkeywordtag 	nach profil-Angaben bereits die Funken die Haider in Österreich schlage könnten in der Ära nach Helmut Kohl auch auf Deutschland überspringen 
befuerchten_f1	aikeywordtag 	befürchtetkeywordtag 	daß mindestens 17 von ihnen wegen derselben Morde vor einem Militärtribunal angeklagt werden für die bereits der nigerianische Schriftsteller Ken Saro-Wiwa und acht seiner Mitstreiter in der vergangenen Woche nach einem unrechtmäßigen Prozeß gehenkt worden waren 
befuerchten_f1	Eine bedenkliche Zunahme von Krankheiten bei Kindern Frauen und Kranken 	befürchtetekeywordtag 	eine Gruppe alliierter Offiziere 
befuerchten_f1	Verlust von 10 000 Stellen 	befürchtetkeywordtag 	
befuerchten_f1	Die Belegschaftsvertreter 	befürchtenkeywordtag 	daß die Verkaufs- und Umbaupläne der Stuttgarter letztlich insgesamt rund 10 000 Arbeitsplätze kosten könnten und entwickeln daher Konzepte und Aktionspläne um die Traditionsfirma zu verteidigen 
befuerchten_f1	Die Belegschaftsvertreter der Zentrale diekeywordtag das Ende der AEG im Laufe des nächstes Jahres 	befürchtenkeywordtag 	hoffen daher auf Unterstützung der Politiker im Frankfurter Römer für den Kampf um den Standort am Main 
befuerchten_f1	Siekeywordtag 	befürchtenkeywordtag 	aber daß sich die SPD im Bundestag dazu gezwungen sehen würde die deutsche Beteiligung an einer Friedenssicherung abzulehnen 
befuerchten_f1	Siekeywordtag 	befürchtenkeywordtag 	aber daß sich die SPD im Bundestag dazu gezwungen sehen würde die deutsche Beteiligung abzulehnen 
befuerchten_f1	Dann sei zu befürchten daß auch Kanadier und Australier zurückfielen 
befuerchten_f1	Am heutigen Montag strahlt die BBC das öffentlich- rechtliche Fernsehen Großbritanniens am Abend ein Interview mit der englischen Prinzessin aus von dem Monarchisten auf der Insel das Schlimmste für die Krone 	befürchtenkeywordtag 	
befuerchten_f1	Auch sei zu befürchten daß der soziale Wohnungsbau durch Mittelkürzungen ausblute 
befuerchten_f1	`` Wir werden es tun glaube ich '' tat der sozialistische Premier Lionel Jospin kund nachdem mankeywordtag noch zu Beginn der Woche 	befürchtenkeywordtag 	mußte das Projekt könnte während der von Frankreich erbetenen `` Bedenkzeit '' auf die ganz lange Bank geschoben werden was im äußersten Fall den termingerechten Beginn der Währungsunion wie auch die Verabschiedung der politischen und institutionellen EU-Reformen `` Maastricht II '' gefährdet hätte 
befuerchten_f1	Ansonsten drohe dem abhängigen Süden eher Gefahr aus den `` Reformstaus '' im Westen und Osten statt eines neuen mexikanischen `` Tequilaeffekts '' müsse die Dritte Welt `` Bier- oder Wodkaeffekte '' 	befürchtenkeywordtag 	
befuerchten_f1	Siekeywordtag 	befürchtenkeywordtag 	von den mächtigen Konzernen wie RWE Energie Preussenelektra Bayernwerk und Co. an die Wand gedrängt zu werden wenn es künftig keine Demarkationsverträge und Ausschließlichkeitsklauseln in Konzessionsverträgen mehr gibt 
befuerchten_f1	Das Kartellamt 	befürchtetkeywordtag 	daß die Konzentration zu Lasten der Kunden geht 
befuerchten_f1	Denn siekeywordtag 	befürchtenkeywordtag 	daß Brüssel zu viele Fälle an sich zieht 
