sagen_s36_f0	`` Es ist wirklich schwer zu sagen , welche Positionen er einnimmt , da er sich noch nicht konkret geäußert hat '' , beklagen Volkswirte . 
sagen_s48_f0	`` Die Frage ist nur '' , meint ein Finanzexperte , `` ob erkeywordtag ins Weiße Haus einziehen kann , ohne unskeywordtag vorher zu sagen , was er eigentlich machen will . '' 
sagen_s130_f1	FR : Siekeywordtag sagen in Ihrem Buch über die Republikaner ( `` Die , Republikaner - Profile einer Rechtsaußenpartei '' ) , Verbote , Ausgrenzung und Ignorieren seien nicht die richtigen Strategien , und Siekeywordtag 	sagen 	, Information und Diskussion müßten angeboten werden . 
sagen_s1037_f0	Frau Engelen-Kefer 	sagte 	, der Plan der Bundesregierung sei einer der schlimmsten Angriffe auf die Gewerkschafts- und Tarifpolitik in der Geschichte der Bundesrepublik . 
sagen_s1039_f0	Zu einem Tarifstreik könne die Gewerkschaft aus rechtlichen Gründen aber nicht aufrufen , 	sagte 	erkeywordtag in Ludwigshafen . 
sagen_s1045_f0	In Anspielung an die Ablehnung des Vertrages mit dem östlichen Nachbarn durch die Regierung im Freistaat 	sagte 	erkeywordtag am Samstag im oberfränkischen Wunsiedel , Hadern dürfe nicht die Chancen der Zusammenarbeit mit den Nachbarn im Osten verbauen . 
sagen_s1061_f0	Russische Staatsbürger in anderen Republiken der Gemeinschaft Unabhängiger Staaten ( GUS ) müßten zwar beschützt werden , doch dürfe dies nur mit politischen Mitteln geschehen , 	sagte 	Jelzinkeywordtag in Moskau . 
sagen_s1121_f0	Um die Grundlagen für die politische Autonomie der Palästinenser zu legen , müsse die wirtschaftliche Unabhängigkeit dieser Gebiete angestrebt werden , 	sagte 	Lautmankeywordtag am Wochenende im israelischen Radio . 
sagen_s1182_f0	Der Vorsitzende der CDU/CSU-Fraktion im Bundestag , Wolfgang Schäuble , 	sagte 	am Wochenende , er halte den Bau des Jägers 90 in veränderter Form für möglich . 
sagen_s1183_f0	Schäublekeywordtag 	sagte 	am Samstag im Sender Freies Berlin , die Union wolle `` in der Fortsetzung der Kooperation mit den anderen europäischen Partnern Großbritannien , Spanien , Italien auf dem Stand der jetzigen Entwicklung zu einem billigeren , in seinen Anforderungen kostengünstigeren Flugzeug kommen '' . 
sagen_s1191_f0	Der israelische Botschafter in Bonn , Benjamin Navon , 	sagte 	an der Gedenktafel für die elf Mitglieder der israelischen Olympiamannschaft und den getöteten Polizisten im Münchner Olympiazentrum : 
sagen_s1196_f0	`` Freunde waren 1972 gefordert , Freunde sind auch gegenwärtig nötig , die an Israels Seite stehen '' , 	sagte 	siekeywordtag . 
sagen_s1211_f0	Diestelkeywordtag 	sagte 	, er sehe dem Prozeß ruhig entgegen und fühle sich im Einklang mit Hunderttausenden von DDR-Bürgern , die so wie er gekauft hätten . 
sagen_s1235_f0	Ein Sprecher 	sagte 	der Berliner `` Sonntagspost '' ( bisher Kurier / Morgenpost am Sonntag ) , die Pläne von Bauminsterin Irmgard Schwaetzer ( FDP ) trieben die Betroffenen in die Armut . 
sagen_s1238_f0	`` Die Realeinkommen sind in den neuen Ländern nicht gestiegen , sie sind eher gesunken '' , 	sagte 	der Verbandssprecher . 
sagen_s1250_f0	Der Illustrierten `` Bunte '' 	sagte 	siekeywordtag : 
sagen_s1261_f0	Voraussetzung sei jedoch Straffreiheit für die Rebellen , 	sagte 	Dhlakamakeywordtag nach einem Gespräch mit dem simbabwischen Präsidenten Robert Mugabe . 
sagen_s1291_f0	Schmittkeywordtag 	sagte 	, 60 Prozent der Fälle seien nach wie vor schwierig zu entscheiden . 
sagen_s1307_f0	Zwar liege die Verantwortung allein bei der Bundesregierung , doch angesichts der nicht unerheblichen Gefährdung der eingesetzten Soldaten habe man eine breite Zustimmung gesucht , 	sagte 	ein Sprecher . 
sagen_s1308_f0	Kinkelkeywordtag 	sagte 	in Bonn , die Hilfsflüge würden sofort eingestellt , falls es auf dem Flughafen in Sarajewo wieder zu Kampfhandlungen kommen sollte . 
sagen_s1309_f0	Der außenpolitische Sprecher der SPD-Fraktion , Karsten Voigt , begrüßte die Entscheidung und 	sagte 	, dieser humanitäre Dienst der Bundeswehr werde über alle Parteigrenzen hinaus hoffentlich von großer Zustimmung getragen werden . 
sagen_s1315_f0	Seit Freitag seien mehr als 300 Tonnen Hilfsgüter eingetroffen , 	sagten 	Offiziere der UN-Friedenstruppe am Sonntag . 
sagen_s1320_f0	Die SPD wolle die Verabschiedung des Berichts rückgängig machen , 	sagte 	Landesvorsitzender Steffen Reiche am Sonntag . 
sagen_s1323_f0	Reichekeywordtag 	sagte 	, nach den Parlamentsferien Ende August könne die Beweisaufnahme fortgesetzt werden . 
sagen_s1353_f0	Daskeywordtag 	sagten 	Margot Honecker und Rußlands Vizepräsident Alexej Ruzkoj der Berliner `` Sonntagspost '' . 
sagen_s1355_f0	Aus welchem Land , 	sage 	ichkeywordtag nicht '' , erklärte Margot Honecker der Zeitung . 
sagen_s1357_f0	Der chilenische Präsident Patricio Aylwin 	sagte 	in Santiago de Chile , der Fall Honecker werde `` in Kürze gelöst '' sein . 
sagen_s1375_f0	Nach diesem Luft- und Bodenangriff sei die Opferzahl auf Rebellenseite bei Kämpfen in der vergangenen Woche auf rund 610 Tote gestiegen , 	sagte 	ein Militärsprecher . 
sagen_s1412_f0	Wiekeywordtag der iranische Geistliche in einem am Sonntag veröffentlichten Interview der Wochenzeitung El Schuruk 	sagte 	, sindkeywordtag die USA an einer Normalisierung der iranisch-amerikanischen Beziehungen interessiert , die vor 13 Jahren abgebrochen wurden . 
sagen_s1413_f0	`` Meines Wissens haben die Amerikaner den Dialog mit Iran nie eingestellt , und die Hälfte des Weges zur Wiederaufnahme der diplomatischen Beziehungen haben die beiden Länder bereits hinter sich '' , 	sagte 	der frühere Minister dem in den Vereinigten Arabischen Emiraten erscheinenden Blatt . 
sagen_s1461_f0	Irvingkeywordtag 	sagte 	dagegen , sein Vertrag laute auch auf Herausgabe der Tagebücher . 
sagen_s1529_f0	`` Dies ist ein normaler Kredit , und sie können uns nicht auf die Knie zwingen '' , 	sagte 	Jelzinkeywordtag und fügte hinzu : `` Rußland ist ein großes Land und wird so etwas nicht dulden . '' 
sagen_s1531_f0	Vor der Begegnung 	sagte 	Jelzinkeywordtag , er wolle dem IWF-Chef klarmachen , daß sein Land die Energiepreise nicht sofort auf Weltniveau anheben könne . 
sagen_s1589_f0	`` Kaum ein Staat der Erde ist gesetzgeberisch so aktiv wie Indien '' , 	sagt 	Sushila Gosalia , eine indische Sozialwissenschaftlerin . 
sagen_s1641_f0	Und Dervisch Eroglu , `` Ministerpräsident '' in Denktaschs Pseudorepublik , 	sagte 	Ende vergangener Woche , die türkischen Zyprioten würden `` kein einziges '' der 1974 besetzten Dörfer wieder räumen . 
sagen_s1723_f0	Die restlichen 2000 Arbeitsplätze seien nur zu halten , wenn der Staat sich in der technologischen Umrüstung engagiere , 	sagt 	der geländereiche Investor . 
sagen_s1728_f0	Erkeywordtag 	sagt 	den Protestierenden lediglich : `` Premnitz muß ein Industriestandort bleiben '' ; 
sagen_s1749_f0	`` Wir werden uns die Veranstaltung von außen angucken '' , 	sagte 	erkeywordtag der `` Berliner Zeitung '' . 
sagen_s1751_f0	`` Nochmal wird die FDP nicht so etwas mit sich machen lassen '' , 	sagte 	erkeywordtag . 
sagen_s1752_f0	Der sächsische Ministerpräsident Kurt Biedenkopf ( CDU ) 	sagte 	, der Bundesrat werde dem Karenztag-Plan , der die Tarifautonomie berühre , `` sicher nicht zustimmen '' . 
sagen_s1755_f0	Wolfgang Schäuble , Vorsitzender der CDU/CSU-Bundestagsfraktion , 	sagte 	dagegen im Rundfunksender Rias Berlin , ein Karenztag sei notwendig und zumutbar . 
sagen_s1759_f0	Warum um Himmels willen soll es unzumutbar sein , zu sagen , daß eben im Krankheitsfall dann eine Eigenbeteiligung des Versicherten eingeführt werden soll in einer Form , daß er sich einen Tag Urlaub anrechnen lassen soll ? '' 
sagen_s1787_f0	Er sei erstaunt , 	sagte 	Khorkeywordtag , daß dem Gegenkongreß die Räumlichkeiten in der Münchner Universität verweigert worden waren . 
sagen_s1794_f0	`` Jeder , der sich jetzt drückt , muß wissen , das wird am Ende alles noch teurer '' , 	sagte 	erkeywordtag . 
sagen_s1821_f0		Sagen 	Siekeywordtag , daß Sie sich das nicht mehr gefallen lassen '' , ruft er den Frauen und Männern zu . 
sagen_s1922_f0	Er habe `` mehrere Hinweise auf eine untertarifliche Bezahlung '' in der ehemaligen DDR erhalten , 	sagte 	Hans-Ulrich Klose , der Vorsitzende der SPD-Bundestagsfraktion , am Wochenende im Gespräch mit der Frankfurter Rundschau . 
sagen_s1934_f0	Dies verstoße gegen das Gesetz , 	sagte 	Klosekeywordtag . 
sagen_s1965_f0	Als Flüchtling anerkannt werde nur der , so 	sagte 	ein zuständiger Grenzbeamter , wer diesen Status glaubhaft nachweisen könne - `` etwa durch ei-ne Schußverletzung '' . 
sagen_s1996_f0	Die ausgehandelten Bedingungen für die Öffnung des Flughafens würden nicht erfüllt , 	sagte 	Nambiarkeywordtag . 
sagen_s2060_f0	Im Saarländischen Rundfunk 	sagte 	erkeywordtag am Montag , es sei `` eigentlich ein Witz und nicht zu verstehen '' , daß Menschen aus Kroatien , Slowenien und Serbien in Deutschland Aufnahme fänden , Flüchtlinge aus Bosnien-Herzegowina jedoch nur mit Visum einreisen dürften . 
sagen_s2061_f0	Viele der flüchtenden Menschen beantragten deshalb an der deutschen Grenze Asyl `` und belasten dann unsere Verfahren noch zusätzlich zu dem , was wir heute schon haben '' , 	sagte 	Läpplekeywordtag . 
sagen_s2091_f0	Zentralratsvorsitzender Romani Rose 	sagte 	in Berlin , Juden , Sinti und Roma seien durch eine existentielle Gemeinsamkeit miteinander verbunden und dürften nicht im Gedenken getrennt werden . 
sagen_s2097_f0	`` Unser Gedenken darf nicht ausgeblendet oder relativiert werden '' , 	sagte 	Rosekeywordtag . 
sagen_s2116_f0	Bundesjugendministerin Angela Merkel 	sagte 	am Montag in Magdeburg nach einem Treffen mit den jugendpolitischen Sprechern der CDU-Fraktionen der neuen Bundesländer und Berlins , das Geld solle in 114 Projekte in 30 Problemregionen fließen . 
sagen_s2117_f0	Viele Jugendliche in Ostdeutschland hätten Schwierigkeiten bei der Bewältigung persönlicher Probleme in der gesellschaftlichen Umbruchsituation , 	sagte 	die CDU-Politikerin . 
sagen_s2125_f0	Der Protest richte sich vor allem gegen die von Bonn geplante mögliche Beschränkung der Honorarsteigerungen , 	sagte 	Verbandssprecher Kurt Gerritz auf Anfrage . 
sagen_s2145_f0	Vor Beginn der Sitzung hatte der SPD-Vorsitzende Björn Engholm noch 	gesagt 	, eine Lösung `` ohne stichprobenartige Kontrollen bei den Banken '' sei `` schwer vorstellbar '' . 
sagen_s2156_f0	Der größte Teil der 102 Mitarbeiter habe sich einem Aufruf der Gewerkschaft Nahrung-Genuß-Gaststätten ( NGG ) angeschlossen , 	sagte 	der Rostocker NGG-Geschäftsführer Andreas Hofmann . 
sagen_s2226_f0	Die vier Kernelemente seien neben dem nordatlantischen Verteidigungsbündnis NATO die Konferenz für Sicherheit und Zusammenarbeit in Europa ( KSZE ) , die Westeuropäische Union ( WEU ) und die Europäische Gemeinschaft , 	sagte 	Wörnerkeywordtag am Montag in Luxemburg . 
sagen_s2232_f0	Daskeywordtag 	sagte 	ein Sprecher des kasachischen Präsidenten Nursultan Nasarbajew . 
sagen_s2318_f0	Jahrelang sei nur `` herumgedoktert '' worden , jetzt müsse es etwas `` Revolutionäres '' sein , wenn das verkrustete System geändert werden soll , 	sagte 	dessen Vorsitzender , Dieter Simon , in Bonn . 
sagen_s2321_f0	Es sei schon lange kein Geheimnis , 	sagte 	Simonkeywordtag weiter , daß es mit der Medizinerausbildung nicht zum besten stehe . 
sagen_s2336_f0	Die Ankündigung der Koalition , bis zur Sommerpause zu Lösungen zu kommen und Konflikte beizulegen , sei nicht eingehalten worden , 	sagte 	Engholmkeywordtag am Montag in Bonn . 
sagen_s2354_f0	Finanzminister Theo Waigel ( CSU ) hatte zuvor im Deutschlandfunk erklärt , niemandkeywordtag könne 	sagen 	, wie sich in den nächsten Jahren jede einzelne Steuer entwickle . 
sagen_s2365_f0	Die Demokratie müsse direkter werden , 	sagte 	siekeywordtag . 
sagen_s2370_f0	Die Bedrohung aus dem Osten existiere nicht mehr , und die finanziellen Probleme in Ostdeutschland seien riesig , 	sagte 	der Hallenser CDU-Bundestagsabgeordnete Manfred Lischweski dem `` Mitteldeutschen Express '' in Halle . 
sagen_s2372_f0	Die Mehrheit der CDU-Abgeordneten in der Landesgruppe Sachsen-Anhalt sei gegen den Billig-Jäger , 	sagte 	der CDU-Politiker Hans-Joachim Sopart . 
sagen_s2382_f0	`` Kurdistan ist ein sehr reiches Land und hat viele Rohstoffe '' , 	sagte 	Maassumkeywordtag . 
sagen_s2397_f0	Wiekeywordtag der Sprecher des Bundesinnenministeriums , Roland Bachmeier , am Montag abend 	sagte 	, mußtekeywordtag die Unterzeichnung `` wegen einiger Koordinierungsschwierigkeiten '' auf kommenden Freitag verschoben werden . 
sagen_s2452_f0	Neben der gemeinsamen Arbeit im Parlament sei es wichtig , `` auch die Zusammenarbeit zwischen den Ressorts und mit den neuen Ländern besser zu koordinieren '' , 	sagte 	die CDU-Politikerin der in Hannover erscheinenden `` Neuen Presse '' . 
sagen_s2491_f0	Blümkeywordtag 	sagte 	der `` Westfälischen Rundschau '' , diese Regelung sei `` kein Block , den man nicht mehr bewegen kann '' . 
sagen_s2494_f0	Bundeswirtschaftsminister Jürgen Möllemann ( FDP ) 	sagte 	, das von der FDP favorisierte Modell einer Pflegeversicherung nach dem Kapitaldeckungsverfahren sei `` noch lange nicht tot '' . 
sagen_s2499_f0	Die stellvertretende FDP-Vorsitzende Irmgard Schwaetzer 	sagte 	, die FDP habe den Vorschlag des Karenztages `` aufmerksam aufgenommen '' . 
sagen_s2504_f0	Klosekeywordtag 	sagte 	, die SPD-Fraktion werde gegen einen Gesetzentwurf stimmen , der Karenztage vorsehe . 
sagen_s2505_f0	Der `` Pluralismus von Erklärungen '' aus der CDU/CSU-FDP-Koalition zeige , daß die Einigkeit über die Pflegeversicherung nur `` vorgetäuscht '' worden sei , `` um über die Sommerpause zu kommen '' , 	sagte 	Klosekeywordtag . 
sagen_s2527_f0	Diese stellten eine Gefahr für die Demokratie dar , 	sagte 	Quileskeywordtag und fügte hinzu : `` Unsere Aufgabe ist es , sie zu schützen . '' 
sagen_s2551_f0	Er habe keinen Zweifel , daß sich eine solche Stellungnahme auf der Linie der Erklärung des Lissabonner EG-Gipfels bewegen werde , 	sagte 	erkeywordtag weiter . 
sagen_s2553_f0	US-Verteidigungsminister Richard Cheney hatte am Sonntag abend 	gesagt 	, die USA seien bereit , zur Absicherung der internationalen Hilfsmaßnahmen für Sarajewo Luftunterstützung anzubieten . 
sagen_s2615_f0	Der eine sieht sie an , bleibt stehen und 	sagt 	zu seinem Kollegen : `` Ist sie das nicht ? '' 
sagen_s2630_f0	Nazli Top 	sagt 	daskeywordtag den auf sie einschlagenden Polizisten : 
sagen_s2635_f0	Weißt du nicht , daß es eine Sache ist , waskeywordtag hier die Politiker 	sagen 	und eine ganz andere , was wirklich passiert ? '' 
sagen_s2636_f0	Nazli Top 	sagt 	den Polizisten , daß sie im zweiten Monat schwanger ist , bittet sie , mit den Schlägen und den Fußtritten aufzuhören . 
sagen_s2639_f0	Einer der Polizisten 	sagt 	zu ihr : 
sagen_s2644_f0	Sie hört eine Männerstimme 	sagen 	: `` Nun wirst du sehen , was mit dir passiert ! '' 
sagen_s2679_f0	Der eine 	sagte 	: `` Ich bin noch nicht soweit . '' 
sagen_s2723_f0	Im Gegenteil , mankeywordtag muß sogar 	sagen 	, daß sich die Folter weiter institutionalisiert hat . '' 
sagen_s2736_f0	`` Ich glaube nicht '' , 	sagt 	Ercan Kanar , `` daß die Folter unter dieser Regierung ausgemerzt wird , wie man uns das verspricht . 
sagen_s2802_f0	Der Deutschen Presse-Agentur 	sagte 	erkeywordtag , mit der Weigerung , den Hochschulbau-Etat im nächsten Jahr zu erhöhen , ignoriere Bonn Absprachen von Bund und Ländern , schaffe Planungsunsicherheit und treibe die Länder weiter in die Verschuldung . 
sagen_s2810_f0	Weil der Bund seit Jahren seinen Verpflichtungen beim Hochschulausbau nicht nachkomme , hätten die Länder Vorleistungen von fast einer Milliarde Mark erbringen müssen , 	sagte 	Breitenbachkeywordtag . 
sagen_s2826_f0	`` Die Akteure waren ( für die zuständigen Behörden ) nicht greifbar '' , 	sagt 	ein Kenner der Szene . 
sagen_s3011_f0	Der Bonner Regierungssprecher Dieter Vogel 	sagte 	nach dem Treffen Kohls mit Bush in München , die beiden Regierungen legten besonderen Wert auf die Verpflichtung Jelzins , die russischen Haushaltsdefizite umgehend und deutlich abzubauen . 
sagen_s3013_f0	Grundlage müsse allerdings die Einhaltung der IWF-Stabilitätsbedingungen durch Moskau sein , 	sagte 	Vogelkeywordtag weiter . 
sagen_s3130_f0	Der Verteidigungsminister 	sagte 	, er habe in London seinen Vorschlag bekräftigt , mit weiteren Partnern ein gänzlich neues , um 30 bis 40 Prozent billigeres Flugzeug zu entwerfen . 
sagen_s3132_f0	Arbeitsplätze , 	sagte 	Rühekeywordtag , seien nicht der Kern des Problems . 
sagen_s3139_f0	UN-Sprecher Fred Eckhard 	sagte 	: `` Die Sicherheitslage in Sarajewo ist äußerst prekär , und die Tatsache , daß alle Hilfsflüge bisher ohne Zwischenfall abgelaufen sind , ist ein kleines Wunder . '' 
sagen_s3156_f0	Tudjmankeywordtag 	sagte 	weiter : `` Der Krieg in Kroatien ist endgültig vorbei . '' 
sagen_s3197_f0	Die Fragestunde , ursprünglich gedacht als ein parlamentarisches Instrument zur Kontrolle der Regierung , sei `` eine stumpfe Waffe geworden , weil die Regierung sich dumm stellt , Theater veranstaltet oder die Unwahrheit 	sagt 	'' . 
sagen_s3384_f0	Der Vorsitzende des Bundes für Umwelt und Naturschutz ( BUND ) , Hubert Weinzierl , 	sagte 	, beim Wirtschaftsgipfel schlage die Stunde der Wahrheit . 
sagen_s3394_f0	Udekeywordtag 	sagte 	weiter , er habe mehr als drei Stunden den von der Polizei gebildeten Kessel nahe dem Rathaus gesehen , in dem einige hundert Demonstranten eingeschlossen worden waren . 
sagen_s3459_f0	Wauer , der dazu extra in ein Hinterzimmer in Ostberlin geladen hat , 	sagt 	: 
sagen_s3460_f0	`` Wir sind im Vormarsch , wenn ichkeywordtag daskeywordtag mal militärischkeywordtag 	sagen 	darf . '' 
sagen_s3464_f0	Derkeywordtag macht mit und 	sagt 	: `` Laßt Honecker in Frieden . '' 
sagen_s3549_f0	Der Bundesverteidigungsminister 	sagte 	, er habe in London seinen Vorschlag bekräftigt , die taktischen Erfordernissen künftiger Verteidigung gemeinsam neu zu bewerten und zusammen mit weiteren Partnern ein gänzlich neues , um 30 bis 40 Prozent billigeres Flugzeug zu entwerfen . 
sagen_s3551_f0	Arbeitsplätze , 	sagte 	Rühekeywordtag , seien nicht der Kern des Problems . 
sagen_s3590_f0	Solange der Bund davon ausgegangen sei , daß die Treuhand Gewinne erwirtschafte , habe Waigel die Anstalt als reine Bundesangelegenheit angesehen , 	sagte 	die Ministerin am Montag . 
sagen_s3612_f0	`` Noch sind wir nicht ganz für die Offensive bereit , aber wir warten nicht mehr lange '' , 	sagte 	der bosnische Verteidigungsminister Jerko Doko bei einem Besuch der Werkstatt . 
sagen_s3632_f0	Ein Ausbruch der Verteidiger wäre der Versuch einer militärischen Lösung , 	sagte 	erkeywordtag am Dienstag . 
sagen_s3763_f0	Es bestehe kein dringender Tatverdacht , 	sagte 	Staatsanwalt Martin Uebele am Dienstag . 
sagen_s3778_f0	Wiekeywordtag der diensthabende Ingenieur der Nachrichtenagentur Itar-Tass 	sagte 	, funktioniertekeywordtag der 1000-Megawatt-Reaktor normalkeywordtag . 
sagen_s3810_f0	Die Arbeitgeber hätten sich verhandlungsbereit gezeigt , 	sagte 	ein Sprecher der Gewerkschaft Nahrung-Genuß-Gaststätten ( NGG ) . 
sagen_s3822_f0	Stadtentwicklungssenator Volker Hassemer ( CDU ) 	sagte 	, das Land Berlin und der Bund hätten sich auf diese Verteilung geeinigt . 
sagen_s3863_f0	Die Kosten seien damit höher als von der Bundesregierung angenommen , 	sagte 	der Präsident der Organisation , Hermann Becker , vor dem Deutschen Verkehrsforum in Bonn . 
sagen_s3880_f0	Die Strukturänderung sei notwendige Konsequenz aus der `` dauerhaften Herausforderung '' , daß die Universitäten ein Drittel eines Altersjahrganges auszubilden hätten , 	sagte 	der Präsident der HRK , Hans-Uwe Erichsen . 
sagen_s3887_f0	Angesichts 1,78 Millionen Studenten und mehr als 300 000 Anfängern pro Jahr bei einem `` ungebrochenem Trend zu höheren Bildungsabschlüssen '' sei man an die Grenze der `` Überlast '' gestoßen , 	sagte 	Erichsenkeywordtag . 
sagen_s3896_f0	Es könne nicht so weitergehen , daß die Öffentlichkeit durch täglich neue Berichte immer weiter verunsichert werde , 	sagte 	Lafontainekeywordtag am Dienstag in Bonn . 
sagen_s3900_f0	Er sei im Prinzip nicht gegen eine Erhöhung der Mineralölsteuer , die auch in der SPD diskutiert werde , 	sagte 	Waltherkeywordtag am Dienstag in Bonn . 
sagen_s3903_f0	zu kritisieren ist die Methode '' , 	sagte 	Waltherkeywordtag . 
sagen_s3919_f0	In einer Rede an die Nation 	sagte 	Bazinkeywordtag , er hoffe , die Organisation Amerikanischer Staaten ( OAS ) werde sich hinter den Vorschlag des dominikanischen Präsidenten Joaquin Balaguer zu Gesprächen in Santo Domingo stellen . 
sagen_s3963_f0	Er habe das Haus mit einem Grundstück von 3000 Quadratmetern im Juli 1990 nach DDR-Recht ordnungsgemäß erworben , 	sagte 	Diestelkeywordtag am Dienstag in Potsdam ( das dpa-Bild zeigt ihn bei seiner Pressekonferenz ) . 
sagen_s3964_f0	Neben dem letzten DDR-Finanzminister Walter Romberg ( SPD ) und dem Justizministerium habe auch die DDR-Volkskammer dem Verkauf zugestimmt , 	sagte 	Diestelkeywordtag . 
sagen_s4026_f0	Der Gewerkschaftsvorsitzende Klaus Zwickel 	sagte 	am Samstag zum Abschluß des 18. Gewerkschaftstages in Berlin : `` Wir wollen mehr Arbeitsplätze und mehr Zeitsouveränität durch Freizeitausgleich für Mehrarbeit und Arbeitszeitkonten . '' 
sagen_s4028_f0	Zwickelkeywordtag 	sagte 	nach einer kontrovers geführten Diskussion : `` Arbeitszeitverkürzung bleibt auf der Tagesordnung . '' 
sagen_s4034_f0	Erkeywordtag 	sagte 	: `` Dieses Bündnis ist eine Solidaraktion . '' 
sagen_s4038_f0	`` Das ist die erste intelligente Äußerung , die ich von der IG Metall seit Jahren höre '' , 	sagte 	Stihlkeywordtag der FR . 
sagen_s4043_f0	Die IG Metall habe , wie dies üblich sei , einen Maximalkatalog vorgelegt , 	sagte 	Stihlkeywordtag . 
sagen_s4057_f0	Ein entsprechender Antrag sei von den Realos vorbereitet worden , 	sagte 	Pressesprecherin Donate Hochstein am Samstag in Erfurt . 
sagen_s4065_f0	Sie seien ein Teil der Mobilmachungsfähigkeit der Streitkräfte und damit ein Faktor des deutschen Gewichts in der Nato , 	sagte 	erkeywordtag am Samstag in Hammelburg . 
sagen_s4072_f0	`` Er war ein Mann mit großer politischer Erfahrung und unglaublichem Mut '' , 	sagte 	Scharpingkeywordtag . 
sagen_s4078_f0	Die Entschlossenheit , den Frieden in Israel herbeizuführen , habe ihn persönlich bei seinen Begegnungen mit `` diesem großen Staatsmann '' zutiefst beeindruckt , 	sagte 	Waigelkeywordtag . 
sagen_s4082_f0	Erkeywordtag 	sagte 	, mit Rabin habe nicht nur der Staat Israel , sondern die ganze Welt ein Licht der Hoffnung verloren . 
sagen_s4103_f0	Der 1987 unter mysteriösen Umständen in Genf verstorbene ehemalige Kieler Ministerpräsident sei in der Affäre nicht unschuldig , 	sagte 	siekeywordtag der Illustrierten Focus . 
sagen_s4111_f0	Der Leiter der Katastrophenschutzbehörde , Fortunato de Joras , 	sagte 	, mehr als 1,2 Millionen Menschen seien von den Auswirkungen des Taifuns betroffen , der das Land am Donnerstag und Freitag heimsuchte . 
sagen_s4128_f0	`` Dies ist der bestmögliche Kompromiß '' , 	sagte 	Gratschowkeywordtag am Samstag in Moskau . 
sagen_s4134_f0	Der bosnische Präsident Alija Izetbegovic 	sagte 	am Wochenende , der Balkan- Gipfel in Dayton in den USA komme gut voran . 
sagen_s4135_f0	Wenn die USA und Europa ihren Druck aufrechterhielten , könne es bei dem Gipfel durchaus zu einer Vereinbarung kommen , 	sagte 	Bosniens Außenminister Mohamed Sacirbey , der sich mit Izetbegovic am Samstag bei einem Football-Spiel erholte . 
sagen_s4179_f0	In der Warschauer St.-Stanislaw-Kostka-Kirche 	sagte 	der Geistliche Stefan Gralak in seiner Predigt : 
sagen_s4192_f0	Die vorgesehenen Maßnahmen könnten Finanzierbarkeit und Leistungsfähigkeit des Gesundheitswesens nicht sichern , 	sagte 	Ärztekammerpräsident Karsten Vilmar am Samstag im Saarländischen Rundfunk . 
sagen_s4194_f0	Der hessische Vorsitzende des Berufsverbandes der Internisten , Wolfgang Grebe , 	sagte 	, solche Pläne würden den `` Tod vieler niedergelassener Ärzte '' bedeuteten . 
