ablehnen_s308_f0	Beigelegt ist der Streit über die Architektur am Kehrwieder , deren ersten Entwurf Oberbaudirektor Egbert Kossak ganz unhanseatisch teils als `` zum Kotzen '' , teils als `` amerikanischen Planungsschiet '' 	abgelehnt 	hatte . 
ablehnen_s28793_f0	Ihr Visumsantrag wird vom deutschen Konsulat wortlos 	abgelehnt 	, wobei allein für das Einreichen der Papiere eine Wartezeit von zwölf Stunden in der Kälte auf der Straße vor dem Konsulat erforderlich war . 
ablehnen_s28795_f0	Ein Student aus Sofia , der die Kulturstätten Europas mit Eurorail bereisen möchte - erkeywordtag wird 	abgelehnt 	, denn er kann ja kaum die vorgeschriebene Geldsumme vorweisen . 
ablehnen_s28880_f0	Auch die dezidierte Ausländerfeindlichkeit der `` Freiheitlichen '' hat laut einem Bericht des Politmagazins profil dazu geführt , daß Haiders Wunschpartner - Gaullisten und Forza Italia - eine Zusammenarbeit zunächst 	ablehnten 	. 
ablehnen_s29673_f0	Agrarexporteure wie die USA und Australien hatten dieskeywordtag aber mit dem Argument 	abgelehnt 	, der freie Handel müsse für alle Gebiete gelten . 
ablehnen_s30370_f0	Gegen eine Festlegung auf das Zahlenwerk des Kongresses wehrt der Präsident sich deshalb so heftig , weil ihre Verwirklichung und Anwendung `` eine Art von Einschnitten bei der Gesundheitsversorgung , der Erziehung , dem Umweltschutz und eine Steuererhöhung für die arbeitenden Menschen '' verlange , diekeywordtag erkeywordtag 	ablehne 	, sagte Clinton . 
ablehnen_s30449_f0	Nachdem im Sommer die Nato die russische Idee für eine Ausschlußzone im Kaukasus 	abgelehnt 	hatte , schlug sie ihrerseits im September eine Verkleinerung der Flankenregion vor . 
ablehnen_s30571_f0	Die linke Opposition hat Juppés Plan 	abgelehnt 	. 
ablehnen_s31767_f0	Ein Teil seiner Entwürfe für die Ausgestaltung der zu Ehren der Mutter Gottes und zum Lob des Benediktinerordens erbauten Kirche wurde 	abgelehnt 	: 
ablehnen_s32138_f0	Flugs hat das `` Weltgericht '' von unterschiedlichen Seiten , so von der Bundesregierung in Bonn , die an der Abschreckung festhält , und der australischen Regierung , diekeywordtag Atomwaffenkeywordtag 	ablehnt 	, den Rat erhalten , nicht zu entscheiden , da jeder Spruch in eine politische Sackgasse führen müsse . 
ablehnen_s33639_f0	Bundesverteidigungsminister Volker Rühe hat am Freitag die SPD davor gewarnt , den Einsatz von `` Tornado '' - Kampfflugzeugen in Bosnien 	abzulehnen 	. 
ablehnen_s33708_f0	Sie befürchten aber , daß sich die SPD im Bundestag dazu gezwungen sehen würde , die deutsche Beteiligung an einer Friedenssicherung 	abzulehnen 	. 
ablehnen_s34166_f1		Abgelehnt 	wurde dagegen der Antrag des letzten SED-Generalsekretärs Egon Krenz , der - wie die anderen vier wegen der Toten an Mauer und Stacheldraht angeklagten SED-Politbüromitglieder - alle drei Richter für befangen erklärt sehen wollte , weil diese die Anklage im Eröffnungsbeschluß verschärft hatten . 
ablehnen_s34167_f1	Bräutigamkeywordtag war bereits im Verfahren gegen Erich Honecker 	abgelehnt 	worden , den er um ein Autogramm für einen Schöffen gebeten hatte . 
ablehnen_s34202_f1	Sie befürchten aber , daß sich die SPD im Bundestag dazu gezwungen sehen würde , die deutsche Beteiligung 	abzulehnen 	. 
ablehnen_s34251_f1	Darauf einigten sich die für das Budget zuständigen Minister , diekeywordtag zugleich Änderungsvorschläge des Europäischen Parlaments 	ablehnten 	. 
ablehnen_s34277_f1	Die fundamentalistische Taliban-Miliz hat am Samstag einen neuen Sturmangriff auf die afghanische Hauptstadt Kabul unternommen , nachdem siekeywordtag zuvor einen Friedensplan der Vereinten Nationen 	abgelehnt 	hatte . 
ablehnen_s34282_f1	Priesterweihe für Frauen `` unwiderruflich '' 	abgelehnt 	
ablehnen_s34616_f1	Die bosnischen Kroaten forderten ihre Delegation in Dayton auf , jeden nachteiligen Vertrag 	abzulehnen 	. 
ablehnen_s35192_f0	Diekeywordtag haben das politische Reformpaket , das die Präsidentin auf den Tisch gelegt hat , rundweg 	abgelehnt 	, obwohl dieses Paket den Tamilen alle gewünschte Autonomie zugesteht bis freilich auf den entscheidenden Punkt : die Unabhängigkeit . 
ablehnen_s35220_f1	Von den rund 600 Arbeitern haben nur 76 Gewerkschafter das Angebot eines Einzelkontrakts 	abgelehnt 	. 
ablehnen_s35398_f1	Die Christdemokraten , deren Landesvorsitzender Christian Wulff das Thema ursprünglich für die Landespolitik entdeckt hatte , beschlossen inzwischen , die Reform 	abzulehnen 	. 
ablehnen_s35903_f1	Das russische Ansinnen , mit den Superkameras der deutschen Tupolew Tschetschenien zu observieren , haben die Führungsoffiziere in Geilenkirchen 	abgelehnt 	, allerdings aus Sorge um ihr teures Flugzeug und nicht , weil sie annahmen , die russische Seite könnte die Aufnahmen für eigene innenpolitische Zwecke mißbrauchen . 
ablehnen_s36015_f1	Dennoch wurde ihr Asylantrag 	abgelehnt 	, ihre Abschiebung verhinderte das BVG im September 1993 mit einer einstweiligen Anordnung in letzter Minute . 
ablehnen_s36290_f1	Am 2. Dezember ein Gespräch der Initiatoren mit dem Vorsitzenden der Bischofskonferenz , Karl Lehmann , geplant , derkeywordtag das Volksbegehren 	ablehnt 	. 
ablehnen_s36619_f1	Vorgänger Christian Blanc war zurückgetreten , weil die sozialistische Regierung eine Privatisierung von Air France 	abgelehnt 	hatte . 
ablehnen_s38727_f1	Bei Vorgesprächen der Fachbeamten war das Ansinnen noch rundweg 	abgelehnt 	worden . 
